batch,cap,candidate,beta,actual_materialized_norm,actual_over_native_fraction,first_order_E_prediction,first_order_D_prediction,quality_or_KL_forward_evaluated,raw_E,raw_D,linear_D_endpoint_prediction,actual_forward_E,actual_forward_D,feasible,selected
1,1,C1,1.0,0.0006551064104240679,8.60828255231979e-05,1.1114909017920853e-11,-4.05861654645089e-06,False,0.002287666152260499,0.0015781786939896847,0.0015741200774432337,,,,
1,1,C05,0.5,0.0003275575529307652,4.304198406407289e-05,5.557454508960426e-12,-2.029308273225445e-06,False,0.002287666152260499,0.0015781786939896847,0.0015761493857164592,,,,
1,1,C025,0.25,0.00016378736115470663,2.152212008436732e-05,2.778727254480213e-12,-1.0146541366127225e-06,False,0.002287666152260499,0.0015781786939896847,0.001577164039853072,,,,
1,10,C1,1.0,0.006551035839629256,0.0008608245411825134,-4.8532517816624197e-11,-4.058618197508547e-05,False,0.002287666152260499,0.0015781786939896847,0.0015375925120145993,,,,
1,10,C05,0.5,0.0032755182372796385,0.00043041231230705226,-2.4266258908312098e-11,-2.0293090987542737e-05,False,0.002287666152260499,0.0015781786939896847,0.0015578856030021419,,,,
1,10,C025,0.25,0.0016377597187573843,0.00021520623501066266,-1.2133129454156049e-11,-1.0146545493771368e-05,False,0.002287666152260499,0.0015781786939896847,0.0015680321484959133,,,,
1,100,C1,1.0,0.06551035502635186,0.008608244969005443,-1.7656098577366927e-11,-0.00040586184151447224,False,0.002287666152260499,0.0015781786939896847,0.0011723168524752125,,,,
1,100,C05,0.5,0.032755177665501796,0.004304122504518769,-8.828049288683463e-12,-0.00020293092075723612,False,0.002287666152260499,0.0015781786939896847,0.0013752477732324486,,,,
1,100,C025,0.25,0.016377589562257627,0.0021520613481186214,-4.414024644341732e-12,-0.00010146546037861806,False,0.002287666152260499,0.0015781786939896847,0.0014767132336110666,,,,
1,none,C1,1.0,1.874212957599425,0.246276855874315,0.0002822590968840591,-0.011579171519884442,False,0.002287666152260499,0.0015781786939896847,-0.010000992825894757,,,,
1,none,C05,0.5,0.9371064785628406,0.12313842790603186,0.00014112954844202954,-0.005789585759942221,False,0.002287666152260499,0.0015781786939896847,-0.004211407065952536,,,,
1,none,C025,0.25,0.4685532386415642,0.06156921386893704,7.056477422101477e-05,-0.0028947928799711105,False,0.002287666152260499,0.0015781786939896847,-0.0013166141859814258,,,,
2,1,C1,1.0,0.0010418315634984244,0.0001350180183602218,2.850407509254839e-11,-9.608080544198837e-06,False,0.005383443928294583,0.0036145931771329742,0.0036049850965887754,,,,
2,1,C05,0.5,0.000520918549525086,6.750936787495837e-05,1.4252037546274195e-11,-4.8040402720994184e-06,False,0.005383443928294583,0.0036145931771329742,0.003609789136860875,,,,
2,1,C025,0.25,0.00026046470133849365,3.375538720426146e-05,7.126018773137098e-12,-2.4020201360497092e-06,False,0.005383443928294583,0.0036145931771329742,0.0036121911569969244,,,,
2,10,C1,1.0,0.010418284551791246,0.001350176155320421,4.1025014732163007e-10,-9.608068859644225e-05,False,0.005383443928294583,0.0036145931771329742,0.003518512488536532,,,,
2,10,C05,0.5,0.005209142513664715,0.0006750881084743197,2.0512507366081504e-10,-4.8040344298221126e-05,False,0.005383443928294583,0.0036145931771329742,0.003566552832834753,,,,
2,10,C025,0.25,0.002604571990715102,0.00033754414934600215,1.0256253683040752e-10,-2.4020172149110563e-05,False,0.005383443928294583,0.0036145931771329742,0.0035905730049838637,,,,
2,100,C1,1.0,0.10418180301435616,0.013501626448097746,-3.3832417541341045e-09,-0.000960795713456887,False,0.005383443928294583,0.0036145931771329742,0.0026537974636760874,,,,
2,100,C05,0.5,0.05209090145326783,0.0067508132170622775,-1.6916208770670522e-09,-0.0004803978567284435,False,0.005383443928294583,0.0036145931771329742,0.003134195320404531,,,,
2,100,C025,0.25,0.02604545147890137,0.0033754067060225803,-8.458104385335261e-10,-0.00024019892836422174,False,0.005383443928294583,0.0036145931771329742,0.0033743942487687523,,,,
2,none,C1,1.0,1.8936967010916763,0.24541699917222187,0.003808101788692087,-0.017400296797332036,False,0.005383443928294583,0.0036145931771329742,-0.013785703620199062,,,,
2,none,C05,0.5,0.9468483508680597,0.12270849962786981,0.0019040508943460434,-0.008700148398666018,False,0.005383443928294583,0.0036145931771329742,-0.005085555221533044,,,,
2,none,C025,0.25,0.47342417512041474,0.061354249773291396,0.0009520254471730217,-0.004350074199333009,False,0.005383443928294583,0.0036145931771329742,-0.0007354810222000348,,,,
3,1,C1,1.0,0.001285379740491112,0.00016394893106067314,1.0184675857907044e-10,-1.3953110996159512e-05,False,0.0015892918577446835,0.005858019608695031,0.005844066497698871,,,,
3,1,C05,0.5,0.0006426919627426207,8.197473242629439e-05,5.092337928953522e-11,-6.976555498079756e-06,False,0.0015892918577446835,0.005858019608695031,0.005851043053196951,,,,
3,1,C025,0.25,0.0003213504770989353,4.0987939638816854e-05,2.546168964476761e-11,-3.488277749039878e-06,False,0.0015892918577446835,0.005858019608695031,0.005854531330945991,,,,
3,10,C1,1.0,0.012853756615984613,0.0016394841080189751,1.5238272425466027e-09,-0.00013953080569172928,False,0.0015892918577446835,0.005858019608695031,0.005718488803003302,,,,
3,10,C05,0.5,0.006426878521895905,0.0008197420812926828,7.619136212733014e-10,-6.976540284586464e-05,False,0.0015892918577446835,0.005858019608695031,0.005788254205849166,,,,
3,10,C025,0.25,0.0032134395398741725,0.0004098710762231084,3.809568106366507e-10,-3.488270142293232e-05,False,0.0015892918577446835,0.005858019608695031,0.005823136907272098,,,,
3,100,C1,1.0,0.1285348905853886,0.016394499813279697,7.04293938731762e-08,-0.0013952631669174298,False,0.0015892918577446835,0.005858019608695031,0.004462756441777601,,,,
3,100,C05,0.5,0.06426744529609611,0.008197249907073746,3.52146969365881e-08,-0.0006976315834587149,False,0.0015892918577446835,0.005858019608695031,0.005160388025236316,,,,
3,100,C025,0.25,0.03213372275256225,0.004098624966867557,1.760734846829405e-08,-0.00034881579172935746,False,0.0015892918577446835,0.005858019608695031,0.005509203816965674,,,,
3,none,C1,1.0,1.9277778553536706,0.24588618347673163,0.00024246856498945853,-0.020847304075113864,False,0.0015892918577446835,0.005858019608695031,-0.014989284466418833,,,,
3,none,C05,0.5,0.9638889272895185,0.12294309168896393,0.00012123428249472927,-0.010423652037556932,False,0.0015892918577446835,0.005858019608695031,-0.004565632428861901,,,,
3,none,C025,0.25,0.4819444635444392,0.06147154583168624,6.0617141247364634e-05,-0.005211826018778466,False,0.0015892918577446835,0.005858019608695031,0.000646193589916565,,,,
4,1,C1,1.0,0.0017108101112041892,0.0002192751393337573,1.4573488710059512e-09,-2.4928688442330076e-05,False,0.0013064281209153705,0.008212091013888312,0.008187162325445982,,,,
4,1,C05,0.5,0.0008554073726143824,0.00010963786663916616,7.286744355029756e-10,-1.2464344221165038e-05,False,0.0013064281209153705,0.008212091013888312,0.008199626669667146,,,,
4,1,C025,0.25,0.0004277068673851275,5.481934103947154e-05,3.643372177514878e-10,-6.232172110582519e-06,False,0.0013064281209153705,0.008212091013888312,0.008205858841777729,,,,
4,10,C1,1.0,0.0171080629848487,0.002192746506561685,1.675089048359995e-08,-0.0002492863030230778,False,0.0013064281209153705,0.008212091013888312,0.007962804710865233,,,,
4,10,C05,0.5,0.008554031349524401,0.0010963732349653053,8.375445241799974e-09,-0.0001246431515115389,False,0.0013064281209153705,0.008212091013888312,0.008087447862376774,,,,
4,10,C025,0.25,0.004277016465203249,0.0005481867187937626,4.187722620899987e-09,-6.232157575576945e-05,False,0.0013064281209153705,0.008212091013888312,0.008149769438132542,,,,
4,100,C1,1.0,0.17107258160340386,0.021926433519187216,3.8240807190056616e-07,-0.002492713884905544,False,0.0013064281209153705,0.008212091013888312,0.005719377128982768,,,,
4,100,C05,0.5,0.08553629076531812,0.010963216754930283,1.9120403595028308e-07,-0.001246356942452772,False,0.0013064281209153705,0.008212091013888312,0.00696573407143554,,,,
4,100,C025,0.25,0.04276814509610209,0.005481608340737033,9.560201797514154e-08,-0.000623178471226386,False,0.0013064281209153705,0.008212091013888312,0.0075889125426619256,,,,
4,none,C1,1.0,1.9093888086359005,0.2447270414840232,0.00013530279636365242,-0.027682592991745088,False,0.0013064281209153705,0.008212091013888312,-0.019470501977856776,,,,
4,none,C05,0.5,0.9546944041624252,0.12236352072207789,6.765139818182621e-05,-0.013841296495872544,False,0.0013064281209153705,0.008212091013888312,-0.005629205481984232,,,,
4,none,C025,0.25,0.4773472022395922,0.06118176038133851,3.3825699090913104e-05,-0.006920648247936272,False,0.0013064281209153705,0.008212091013888312,0.00129144276595204,,,,
5,1,C1,1.0,0.0019399480670614332,0.0002474052622846201,2.7778436707693743e-09,-3.2422993292960424e-05,False,0.0015447625856904778,0.01030052469968723,0.01026810170639427,,,,
5,1,C05,0.5,0.0009699750915289036,0.0001237027660708287,1.3889218353846872e-09,-1.6211496646480212e-05,False,0.0015447625856904778,0.01030052469968723,0.01028431320304075,,,,
5,1,C025,0.25,0.00048499123431557784,6.185185344334655e-05,6.944609176923436e-10,-8.105748323240106e-06,False,0.0015447625856904778,0.01030052469968723,0.01029241895136399,,,,
5,10,C1,1.0,0.019399404323934662,0.0024740428862091083,3.0935360952354494e-08,-0.00032422832990265784,False,0.0015447625856904778,0.01030052469968723,0.009976296369784572,,,,
5,10,C05,0.5,0.009699702673794884,0.0012370215083788941,1.5467680476177247e-08,-0.00016211416495132892,False,0.0015447625856904778,0.01030052469968723,0.010138410534735902,,,,
5,10,C025,0.25,0.004849851285395329,0.0006185107476212848,7.733840238088623e-09,-8.105708247566446e-05,False,0.0015447625856904778,0.01030052469968723,0.010219467617211566,,,,
5,100,C1,1.0,0.1939720415142164,0.024737622940288855,9.875943774283699e-07,-0.0032418130609474932,False,0.0015447625856904778,0.01030052469968723,0.007058711638739737,,,,
5,100,C05,0.5,0.0969860203449663,0.012368811417583187,4.937971887141849e-07,-0.0016209065304737466,False,0.0015447625856904778,0.01030052469968723,0.008679618169213484,,,,
5,100,C025,0.25,0.048493009834974975,0.006184405665748535,2.4689859435709247e-07,-0.0008104532652368733,False,0.0015447625856904778,0.01030052469968723,0.009490071434450357,,,,
5,none,C1,1.0,1.9111226393220528,0.24372910072575404,0.00019649934727414246,-0.03170325392279095,False,0.0015447625856904778,0.01030052469968723,-0.02140272922310372,,,,
5,none,C05,0.5,0.9555613201233771,0.1218645504218415,9.824967363707123e-05,-0.015851626961395474,False,0.0015447625856904778,0.01030052469968723,-0.005551102261708244,,,,
5,none,C025,0.25,0.47778066058853724,0.06093227527811076,4.9124836818535614e-05,-0.007925813480697737,False,0.0015447625856904778,0.01030052469968723,0.002374711218989493,,,,
6,1,C1,1.0,0.001765764108022814,0.0002146641799551764,-1.66372064644835e-07,-2.579062898837245e-05,False,0.0019356130384403515,0.01193354528686541,0.011907754657877037,,,,
6,1,C05,0.5,0.000882883659374492,0.00010733228514179423,-8.31860323224175e-08,-1.2895314494186225e-05,False,0.0019356130384403515,0.01193354528686541,0.011920649972371224,,,,
6,1,C025,0.25,0.0004414449720195894,5.366652458466248e-05,-4.159301616120875e-08,-6.447657247093112e-06,False,0.0019356130384403515,0.01193354528686541,0.011927097629618317,,,,
6,10,C1,1.0,0.017657538323841555,0.0021466293074440352,-1.6538573808130997e-06,-0.0002579042927489632,False,0.0019356130384403515,0.01193354528686541,0.011675640994116446,,,,
6,10,C05,0.5,0.008828769270075467,0.0010733146668703978,-8.269286904065498e-07,-0.0001289521463744816,False,0.0019356130384403515,0.01193354528686541,0.011804593140490928,,,,
6,10,C025,0.25,0.004414384899965971,0.0005366573656425603,-4.134643452032749e-07,-6.44760731872408e-05,False,0.0019356130384403515,0.01193354528686541,0.01186906921367817,,,,
6,100,C1,1.0,0.17655844612623034,0.021464234027435417,-1.5431502793814624e-05,-0.0025786950276189846,False,0.0019356130384403515,0.01193354528686541,0.009354850259246426,,,,
6,100,C05,0.5,0.08827922271520112,0.01073211697142175,-7.715751396907312e-06,-0.0012893475138094923,False,0.0019356130384403515,0.01193354528686541,0.010644197773055917,,,,
6,100,C025,0.25,0.04413961196722817,0.0053660585598233855,-3.857875698453656e-06,-0.0006446737569047461,False,0.0019356130384403515,0.01193354528686541,0.011288871529960665,,,,
6,none,C1,1.0,2.0079847516177107,0.24411097615477487,8.196203574321545e-05,-0.029178855586494603,False,0.0019356130384403515,0.01193354528686541,-0.017245310299629193,,,,
6,none,C05,0.5,1.0039923751163116,0.1220554879931948,4.0981017871607724e-05,-0.014589427793247301,False,0.0019356130384403515,0.01193354528686541,-0.0026558825063818913,,,,
6,none,C025,0.25,0.5019961877375125,0.061027744018401824,2.0490508935803862e-05,-0.007294713896623651,False,0.0019356130384403515,0.01193354528686541,0.004638831390241759,,,,
7,1,C1,1.0,0.001871420316189342,0.00022746996947167175,3.295427232526417e-09,-2.9766729950428128e-05,False,0.0028046506572900398,0.01397174706653459,0.013941980336584161,,,,
7,1,C05,0.5,0.0009357120136637802,0.00011373521027910105,1.6477136162632086e-09,-1.4883364975214064e-05,False,0.0028046506572900398,0.01397174706653459,0.013956863701559376,,,,
7,1,C025,0.25,0.00046785886079716416,5.686795203724537e-05,8.238568081316043e-10,-7.441682487607032e-06,False,0.0028046506572900398,0.01397174706653459,0.013964305384046983,,,,
7,10,C1,1.0,0.018714124609694308,0.002274690146746024,3.753586711046818e-08,-0.00029766592507093415,False,0.0028046506572900398,0.01397174706653459,0.013674081141463656,,,,
7,10,C05,0.5,0.00935706253468356,0.0011373451013094837,1.876793355523409e-08,-0.00014883296253546708,False,0.0028046506572900398,0.01397174706653459,0.013822914103999122,,,,
7,10,C025,0.25,0.0046785317768901335,0.0005686726125900256,9.383966777617044e-09,-7.441648126773354e-05,False,0.0028046506572900398,0.01397174706653459,0.013897330585266857,,,,
7,100,C1,1.0,0.18713062983686135,0.022745611067684305,1.2653751039296167e-06,-0.0029764237204058775,False,0.0028046506572900398,0.01397174706653459,0.010995323346128712,,,,
7,100,C05,0.5,0.09356531490723675,0.011372805532481538,6.326875519648084e-07,-0.0014882118602029387,False,0.0028046506572900398,0.01397174706653459,0.012483535206331652,,,,
7,100,C025,0.25,0.04678265760653057,0.0056864027848271504,3.163437759824042e-07,-0.0007441059301014694,False,0.0028046506572900398,0.01397174706653459,0.01322764113643312,,,,
7,none,C1,1.0,2.010799464278885,0.2444114177858987,0.00037087097901088845,-0.031767245291696125,False,0.0028046506572900398,0.01397174706653459,-0.017795498225161535,,,,
7,none,C05,0.5,1.0053997322758201,0.12220570890952596,0.00018543548950544422,-0.015883622645848063,False,0.0028046506572900398,0.01397174706653459,-0.0019118755793134726,,,,
7,none,C025,0.25,0.5026998664219477,0.06110285448928758,9.271774475272211e-05,-0.007941811322924031,False,0.0028046506572900398,0.01397174706653459,0.006029935743610559,,,,
8,1,C1,1.0,0.0019190610135399518,0.00023549318116721055,3.4120505142510106e-09,-3.1148630260261014e-05,False,0.0016197894379729404,0.01587227978006922,0.015841131149808958,,,,
8,1,C05,0.5,0.0009595324165738809,0.00011774682494082154,1.7060252571255053e-09,-1.5574315130130507e-05,False,0.0016197894379729404,0.01587227978006922,0.01585670546493909,,,,
8,1,C025,0.25,0.0004797692897833043,5.887379060918612e-05,8.530126285627527e-10,-7.787157565065254e-06,False,0.0016197894379729404,0.01587227978006922,0.015864492622504157,,,,
8,10,C1,1.0,0.01919054798762096,0.002354924185349663,4.372222733126196e-08,-0.00031148518153986584,False,0.0016197894379729404,0.01587227978006922,0.015560794598529354,,,,
8,10,C05,0.5,0.009595274308305165,0.0011774621312673273,2.186111366563098e-08,-0.00015574259076993292,False,0.0016197894379729404,0.01587227978006922,0.015716537189299287,,,,
8,10,C025,0.25,0.004797637440367154,0.0005887311007558299,1.093055683281549e-08,-7.787129538496646e-05,False,0.0016197894379729404,0.01587227978006922,0.015794408484684254,,,,
8,100,C1,1.0,0.19188853904220876,0.023547162997815476,1.4882763243936817e-06,-0.0031145101328678257,False,0.0016197894379729404,0.01587227978006922,0.012757769647201395,,,,
8,100,C05,0.5,0.09594426902473044,0.011773581437996346,7.441381621968409e-07,-0.0015572550664339129,False,0.0016197894379729404,0.01587227978006922,0.014315024713635308,,,,
8,100,C025,0.25,0.0479721345066013,0.005886790718290867,3.7206908109842043e-07,-0.0007786275332169564,False,0.0016197894379729404,0.01587227978006922,0.015093652246852263,,,,
8,none,C1,1.0,1.9886766574839692,0.2440359056224063,0.0002543576824128331,-0.03206402696253937,False,0.0016197894379729404,0.01587227978006922,-0.01619174718247015,,,,
8,none,C05,0.5,0.9943383292476649,0.12201795287325655,0.00012717884120641654,-0.016032013481269685,False,0.0016197894379729404,0.01587227978006922,-0.00015973370120046446,,,,
8,none,C025,0.25,0.4971691643417607,0.06100897640201449,6.358942060320827e-05,-0.008016006740634843,False,0.0016197894379729404,0.01587227978006922,0.007856273039434378,,,,
9,1,C1,1.0,0.0019918771803359736,0.00023051127463961297,4.198211076298683e-10,-3.26764970012461e-05,False,0.0023295510291791287,0.01826888483219591,0.018236208335194664,,,,
9,1,C05,0.5,0.0009959407846115418,0.00011525589127320583,2.0991055381493416e-10,-1.633824850062305e-05,False,0.0023295510291791287,0.01826888483219591,0.018252546583695285,,,,
9,1,C025,0.25,0.0004979731253397201,5.762826191872386e-05,1.0495527690746708e-10,-8.169124250311524e-06,False,0.0023295510291791287,0.01826888483219591,0.018260715707945598,,,,
9,10,C1,1.0,0.019918722388600398,0.002305107027841154,8.041470408118576e-09,-0.00032676385324681423,False,0.0023295510291791287,0.01826888483219591,0.017942120978949094,,,,
9,10,C05,0.5,0.009959361756189472,0.0011525535789455763,4.020735204059288e-09,-0.00016338192662340711,False,0.0023295510291791287,0.01826888483219591,0.0181055029055725,,,,
9,10,C025,0.25,0.004979681311155324,0.0005762768395890048,2.010367602029644e-09,-8.169096331170356e-05,False,0.0023295510291791287,0.01826888483219591,0.018187193868884205,,,,
9,100,C1,1.0,0.19917660562018574,0.023049841472733968,5.689168211767242e-07,-0.003267395224217047,False,0.0023295510291791287,0.01826888483219591,0.015001489607978861,,,,
9,100,C05,0.5,0.09958830246319186,0.01152492069622164,2.844584105883621e-07,-0.0016336976121085235,False,0.0023295510291791287,0.01826888483219591,0.016635187220087385,,,,
9,100,C025,0.25,0.04979415141725998,0.005762460369596912,1.4222920529418105e-07,-0.0008168488060542618,False,0.0023295510291791287,0.01826888483219591,0.01745203602614165,,,,
9,none,C1,1.0,2.119149168741449,0.24523990779174124,0.000248059356861102,-0.03456979759894192,False,0.0023295510291791287,0.01826888483219591,-0.016300912766746015,,,,
9,none,C05,0.5,1.059574584371224,0.12261995389592843,0.000124029678430551,-0.01728489879947096,False,0.0023295510291791287,0.01826888483219591,0.000983986032724947,,,,
9,none,C025,0.25,0.5297872919253325,0.0613099769178432,6.20148392152755e-05,-0.00864244939973548,False,0.0023295510291791287,0.01826888483219591,0.009626435432460428,,,,
10,1,C1,1.0,0.002278997257513501,0.00026489524849764734,-8.59915095423587e-10,-4.2518763454895753e-05,False,0.005098930185158679,0.02013259260866107,0.020090073845206176,,,,
10,1,C05,0.5,0.0011395005078796228,0.00013244784266537444,-4.299575477117935e-10,-2.1259381727447877e-05,False,0.005098930185158679,0.02013259260866107,0.020111333226933623,,,,
10,1,C025,0.25,0.0005697525225650797,6.622418502236575e-05,-2.1497877385589676e-10,-1.0629690863723938e-05,False,0.005098930185158679,0.02013259260866107,0.020121962917797345,,,,
