baseline,metric,success,n,strict,mean_desired_nll
AlphaEdit_BLUE_L4_ONLY,RS,998,1000,995,0.03190484238398858
AlphaEdit_BLUE_L4_ONLY,PS,1943,2000,1347,1.5436600844235435
AlphaEdit_BLUE_L4_ONLY,NS,8072,10000,1813,5.302156480057764
AlphaEdit_BLUE,RS,997,1000,997,0.04635484112659833
AlphaEdit_BLUE,PS,1939,2000,1347,1.5275426892170636
AlphaEdit_BLUE,NS,8057,10000,1814,5.3222279921894255
MEMIT_BLUE,RS,995,1000,987,0.12002665494658277
MEMIT_BLUE,PS,1899,2000,1302,1.6881942977065683
MEMIT_BLUE,NS,8507,10000,2024,5.156779767946911
BASE_ALPHAEDIT,RS,989,1000,975,0.14801844512877868
BASE_ALPHAEDIT,PS,1854,2000,1367,1.5957542687095483
BASE_ALPHAEDIT,NS,7510,10000,1969,4.942251429700988
BASE_MEMIT,RS,949,1000,829,0.7580164008224237
BASE_MEMIT,PS,1783,2000,1186,2.1082862349044897
BASE_MEMIT,NS,7018,10000,2057,4.699047508946573
