arm,batch,candidate,gates,state,phase,own_n4,selected,E,canonical_E,H,B,delta_E,delta_B,delta_H,strict,past_strict,strict_lost,pair_lost,past_strict_lost,feasible,reasons,support,gate_support,active_layers,action_norm
N4,1,0,[1.0],4c6fae40832b470ed17c387d746e4243c25a9116f6227514df9cd458f6beb42f,baseline,True,True,0.003404614371538628,0.0014505088787700516,,0.0017209079930182725,0.0,0.0,,100,0,0,0,0,True,,1,1,[4],7.61165279863614
N4,2,0,[1.0],437e04c40901e8f4ce64905cf71bde5435a58f4b0f6049af34de20f2469688f6,baseline,True,True,0.026622378780157305,0.006550880679860711,0.0015802247926330892,0.0038239335715388734,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.71136987798354
N4,3,0,[1.0],0ab7f2d71cb554e64ac40870d7303d639d61dd23f53852989b7a82718a816b23,baseline,True,True,0.0026307728864776434,0.0016508737414551433,0.012278749113193044,0.006022348446322212,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.8385920077260876
N4,4,0,[1.0],4bc99335fdbec2c6981eb7abaa80fece31c4964e836c13187276771c6f63747c,baseline,True,True,0.003918482569279149,0.0013220222789095714,0.024522713774786098,0.008421741996926357,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],7.8014973235883645
N4,5,0,[1.0],11c377dadf08c0031d14c23df33cb8f4ca231f375860d5955c168d650dab1f8d,baseline,True,True,0.012849908573552966,0.0014804163601365872,0.032335318147602266,0.010314425840761032,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],7.824510436564866
N4,6,0,[1.0],eb403457592057052dc1a4c98996ff086ac4b0d9e3a70ff01cf0f8fb6ba9f16d,baseline,True,True,0.0024117284012027083,0.0011558585344755557,0.03278846723253537,0.012474029073018755,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],8.213161757253289
N4,7,0,[1.0],ac0c5fc7f72fe5751e5b1ffc4252c16330db24d7a8c757370181449e12818448,baseline,True,True,0.004654217146162409,0.0021151891891258855,0.03582400399386643,0.014935928673367016,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],8.211082227704994
N4,8,0,[1.0],d2dc77a49c82408eb3ab22e0d56745cf238cb92a116e8869771e1a94a5c8ff49,baseline,True,True,0.001981715756119229,0.0012872697522652743,0.0459460568600889,0.016842210480717767,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],8.135063794196299
N4,9,0,[1.0],296e1e577d7364ade3f2052a35f6d0a5da917f9769e9bd74cf1d768be33e7c50,baseline,True,True,0.003784382830854156,0.0020751445917994715,0.06089393641013885,0.01877682717577045,0.0,0.0,0.0,100,63,0,0,0,True,,1,1,[4],8.633953693329415
N4,10,0,[1.0],500b296295606bba7296e25bb1fb617a372e1719a7dec19b384d7b4f7bd0aeaf,baseline,True,True,0.0246290294676146,0.02154319377776119,0.04731072307913564,0.021280895331074134,0.0,0.0,0.0,99,63,0,0,0,True,,1,1,[4],8.59634070037267
F48,1,0,"[1.0, 0.0]",4c6fae40832b470ed17c387d746e4243c25a9116f6227514df9cd458f6beb42f,baseline,True,False,0.003404614371538628,0.0014505088787700516,,0.0017209079930182725,0.0,0.0,,100,0,0,0,0,True,,1,1,[4],7.61165279863614
F48,1,1,"[0.75, 0.5]",8a40a06a936e65f27bb0a87138dc26cd34e5bcbcecac522a399e390504729a1a,search,False,True,0.012414455455291318,0.006537042994605145,,0.001252664631266498,0.00900984108375269,-0.0004682433617517745,,100,0,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.8024118178968065
F48,2,0,"[1.0, 0.0]",36384c3db57d281906457cbf871566e0b1ae67611bdd6b2440b44c0d76d892b3,baseline,True,False,0.031079965041135436,0.007367385303368792,0.006854183737573294,0.0031518241144112835,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.666121511864614
F48,2,1,"[0.75, 0.5]",6c965cbb1421f24f3326c8abc7950199b5a04d8bcde85ce46ef7c5e6fa598eab,search,False,True,0.029641933554667047,0.00956828468690219,0.006676316116454473,0.002757233526580194,-0.0014380314864683892,-0.0003945905878310896,-0.00017786762111882126,100,64,0,0,0,True,,2,2,"[4, 8]",6.444177763772718
F48,3,0,"[1.0, 0.0]",cb811bc6c5a203c07cfd5e75426269c827e7ea474a196532004ca4a5e1a67f2d,baseline,True,False,0.00392058181198081,0.005031055081999512,0.0064449482249528955,0.0046400131047903415,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.679774406482252
F48,3,1,"[0.75, 0.5]",49f9d9d244f1ecc1dda5475eb2f9053a6f9e4692339b061e852af45650d26e25,search,False,True,0.010120606227137613,0.006874520910860156,0.00622468516473873,0.004077504581573521,0.006200024415156803,-0.0005625085232168203,-0.0002202630602141653,100,64,0,0,0,False,CURRENT_TRAINING_MEAN,2,2,"[4, 8]",6.470836653881555
F48,4,0,"[1.0, 0.0]",44caf92edf018de97f8052f2a14846e3bc90d88c717ac4caa453aa82f29ff4ac,baseline,True,False,0.005340493291732855,0.0012211370866498329,0.006464649275812917,0.006273447359376405,0.0,0.0,0.0,100,64,0,0,0,True,,1,1,[4],7.709165326579581
