arm,batch,path,panel,seconds,forwards,backwards,input_tokens,scored_tokens,teacher_reads,teacher_read_seconds
N4,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B001/episode/scores/000.json,current,1.233979961834848,14,0,1732,204,0,0
N4,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B001/episode/scores/000.json,generic,10.14744914509356,64,0,16448,8192,64,3.0467320205643773
N4,1,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B001/episode/scores/000.json,training,6.410178065299988,100,0,10651,606,0,0
N4,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B002/episode/scores/000.json,current,1.0855720797553658,14,0,1829,203,0,0
N4,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B002/episode/scores/000.json,generic,10.154127920046449,64,0,16448,8192,64,3.051951781846583
N4,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B002/episode/scores/000.json,past,0.7430561389774084,8,0,1126,132,0,0
N4,2,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B002/episode/scores/000.json,training,6.718259543180466,100,0,10990,612,0,0
N4,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B003/episode/scores/000.json,current,1.0850911363959312,14,0,1763,205,0,0
N4,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B003/episode/scores/000.json,generic,9.161747114732862,64,0,16448,8192,64,2.054654178209603
N4,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B003/episode/scores/000.json,past,0.7425053147599101,8,0,1181,131,0,0
N4,3,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B003/episode/scores/000.json,training,6.555171594955027,100,0,10712,612,0,0
N4,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B004/episode/scores/000.json,current,1.0867524668574333,14,0,1763,201,0,0
N4,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B004/episode/scores/000.json,generic,9.392977300100029,64,0,16448,8192,64,2.293198640458286
N4,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B004/episode/scores/000.json,past,0.7454965123906732,8,0,1196,132,0,0
N4,4,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B004/episode/scores/000.json,training,6.655811949633062,100,0,10791,606,0,0
N4,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B005/episode/scores/000.json,current,1.0999444760382175,14,0,1755,201,0,0
N4,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B005/episode/scores/000.json,generic,10.297692242078483,64,0,16448,8192,64,3.1996543863788247
N4,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B005/episode/scores/000.json,past,0.7533206725493073,8,0,1219,131,0,0
N4,5,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B005/episode/scores/000.json,training,6.502122739329934,100,0,10700,606,0,0
N4,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B006/episode/scores/000.json,current,1.0657344898208976,14,0,1800,206,0,0
N4,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B006/episode/scores/000.json,generic,9.11081197205931,64,0,16448,8192,64,2.014025991782546
N4,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B006/episode/scores/000.json,past,0.6743431910872459,8,0,1143,129,0,0
N4,6,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B006/episode/scores/000.json,training,6.562243511900306,100,0,10915,624,0,0
N4,7,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B007/episode/scores/000.json,current,1.0918994266539812,14,0,1828,202,0,0
