arm,batch,layer,gate,native_full_norm,native_norm_times_gate_proxy,native_fit_adam,native_fit_path
N4,1,4,1.0,7.6116527986668565,7.6116527986668565,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
N4,2,4,1.0,7.711369878012064,7.711369878012064,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
N4,3,4,1.0,7.838592007754247,7.838592007754247,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
N4,4,4,1.0,7.801497323616196,7.801497323616196,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
N4,5,4,1.0,7.824510436592892,7.824510436592892,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
N4,6,4,1.0,8.213161757282897,8.213161757282897,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
N4,7,4,1.0,8.211082227734593,8.211082227734593,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
N4,8,4,1.0,8.135063794225465,8.135063794225465,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
N4,9,4,1.0,8.633953693361047,8.633953693361047,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
N4,10,4,1.0,8.596340700404776,8.596340700404776,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/N4/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
F48,1,4,0.75,7.6116527986668565,5.708739599000142,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
F48,1,8,0.5,7.398134557952759,3.6990672789763797,864,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B001/episode/fits/001-L8/receipt.json
F48,2,4,0.75,7.666121511892986,5.74959113391974,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
F48,2,8,0.5,5.820525352861235,2.9102626764306176,528,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B002/episode/fits/001-L8/receipt.json
F48,3,4,0.75,7.679774406511036,5.7598308048832765,2376,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/fits/000-L4/receipt.json
F48,3,8,0.5,5.897822003237822,2.948911001618911,528,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B003/episode/fits/001-L8/receipt.json
F48,4,4,0.75,7.709165326608003,5.781873994956003,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/fits/000-L4/receipt.json
F48,4,8,0.5,4.82072176598003,2.410360882990015,336,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B004/episode/fits/001-L8/receipt.json
F48,5,4,0.75,7.70181498289208,5.77636123716906,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/fits/000-L4/receipt.json
F48,5,8,0.5,4.171329681969401,2.0856648409847005,240,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B005/episode/fits/001-L8/receipt.json
F48,6,4,0.75,8.05503414447052,6.0412756083528905,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/fits/000-L4/receipt.json
F48,6,8,0.5,4.48717181219855,2.243585906099275,264,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B006/episode/fits/001-L8/receipt.json
F48,7,4,0.75,8.043128296458805,6.0323462223441044,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/fits/000-L4/receipt.json
F48,7,8,0.5,4.713303537065145,2.3566517685325725,288,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B007/episode/fits/001-L8/receipt.json
F48,8,4,0.75,7.938000180916762,5.953500135687571,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/fits/000-L4/receipt.json
F48,8,8,0.5,4.9699435181604965,2.4849717590802483,336,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B008/episode/fits/001-L8/receipt.json
F48,9,4,0.75,8.3829234356657,6.287192576749275,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/fits/000-L4/receipt.json
F48,9,8,0.5,5.090097990789021,2.5450489953945103,312,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B009/episode/fits/001-L8/receipt.json
F48,10,4,0.75,8.325615260184453,6.2442114451383395,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/fits/000-L4/receipt.json
F48,10,8,0.5,4.355218605651225,2.1776093028256125,240,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/F48/attempt-v1/output/B010/episode/fits/001-L8/receipt.json
G48,1,4,1.0,7.6116527986668565,7.6116527986668565,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B001/episode/fits/000-L4/receipt.json
G48,2,4,0.75,7.711369878012064,5.783527408509048,2400,/data/janghj/ODE-edit/local/sequential-local-z-allocation/20260917-v2/arms/G48/attempt-v1/output/B002/episode/fits/000-L4/receipt.json
