branch,head,tree,owner,task_id,original_base_reflog,comparison_merge_base,status,integration_reason,worktree,worktree_tracked_dirty,changed_files,remaining_files
codex/bgode-fbp-f0-foundation-v1,4891906a85257dfbdb3f1101a7b5f1b981a6120a,e8c130945f0a57ce9b64ccba3fef1bb3c3f40ddf,SH1,BGODE-FBP-F0-R1,4f61644be90e24947138ae278edc80ab39891c46 branch: Created from origin/main,4f61644be90e24947138ae278edc80ab39891c46,NOT_READY,GH F0_R1_HOLD_F0_R2_REQUIRED: full-W0 rollback/accounting/device-order/receipt defects unresolved in4891906a; no runtime repair authorized by this Git task,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-fbp-f0-v1,,audits/servers/server1/2026-08-28-bgode-fbp-f0-r1-rooted-receipt.json;audits/servers/server1/2026-08-28-bgode-fbp-f0-rooted-receipt.json;audits/servers/server1/2026-08-28-bgode-fbp-f0-threat-model.md;project/run_scripts/barrier_guided_ode/fixed_subspace/README.md;project/run_scripts/barrier_guided_ode/fixed_subspace/__init__.py;project/run_scripts/barrier_guided_ode/fixed_subspace/affine_state.py;project/run_scripts/barrier_guided_ode/fixed_subspace/basis.py;project/run_scripts/barrier_guided_ode/fixed_subspace/build_f0_package.py;project/run_scripts/barrier_guided_ode/fixed_subspace/errors.py;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-quarantine.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-r1-quarantine.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-r1-source-manifest.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-source-manifest.json;project/run_scripts/barrier_guided_ode/fixed_subspace/receipts.py;project/run_scripts/barrier_guided_ode/fixed_subspace/terminal.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/__init__.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/_fixtures.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_basis_affine.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_firewall_quarantine.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_receipt_security.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_terminal_receipts.py,audits/servers/server1/2026-08-28-bgode-fbp-f0-r1-rooted-receipt.json;audits/servers/server1/2026-08-28-bgode-fbp-f0-rooted-receipt.json;audits/servers/server1/2026-08-28-bgode-fbp-f0-threat-model.md;project/run_scripts/barrier_guided_ode/fixed_subspace/README.md;project/run_scripts/barrier_guided_ode/fixed_subspace/__init__.py;project/run_scripts/barrier_guided_ode/fixed_subspace/affine_state.py;project/run_scripts/barrier_guided_ode/fixed_subspace/basis.py;project/run_scripts/barrier_guided_ode/fixed_subspace/build_f0_package.py;project/run_scripts/barrier_guided_ode/fixed_subspace/errors.py;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-quarantine.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-r1-quarantine.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-r1-source-manifest.json;project/run_scripts/barrier_guided_ode/fixed_subspace/locks/bgode-fbp-f0-source-manifest.json;project/run_scripts/barrier_guided_ode/fixed_subspace/receipts.py;project/run_scripts/barrier_guided_ode/fixed_subspace/terminal.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/__init__.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/_fixtures.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_basis_affine.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_firewall_quarantine.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_receipt_security.py;project/run_scripts/barrier_guided_ode/fixed_subspace/tests/test_terminal_receipts.py
codex/bgode-fbp-minimal-barrier-ode-v1,35697b1e7b79fe18b9d78d449bdfb66c3ddc1e1f,4c2c24b9019df4a63fdc6cb3586d5bd2f6c8c2fe,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,98e87314557df8b3a503384511cba23a30ce32c5 branch: Created from origin/main,35697b1e7b79fe18b9d78d449bdfb66c3ddc1e1f,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-fbp-minimal-v1,,,
codex/bgode-r1-s1-analysis,63c95449acbb0c79fc8b815f61c711c531eafbbf,9fc3e30e991f658cafcb9292bda9ac1a06b66c7c,SH1,BGODE-R1-S1-MATCHED-ANALYSIS,d38066c766a8ad5d25e8eac5a6943045ae5bde76 branch: Created from origin/main,f93ab378449dd8ac37ccdd0613432f1b52221e1f,INTEGRATED,verified SH1 scope integrated; original source/report blobs preserved except documented additive dispatch composition or existing repaired E01 successor,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-r1-s1-analysis,,project/run_scripts/barrier_guided_ode/s1_analyzer.py,
codex/bgode-r1-s1-qwen,3ee53297ea8c03d7eee25a613e4394821a3df03a,f56a351be301ae1e9578067dd1b09b9563ad2188,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,7c41098cc56fbf4ad6e00a9a32bcf1948425d94e branch: Created from origin/main,3ee53297ea8c03d7eee25a613e4394821a3df03a,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-r1-s1-qwen,,,
codex/bgode-r1-science-r1,7c41098cc56fbf4ad6e00a9a32bcf1948425d94e,edb50be2ced768833b3c4a84afc15afe6152d895,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,cf0d55b9ecd1016bba149e49e25c859ebce41020 branch: Created from origin/main,7c41098cc56fbf4ad6e00a9a32bcf1948425d94e,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-r1-science-r1,,,
codex/bgode-r2-rho-free-prefix-event-v1,8e60f5c2d8de998f128a20e25c09f66aff770597,bc9aae754dec2ea6a55dcf23c2b23d4e644bb299,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,3afcca57dac00de7f112f96a128168cdb2ae80b4 branch: Created from origin/main,8e60f5c2d8de998f128a20e25c09f66aff770597,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-r2-rho-free-prefix-event-v1,,,
codex/bgode-r3-fine-event-target-excluded-v1,4f61644be90e24947138ae278edc80ab39891c46,d3e4068887a051cee9eead75e5a3db5f49190321,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,8e60f5c2d8de998f128a20e25c09f66aff770597 branch: Created from origin/main,4f61644be90e24947138ae278edc80ab39891c46,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-bgode-r3-fine-event-v1,,,
codex/native-response-ode-v31-audit-tech-r1,2214387fba0f6338c09269004e6b305f576b733f,524cc8635cd3bdad0c6abd78bf8fb5184537ab6c,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,964453d9308c1f68848c08946b01a72a5820bc55 branch: Created from 964453d9308c1f68848c08946b01a72a5820bc55,a5f151201db507a5bd2790455e26a17091a9ecf6,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-audit-tech-r1,,project/run_scripts/native_response_ode_v31/followup.py;project/run_scripts/native_response_ode_v31/followup.sbatch;project/run_scripts/native_response_ode_v31/state_identity.py;project/run_scripts/native_response_ode_v31/test_state_identity.py,
codex/native-response-ode-v31-pilot-analysis-v1,347a892a910317b606443cf53d9155ae6a460831,0672fd84a2e46efac1b528737534d8cf63476cdc,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,e03524acd0545a6ba01e25554ef5f93985630ac5 branch: Created from e03524acd0545a6ba01e25554ef5f93985630ac5,347a892a910317b606443cf53d9155ae6a460831,ALREADY_IN_MAIN,ancestor proof,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-analysis-v1,,,
codex/native-response-ode-v31-pilot-followup-v1,964453d9308c1f68848c08946b01a72a5820bc55,035d917cc924f99f9055e1b7725a14b745e148b2,SH1,HISTORICAL_TASK_ID_NOT_EXTRACTED; source/ref evidence retained,a5f151201db507a5bd2790455e26a17091a9ecf6 branch: Created from a5f15120,a5f151201db507a5bd2790455e26a17091a9ecf6,ALREADY_IN_MAIN,patch-equivalent cherry-picks,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-followup-v1,,project/run_scripts/native_response_ode_v31/followup.py,
