arm,node,time_entry,step_size,entry_log_odds,exit_log_odds,expected_exit_log_odds,nonlinear_progress_residual,pair_mass_exit,anchored_kl_entry,moving_reference_kl_entry,update_energy,maximum_layer_energy_share,maximum_absolute_coefficient,rho,root_localization_count,dictionary_refreshed
plain-dynamic,1,0.0,2.971064567565918,1.0865592956542969,2.2844467163085938,4.057623863220215,-1.773177146911621,7.893610572158942e-17,0.0,0.0,0.8460378274321556,0.5001052413503706,0.8089158535003662,NOT_RECORDED_NOT_APPLIED,0,True
plain-dynamic,2,2.971064567565918,2.971064567565918,2.2844467163085938,2.957122802734375,7.028688430786133,-4.071565628051758,5.902489794710508e-17,0.46369799971580505,0.46369799971580505,11.761664390563965,0.6038886810904631,1.8182122707366943,NOT_RECORDED_NOT_APPLIED,0,True
plain-dynamic,3,5.942129135131836,2.971064567565918,2.957122802734375,0.4421958923339844,9.99975299835205,-9.557557106018066,2.1399778593313088e-13,0.7236454486846924,0.7236454486846924,168434.47216796875,0.7714575597412104,113.33380889892578,NOT_RECORDED_NOT_APPLIED,0,True
plain-dynamic,4,8.913193702697754,2.971064567565918,0.4421958923339844,0.4117240905761719,12.970817565917969,-12.559093475341797,3.746651792111868e-12,7.228193759918213,7.228193759918213,64908.14990234375,0.3902919277662273,4.179346084594727,NOT_RECORDED_NOT_APPLIED,0,True
fisher-only-dynamic,1,0.0,2.971064567565918,1.0865592956542969,2.7740020751953125,4.057623863220215,-1.2836217880249023,2.5749379864699343e-16,0.0,0.0,2.4150911387987435,0.6611192969808607,3.7369210720062256,NOT_RECORDED_NOT_APPLIED,0,True
fisher-only-dynamic,2,2.971064567565918,2.971064567565918,2.7740020751953125,2.9868927001953125,7.028688430786133,-4.04179573059082,2.812719858517035e-16,0.17632246017456055,0.17632246017456055,151.81503853201866,0.9465891394184652,9.19470500946045,NOT_RECORDED_NOT_APPLIED,0,True
fisher-only-dynamic,3,5.942129135131836,2.971064567565918,2.9868927001953125,2.2651290893554688,9.99975299835205,-7.734623908996582,1.1986290179640597e-16,0.27290061116218567,0.27290061116218567,536.3225507736206,0.8308178233150514,9.783111572265625,NOT_RECORDED_NOT_APPLIED,0,True
fisher-only-dynamic,4,8.913193702697754,2.971064567565918,2.2651290893554688,13.306610107421875,12.970817565917969,0.33579254150390625,1.6439246629581469e-09,0.6305168271064758,0.6305168271064758,1178.383662223816,0.9886323075636938,5.9395833015441895,NOT_RECORDED_NOT_APPLIED,0,True
full-moving-barrier-dynamic,1,0.0,2.971064567565918,1.0865592956542969,2.77459716796875,4.057623863220215,-1.2830266952514648,2.574042696371374e-16,0.0,0.0,2.4150697451550514,0.6614643594744564,3.737879514694214,NOT_RECORDED_NOT_APPLIED,0,True
full-moving-barrier-dynamic,2,2.971064567565918,2.971064567565918,2.77459716796875,1.6921424865722656,7.028688430786133,-5.336545944213867,2.4251761459595216e-14,0.17635951936244965,0.17635951936244965,388.7313004359603,0.93460820364836,14.622926712036133,NOT_RECORDED_NOT_APPLIED,0,True
full-moving-barrier-dynamic,3,5.942129135131836,2.971064567565918,1.6921424865722656,4.431835174560547,9.99975299835205,-5.567917823791504,8.949363918805606e-15,0.7759794592857361,0.7759794592857361,1762.0953803658485,0.9816593841027912,4.164113521575928,NOT_RECORDED_NOT_APPLIED,0,True
full-moving-barrier-dynamic,4,8.913193702697754,2.971064567565918,4.431835174560547,7.529375076293945,12.970817565917969,-5.441442489624023,9.80163272650356e-13,0.382815957069397,0.382815957069397,183.4342731386423,0.5951406747200827,10.629183769226074,NOT_RECORDED_NOT_APPLIED,0,True
one-step-full-barrier,1,0.0,11.884258270263672,1.0865592956542969,3.5502166748046875,12.970817565917969,-9.420600891113281,1.270180742496638e-16,0.0,0.0,38.64111592248082,0.6614643594744564,14.951518058776855,NOT_RECORDED_NOT_APPLIED,0,True
frozen-field-n4-split,1,0.0,2.971064567565918,1.0865592956542969,2.77459716796875,4.057623863220215,-1.2830266952514648,2.574042696371374e-16,0.0,0.0,2.4150697451550514,0.6614643594744564,3.737879514694214,NOT_RECORDED_NOT_APPLIED,0,True
frozen-field-n4-split,2,2.971064567565918,2.971064567565918,1.0865592956542969,3.7314682006835938,7.028688430786133,-3.297220230102539,9.61346425756581e-17,0.0,1.8430281526373961e-16,2.4150697451550514,0.6614643594744564,3.737879514694214,NOT_RECORDED_NOT_APPLIED,0,False
frozen-field-n4-split,3,5.942129135131836,2.971064567565918,1.0865592956542969,3.7333030700683594,9.99975299835205,-6.266449928283691,1.1892925302823115e-16,0.0,2.351104322435637e-16,2.4150697451550514,0.6614643594744564,3.737879514694214,NOT_RECORDED_NOT_APPLIED,0,False
frozen-field-n4-split,4,8.913193702697754,2.971064567565918,1.0865592956542969,3.5502166748046875,12.970817565917969,-9.420600891113281,1.270180742496638e-16,0.0,2.3981554144688374e-16,2.4150697451550514,0.6614643594744564,3.737879514694214,NOT_RECORDED_NOT_APPLIED,0,False
