group,lambda_value,node_denominator,baseline_lambda,analysis_type,gain_ratio_min,gain_ratio_median,gain_ratio_max,qN_ratio_min,qN_ratio_median,qN_ratio_max,response_norm_ratio_min,response_norm_ratio_median,response_norm_ratio_max,l8_native_velocity_share_min,l8_native_velocity_share_median,l8_native_velocity_share_max,l8_native_velocity_share_delta_pp_min,l8_native_velocity_share_delta_pp_median,l8_native_velocity_share_delta_pp_max,native_angle_degrees_min,native_angle_degrees_median,native_angle_degrees_max,native_turn_fraction_min,native_turn_fraction_median,native_turn_fraction_max,physical_native_relative_change_min,physical_native_relative_change_median,physical_native_relative_change_max,support_change_min,support_change_median,support_change_max,support_changed_count
Llama_all40_including_B10,0.001,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000265444782,1.0234112878317296,1.0309601872838183,1.000000053661942,1.0897107573659937,1.105257733938696,1.000000026544478,1.0231808800789655,1.0306491046411685,0.0,0.9999923552091583,0.9999981790682863,-5.611220784892956e-08,0.06766466616964784,0.09729335495174407,0.0,1.323030305440592,1.576735753185897,0.0,0.000533120426128797,0.0007571168852719135,2.6830970795353112e-08,0.05009733538916765,0.057284660749380184,0,0.0,1,17
Llama_all40_including_B10,0.0017782794100389228,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000263358013,1.0232193003467822,1.0307043450055229,1.0000000532400837,1.0889459994798678,1.1043514669589782,1.000000026335801,1.022988989790948,1.0303934135156418,0.0,0.9999913550678896,0.9999979383029169,-5.567108729304798e-08,0.06764368333684878,0.09698329905081238,0.0,1.3121723899424997,1.5637024320713881,0.0,0.0005244074642339891,0.0007446550329571755,2.6620041698877818e-08,0.04967720589826234,0.05679964981247617,0,0.0,1,17
Llama_all40_including_B10,0.0031622776601683794,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000259647153,1.022878219987132,1.0302499037648065,1.0000000524899015,1.0875885688369413,1.1027433585824196,1.000000025964715,1.0226481565598498,1.0299393426882453,0.0,0.9999892193758623,0.999997341474768,-5.488665073653809e-08,0.06758422497862293,0.09641013266080689,0.0,1.2928828768227374,1.540552060830281,0.0,0.0005091055014216916,0.0007227745195376167,2.6244950578012906e-08,0.04893120346513899,0.05593852023960079,0,0.0,1,16
Llama_all40_including_B10,0.005623413251903491,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000253048207,1.0222727152805904,1.0294434126941663,1.0000000511558678,1.0851826235931474,1.0998946723702059,1.0000000253048207,1.0220433249529188,1.0291338295188888,0.0,0.9999845376684777,0.9999959208305809,-5.349170390488156e-08,0.06740881420916334,0.09532219231219718,0.0,1.2586403314612076,1.4994678337894582,0.0,0.00048249942754075015,0.0006847466097513744,2.557793375869734e-08,0.04760808530451485,0.05441146515068181,0,0.0,1,16
Llama_all40_including_B10,0.01,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000024131344,1.0211992054852805,1.0280143802464299,1.0000000487835838,1.0809235587437538,1.0948633616460308,1.0000000241313438,1.020971743827893,1.0277075334694348,0.0,0.9999741353361684,0.999991217657253,-5.1011098491961226e-08,0.06687850667691508,0.09317170333187352,0.0,1.1979351437009118,1.4266715870057636,0.0,0.0004370862398930253,0.000619887674328301,2.4391791796630696e-08,0.04526615574931307,0.051709382901426446,0,0.0,1,16
Llama_all40_including_B10,0.01778279410038923,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000022044574,1.019300388834471,1.0254892397824462,1.0000000445649992,1.0734202145413385,1.086023716963514,1.0000000220445737,1.0190786370277913,1.0251903468643058,0.0,0.999950517375907,0.9999760777523161,-4.659988844454843e-08,0.06483272885530744,0.08867278799373768,0.0,1.09057301463799,1.298043468818117,0.0,0.00036226105325087854,0.0005131672182400182,2.2282499515945742e-08,0.041135777650687974,0.046946497910122224,0,0.0,1,15
Llama_all40_including_B10,0.03162277660168379,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.000000018333714,1.0159555662635071,1.0210488158135798,1.0000000370631772,1.0603278631072748,1.0706358302330214,1.000000018333714,1.0157510380792751,1.0207734692404733,0.0,0.9998905965674495,0.999931505803943,-3.87555250261698e-08,0.059231208884197306,0.07953937922116072,0.0,0.9014891420303353,1.071869839957204,0.0,0.00024754335138776895,0.0003499356366734041,1.8531588636279594e-08,0.03389694796313295,0.038608395973300236,0,0.0,1,9
Llama_all40_including_B10,0.05623413251903491,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0000000117347687,1.0101056815737857,1.0133061332315123,1.0000000237228424,1.0378136648531635,1.0441850997103275,1.0000000117347687,1.0099528737570544,1.0131010985313373,0.0,0.9997240491081285,0.9998155480511113,-2.4806055386877857e-08,0.04343296233494942,0.05840718662539768,0.0,0.5708626418053069,0.677544326199883,0.0,9.926992847764105e-05,0.00013983307782183818,1.1861421265581481e-08,0.021341180530481,0.02427785429786079,0,0.0,1,3
Llama_all40_including_B10,0.1,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9992697557027804,0.9994859402906316,0.0,0.0,0.0,0.0,0.0,1.2074182697257333e-06,0.0,0.0,4.440892098500626e-16,0.0,1.6922360912805908e-16,5.556796261650433e-16,0,0.0,0,0
Llama_all40_including_B10,0.1778279410038923,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9776781822521668,0.9829003416894023,0.9999999791323034,0.9294338436750248,0.9389578846132324,0.9999999578141601,0.9782507406396673,0.9833356970339227,0.9999999791323032,0.0,0.9979923006677692,0.9985851249608785,-0.16050842964967504,-0.11680905717864065,4.4112098392459775e-08,0.0,0.9650365490965831,1.1362135608776884,0.0,0.0002836812807688882,0.0003932038319438558,2.1092920010494e-08,0.035131388391490555,0.03985560617494147,0,0.0,1,4
Llama_all40_including_B10,0.31622776601683794,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.9416467356425715,0.9549182391942386,0.9999999420237101,0.824370697992759,0.8464907891363851,0.9999998827959553,0.9437049014197452,0.9565171298128523,0.99999994202371,0.0,0.9945653238602878,0.9961339037656114,-0.583767512567479,-0.42566108411670744,1.225557377804165e-07,0.0,2.541721875387146,2.969102594247395,0.0,0.001966869089089829,0.0026829733648502385,5.860202387241047e-08,0.09048778251779824,0.10195372918694118,0,0.0,1,8
Llama_all40_including_B10,0.5623413251903491,40,0.1,FROZEN_RECORDED_STATE_NO_ENDPOINT_PREDICTION,0.886736361009532,0.9113967272251694,0.9999998760342695,0.6833472070694661,0.7190018711618158,0.9999997493926485,0.8922358555889671,0.915807912792867,0.9999998760342697,0.0,0.9862966456471449,0.9898886760031694,-1.6132494200232883,-1.2020364768609737,2.620504553152783e-07,0.0,4.980972901607916,5.760214296066766,0.0,0.0075392566380704795,0.010073220771248725,1.2530368343312253e-07,0.17155172667042345,0.1915246523665442,0,0.0,1,18
