arm,metric,denominator,before_num,after_num,before_rate,after_rate,delta_pp,retained,lost,gained,both_failed,conditional_loss_rate,new_nll_delta_mean,true_nll_delta_mean,margin_delta_mean
MEMIT_ORIGINAL,RS,10000,791,7183,0.0791,0.7183,63.92,651,140,6532,2677,0.17699115044247787,-5.88567335583701,4.482626974173065,10.368300330010076
MEMIT_ORIGINAL,PS,20000,1997,13530,0.09985,0.6765,57.665,1600,397,11930,6073,0.19879819729594392,-3.824645467013561,4.355293796963175,8.179939263976737
MEMIT_ORIGINAL,NS,100000,89212,53287,0.89212,0.53287,-35.925,49906,39306,3381,7407,0.4405909518898803,-2.402664391429321,3.1455338387347105,5.548198230164032
AlphaEdit_ORIGINAL,RS,10000,791,9888,0.0791,0.9888,90.97,779,12,9109,100,0.015170670037926675,-10.551137887927892,8.22317623111225,18.774314119040138
AlphaEdit_ORIGINAL,PS,20000,1997,19155,0.09985,0.95775,85.79,1945,52,17210,793,0.026039058587881823,-8.345240868300976,5.18178617917537,13.527027047476347
AlphaEdit_ORIGINAL,NS,100000,89212,63726,0.89212,0.63726,-25.486,60906,28306,2820,7968,0.3172891539254809,-2.537773869296635,1.8994564606023685,4.437230329899004
MEMIT_L4_ONLY,RS,10000,791,7722,0.0791,0.7722,69.31,721,70,7001,2208,0.08849557522123894,-7.632318454110493,2.920547436472902,10.552865890583394
MEMIT_L4_ONLY,PS,20000,1997,14966,0.09985,0.7483,64.845,1786,211,13180,4823,0.10565848773159739,-6.224847991437644,2.5876863171853124,8.812534308622954
MEMIT_L4_ONLY,NS,100000,89212,57848,0.89212,0.57848,-31.364,54685,34527,3163,7625,0.38702192530152896,-4.099653243126335,1.022441438638489,5.122094681764824
AlphaEdit_L4_ONLY,RS,10000,791,9939,0.0791,0.9939,91.48,787,4,9152,57,0.0050568900126422255,-10.70594884141743,7.65776245242377,18.3637112938412
AlphaEdit_L4_ONLY,PS,20000,1997,19136,0.09985,0.9568,85.695,1942,55,17194,809,0.02754131196795193,-8.44523615215621,4.82362568322618,13.268861835382392
AlphaEdit_L4_ONLY,NS,100000,89212,65348,0.89212,0.65348,-23.864,62629,26583,2719,8069,0.29797560866251177,-2.903065852037575,1.455814293931075,4.35888014596865
MEMIT_L8_ONLY,RS,10000,791,8177,0.0791,0.8177,73.86,716,75,7461,1748,0.09481668773704172,-7.699398990178808,3.0096390021493775,10.709037992328186
MEMIT_L8_ONLY,PS,20000,1997,14460,0.09985,0.723,62.315,1547,450,12913,5090,0.22533800701051576,-4.607632596530684,3.4331977828701143,8.040830379400798
MEMIT_L8_ONLY,NS,100000,89212,48425,0.89212,0.48425,-40.787,45283,43929,3142,7646,0.49241133479800925,-4.139323109313609,1.9943567268978108,6.13367983621142
AlphaEdit_L8_ONLY,RS,10000,791,9396,0.0791,0.9396,86.05,768,23,8628,581,0.029077117572692796,-9.519691680781186,6.176964928295731,15.69665660907692
AlphaEdit_L8_ONLY,PS,20000,1997,15556,0.09985,0.7778,67.795,1696,301,13860,4143,0.15072608913370056,-5.293090502432602,4.4825923938482735,9.775682896280875
AlphaEdit_L8_ONLY,NS,100000,89212,54703,0.89212,0.54703,-34.509,51440,37772,3263,7525,0.4233959557010268,-2.560795519231776,2.919896040142027,5.480691559373803
MEMIT_L5_ONLY,RS,10000,791,8084,0.0791,0.8084,72.93,726,65,7358,1851,0.08217446270543616,-8.282583276706513,2.6179301842775313,10.900513460984044
MEMIT_L5_ONLY,PS,20000,1997,15008,0.09985,0.7504,65.055,1766,231,13242,4761,0.1156735102653981,-6.520170757609315,1.880590559067321,8.400761316676636
MEMIT_L5_ONLY,NS,100000,89212,54285,0.89212,0.54285,-34.927,51128,38084,3157,7631,0.42689324306147153,-4.890419247068756,0.660046605835711,5.550465852904466
AlphaEdit_L5_ONLY,RS,10000,791,9934,0.0791,0.9934,91.43,786,5,9148,61,0.006321112515802781,-10.6889976589368,7.657303095280018,18.34630075421682
AlphaEdit_L5_ONLY,PS,20000,1997,18839,0.09985,0.94195,84.21,1927,70,16912,1091,0.03505257886830245,-8.168236777409362,4.478726402867591,12.646963180276954
AlphaEdit_L5_ONLY,NS,100000,89212,62822,0.89212,0.62822,-26.39,60043,29169,2779,8009,0.32696274043850604,-2.805376473945861,1.751441657893396,4.5568181318392575
MEMIT_L6_ONLY,RS,10000,791,8277,0.0791,0.8277,74.86,717,74,7560,1649,0.09355246523388117,-8.03992714678304,2.9691905942423675,11.009117741025406
MEMIT_L6_ONLY,PS,20000,1997,14761,0.09985,0.73805,63.82,1618,379,13143,4860,0.1897846770155233,-5.049531588923407,3.344615144490065,8.394146733413471
MEMIT_L6_ONLY,NS,100000,89212,50488,0.89212,0.50488,-38.724,47208,42004,3280,7508,0.47083352015423935,-4.3493944463784455,1.5984362616312366,5.947830708009682
AlphaEdit_L6_ONLY,RS,10000,791,9683,0.0791,0.9683,88.92,780,11,8903,306,0.01390644753476612,-10.15251074557661,6.880916373774793,17.0334271193514
AlphaEdit_L6_ONLY,PS,20000,1997,17148,0.09985,0.8574,75.755,1842,155,15306,2697,0.07761642463695544,-6.718354868192885,4.153589881160879,10.871944749353764
AlphaEdit_L6_ONLY,NS,100000,89212,58396,0.89212,0.58396,-30.816,55387,33825,3009,7779,0.3791530287405282,-2.6960037508483743,2.34693715647663,5.042940907325005
MEMIT_L7_ONLY,RS,10000,791,8444,0.0791,0.8444,76.53,711,80,7733,1476,0.1011378002528445,-8.182781181547968,2.8920661181980862,11.074847299746054
MEMIT_L7_ONLY,PS,20000,1997,14941,0.09985,0.74705,64.72,1616,381,13325,4678,0.19078617926890334,-5.325654569901826,3.2775336773083543,8.603188247210182
MEMIT_L7_ONLY,NS,100000,89212,48547,0.89212,0.48547,-40.665,45335,43877,3212,7576,0.4918284535712684,-4.460308553246692,1.623251177673177,6.08355973091987
AlphaEdit_L7_ONLY,RS,10000,791,9240,0.0791,0.924,84.49,759,32,8481,728,0.040455120101137804,-9.031779213397064,6.24429910220938,15.276078315606442
AlphaEdit_L7_ONLY,PS,20000,1997,16194,0.09985,0.8097,70.985,1757,240,14437,3566,0.12018027040560841,-5.901203028739505,4.231855451424094,10.133058480163598
AlphaEdit_L7_ONLY,NS,100000,89212,56277,0.89212,0.56277,-32.935,53243,35969,3034,7754,0.4031856700892257,-2.2508281446373344,3.0437713778418036,5.294599522479137
