server,experiment_family,indexed_paths,present_paths,unique_inodes,unique_logical_bytes,roles,example_path
server1,alpha-jv-llama-diagnosis-sweep,159,159,159,159427485751,NAME_ONLY_CHECKPOINT_CANDIDATE|WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-alpha-jv-diagnosis-sweep-v1/local/alpha-jv-llama-diagnosis-sweep/sealed-historical-inputs-20260907-v1/W5-M5.pt
server1,baseline-mechanism-first-e01,64,64,64,67648036736,WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-baseline-mechanism-first-e01-v1/local/baseline-mechanism-first-e01/20260912-v1/attempts/cold-l4-native-r1/output/native-endpoint.pt
server1,l4-two-memory-conflict-routing,142,142,94,59425379542,NAME_ONLY_CHECKPOINT_CANDIDATE|WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-l4-two-memory-routing-v2/local/l4-two-memory-conflict-routing/20260911-v2/attempt-r1/Early-B100/BF1-trajectory/node01.pt
server1,multilayer-joint-compensation,5,5,5,5759658673,PREPARED_OR_NATIVE_CAPSULE|WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-multilayer-joint-edit-a-v1/local/multilayer-joint-compensation/20260911-v1/common/common-r1-Middle/entry.pt
server1,native-response-ode-v31-parallel-pilot,20,20,20,47899206496,NAME_ONLY_CHECKPOINT_CANDIDATE|WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s06-native-response-v31-followup-v1/local/native-response-ode-v31-parallel-pilot/20260906-followup-v1/cell-0/D2/N2/endpoint-state.pt
server1,reflection-based-ke/03-trajectory-sft-path-b,183,183,183,38476219464,TRAINED_ADAPTER,/mnt/raid5/janghj/reflection-based-ke/local/results/raw/experiments/03-trajectory-sft-path-b/27001_trajsft_s0_memit_qwen2_5_7b_inst/adapters/C1/adapter_model.safetensors
server1,reflection-based-ke/04-sft-v1-teacher-check,6,6,6,969199152,TRAINED_ADAPTER,/mnt/raid5/janghj/reflection-based-ke/local/results/raw/experiments/04-sft-v1-teacher-check/local_20260523_013455_stage_minus1d_123118_min24_balanced_200_40_r16_lr1e4_e1/adapters/main/adapter_model.safetensors
server1,reflection-based-ke/08-sft-v3-adapter-arms,13,13,13,2099931496,TRAINED_ADAPTER,/mnt/raid5/janghj/reflection-based-ke/local/results/raw/experiments/08-sft-v3-adapter-arms/27625_sftv3_mixed_e2_exact/adapters/mixed/adapters/epochs/epoch_1/adapter_model.safetensors
server1,single-layer-cumulative-risk-abc,189,189,189,150020188731,PREPARED_OR_NATIVE_CAPSULE|WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/direct-B-r4/B-alpha-0.02/endpoint.pt
server1,training-logs/lora_sft,23,23,23,3715263416,TRAINED_ADAPTER,/mnt/raid5/janghj/00.KE/00.Experiment/00.EAIR_parametric/logs/lora_sft/15450_qwen2.5_aug_lora_new/checkpoint-100/adapter_model.safetensors
server2,alpha-native-response-v31-sequential-routing,18,18,18,124382493486,WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/ODE-edit/local/alpha-native-response-v31-sequential-routing/run-20260906-main-v2/chain-0-llama3-8b-inst-O_NATIVE/checkpoints/W1-M1.pt
server2,blue-alphaedit-l4-oneshot-sequential,3,3,3,3170905903,WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l4-oneshot-sequential/attempt-v1/main-llama/B01/W-M.pt
server2,blue-alphaedit-l8-oneshot-sequential,3,3,3,3170905903,WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-l8-oneshot-sequential/attempt-v1/main-llama/B01/W-M.pt
server2,blue-alphaedit-sequential-comparison,3,3,3,6341800675,WEIGHT_STATE_INDICATORS,/mnt/raid5/janghj/ODE-edit/local/checkpoint-archives/server4-migration-20260911-v1/new177-v1/payload/local/blue-alphaedit-sequential-comparison/attempt-v1/execution-tech-r2/main-llama/B01/W-M.pt
