entry,batch_raw,bank,requests,contexts,protected_positions,sequence_positions,one_token_contexts,max_target_tokens,protected_position_fraction,max_teacher_probability_sum_error,projector_rank,data_factor_columns
Early,100,Past,128,256,258,3703,254,2,0.06967323791520388,7.873126424140509e-07,14326,1088
Early,100,Base,128,128,130,1134,126,2,0.1146384479717813,8.533335260629826e-07,14326,1088
Early,100,BaseAudit,128,128,128,1129,128,1,0.1133746678476528,8.897261507545551e-07,14326,1088
Early,100,BaseW0,128,128,130,1134,126,2,0.1146384479717813,8.212572564225695e-07,14326,1088
Early,100,BaseAuditW0,128,128,128,1129,128,1,0.1133746678476528,8.279036913805271e-07,14326,1088
Middle,100,Past,128,256,258,3588,254,2,0.07190635451505016,8.632652563900223e-07,14326,1088
Middle,100,Base,128,128,130,1118,126,2,0.11627906976744186,7.074226335834766e-07,14326,1088
Middle,100,BaseAudit,128,128,129,1088,127,2,0.11856617647058823,7.770908858617531e-07,14326,1088
Middle,100,BaseW0,128,128,130,1118,126,2,0.11627906976744186,8.640252464608977e-07,14326,1088
Middle,100,BaseAuditW0,128,128,129,1088,127,2,0.11856617647058823,7.952626455143275e-07,14326,1088
Late,100,Past,128,256,258,3589,254,2,0.07188631930899972,7.995385709058667e-07,14326,1089
Late,100,Base,128,128,131,1136,125,2,0.1153169014084507,8.424946378315923e-07,14326,1089
Late,100,BaseAudit,128,128,129,1162,127,2,0.11101549053356283,9.654702342043464e-07,14326,1089
Late,100,BaseW0,128,128,131,1136,125,2,0.1153169014084507,9.008161081514032e-07,14326,1089
Late,100,BaseAuditW0,128,128,129,1162,127,2,0.11101549053356283,7.673934079299727e-07,14326,1089
Middle,1,Past,128,256,258,3621,254,2,0.07125103562551781,8.632652563900223e-07,14326,394
Middle,1,Base,128,128,129,1097,127,2,0.11759343664539654,8.124784098839655e-07,14326,394
Middle,1,BaseAudit,128,128,129,1083,127,2,0.11911357340720222,9.176125337351237e-07,14326,394
Middle,1,BaseW0,128,128,129,1097,127,2,0.11759343664539654,7.36323902961189e-07,14326,394
Middle,1,BaseAuditW0,128,128,129,1083,127,2,0.11911357340720222,7.731789568587999e-07,14326,394
Middle,7,Past,128,256,256,3606,256,1,0.07099278979478647,8.632652563900223e-07,14326,434
Middle,7,Base,128,128,129,1096,127,2,0.1177007299270073,8.838956213619298e-07,14326,434
Middle,7,BaseAudit,128,128,129,1089,127,2,0.1184573002754821,9.176125337351237e-07,14326,434
Middle,7,BaseW0,128,128,129,1096,127,2,0.1177007299270073,7.624715325782461e-07,14326,434
Middle,7,BaseAuditW0,128,128,129,1089,127,2,0.1184573002754821,7.731789568587999e-07,14326,434
