arm,endpoint,prompt,z_provenance,success_numerator,success_denominator,success_strict_numerator,success_strict_denominator,accuracy_numerator,accuracy_denominator,accuracy_strict_numerator,accuracy_strict_denominator,target_new_max,target_new_mean,target_new_median,target_new_p90,target_true_max,target_true_mean,target_true_median,target_true_p90
alphaedit,accepted_z_or_native_z,rewrite,NATIVE_ALPHAEDIT_Z,1000,1000,1000,1000,1000,1000,1000,1000,0.025194421410560608,0.0013915438221733893,0.0007433511782437563,0.0033570146188139915,31.449064254760742,15.196513225078583,14.896466255187988,20.951120376586914
alphaedit,accepted_z_or_native_z,rephrase,NATIVE_ALPHAEDIT_Z,1987,2000,988,1000,1631,2000,694,1000,12.862534523010254,0.7976907307744578,0.06925876706372947,2.721581995487213,24.27603054046631,12.183187448585405,11.778221607208252,17.39711284637451
alphaedit,immediate_W,rewrite,NOT_APPLICABLE,1000,1000,1000,1000,1000,1000,1000,1000,0.02607957273721695,0.0014925836953384533,0.0008041276014409959,0.003581777447834611,31.112592697143555,15.100299176216126,14.8002347946167,20.819164276123047
alphaedit,immediate_W,rephrase,NOT_APPLICABLE,1948,2000,955,1000,1511,2000,613,1000,13.746431350708008,1.1592758414183608,0.2907789424061775,3.3864146806299686,23.082350730895996,10.758104332764255,10.754892110824585,15.675660133361816
memit,accepted_z_or_native_z,rewrite,NATIVE_MEMIT_LATENT_Z_OBSERVATION_NOT_P1R52_ACCEPTED_Z,1000,1000,1000,1000,1000,1000,1000,1000,0.043855756521224976,0.002096798793733342,0.000902960222447291,0.004588788375258446,27.45424461364746,14.776315965175629,14.372349262237549,20.241044998168945
memit,accepted_z_or_native_z,rephrase,NATIVE_MEMIT_LATENT_Z_OBSERVATION_NOT_P1R52_ACCEPTED_Z,1980,2000,981,1000,1626,2000,689,1000,12.733782768249512,0.7717991034221341,0.0817473437928129,2.6468722596764565,24.677602767944336,11.586471787825227,11.335656642913818,16.863792419433594
memit,immediate_W,rewrite,NOT_APPLICABLE,996,1000,996,1000,989,1000,989,1000,12.664019584655762,0.07658723756304425,0.003204451175406575,0.022911004722118378,24.849830627441406,12.895130016531795,12.687969207763672,18.405181884765625
memit,immediate_W,rephrase,NOT_APPLICABLE,1841,2000,879,1000,1344,2000,528,1000,18.988174438476562,1.6781503709262944,0.6032406305894256,4.716974973678589,21.984386444091797,9.28681953659316,9.209508299827576,14.49013900756836
c0,accepted_z_or_native_z,rewrite,P1R52_ACCEPTED_Z,999,1000,999,1000,996,1000,996,1000,6.398036956787109,0.05814047066638887,0.02011747006326914,0.0872124508023262,24.00774383544922,10.795876319766045,10.268672466278076,16.056259155273438
c0,accepted_z_or_native_z,rephrase,P1R52_ACCEPTED_Z,1940,2000,947,1000,1394,2000,551,1000,13.43373966217041,1.3882157269235067,0.6036551985889673,3.972266674041748,21.037388801574707,8.992932274370455,8.784339666366577,13.507415294647217
c0,immediate_W,rewrite,NOT_APPLICABLE,999,1000,999,1000,996,1000,996,1000,6.204568386077881,0.05269701395489756,0.01832595095038414,0.08207442611455917,24.129405975341797,10.798761595964432,10.335990905761719,16.10816192626953
c0,immediate_W,rephrase,NOT_APPLICABLE,1661,2000,719,1000,965,2000,294,1000,13.705602645874023,2.651555843718554,1.9545610025525093,6.214140892028809,19.61207103729248,7.129028300994541,6.777652263641357,11.718503475189209
c1,accepted_z_or_native_z,rewrite,P1R52_ACCEPTED_Z,1000,1000,1000,1000,997,1000,997,1000,6.349158763885498,0.039679913120970016,0.014132830314338207,0.060341957956552505,23.28721809387207,11.218118319749832,10.740217685699463,16.260995864868164
c1,accepted_z_or_native_z,rephrase,P1R52_ACCEPTED_Z,1937,2000,941,1000,1420,2000,564,1000,13.100144386291504,1.3346861919580841,0.48690294101834297,3.972266674041748,20.709797859191895,9.222916593147675,9.08788776397705,13.712798595428467
c1,immediate_W,rewrite,NOT_APPLICABLE,1000,1000,1000,1000,997,1000,997,1000,6.171868801116943,0.035539499359714684,0.012934417929500341,0.05274299532175064,23.26633071899414,11.23210163116455,10.763324737548828,16.391319274902344
c1,immediate_W,rephrase,NOT_APPLICABLE,1686,2000,739,1000,1021,2000,320,1000,13.710614681243896,2.5406898249477674,1.8456931337714195,6.067924857139587,19.58043384552002,7.296925968457596,7.000891327857971,11.9208984375
c3,accepted_z_or_native_z,rewrite,P1R52_ACCEPTED_Z,998,1000,998,1000,994,1000,994,1000,6.350800514221191,0.05983794409353868,0.020172731950879097,0.08415316790342331,23.499221801757812,10.862917377710342,10.352555751800537,16.015209197998047
c3,accepted_z_or_native_z,rephrase,P1R52_ACCEPTED_Z,1930,2000,941,1000,1400,2000,550,1000,13.83218240737915,1.3822324931570766,0.5972008127719164,3.972266674041748,23.287880897521973,9.085106074501295,8.901216745376587,13.746832847595215
c3,immediate_W,rewrite,NOT_APPLICABLE,998,1000,998,1000,992,1000,992,1000,6.184371471405029,0.0538836395269027,0.018876899033784866,0.0752323791384697,23.57373046875,10.874818429231643,10.489680290222168,15.93079948425293
c3,immediate_W,rephrase,NOT_APPLICABLE,1682,2000,742,1000,1023,2000,332,1000,13.703525066375732,2.526564078271971,1.8211628198623657,5.940354585647583,21.44043254852295,7.309436389041482,7.039367079734802,11.763668537139893
