batch,receipt_identity_sha256,request_order_sha256,evaluator_seconds,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean
1,63fd92119da8046195725fbc5fdfe4a70dc343bb6b4f243b36fb98a0a0ace968,bb2e661ad44bf8dc20e0224f21dc90164ed4b3dcf3316d751afb7d8a00bfaed6,57.36691993102431,1000,893,200,1,100,0,100,8,200,28,9.821011565327645,5.002348951343447,100,0,100,13,11.102700235843658,4.942956403158605
2,a0a59140c21f2fb703ef58da1d76fcebafbef01959d6641818ac9ad60a8d4cce,2c3554d22eb6978791aabf5c1d732f46d5645741cd6f18703bad4f33c4b26224,55.94866632949561,1000,921,200,0,100,0,100,1,200,7,10.433557138442993,4.490740235401318,100,0,100,3,10.843524370193482,3.827194439768791
3,7b19c6409e94cfccc4ef38f9ce89a68b4bafd50b178ffccf65bd9e6ff28a983c,2df6391b47b18870111fe8f8f38920fd124f91e471b5ce9b8decc91d70c6a419,57.20401897281408,1000,896,200,1,100,0,100,4,200,18,9.496787710785865,4.138744331551716,100,0,100,5,10.8671200299263,4.398204855043441
4,9000287d8209f79024e2e4342fdec1200b7ab2418ccdc11afd94d18bbe89d1bf,4316264deb4511d722f2879967e8a79f2a17b77becbde775271d3a029324bf71,59.185244348831475,1000,848,200,1,100,0,100,9,200,26,9.86883153140545,4.583503595869988,100,0,100,14,10.60934502363205,4.316815435290336
5,696eff0c247991b0b9a5f8a486765581979b00d8133757058731929ed29002c1,b5e78da762e9d1b0141c2fdc2a63d45f6de76881c9475098336920717389da6a,60.1607740400359,1000,885,200,2,100,0,100,4,200,18,10.213487274050713,4.792961361873895,100,1,100,10,10.89566716849804,4.630414946423843
6,b0d0150a266941cc31de15b242639c191a23f36b249f00095d9e44e62ec00436,2fa621dd1f9f4084429fe893522cbc4520d9934246108992c349533cb3724bc0,60.09374112542719,1000,867,200,0,100,0,100,9,200,30,10.177319383621215,4.923800152242183,100,0,100,12,11.449482576847076,4.947457070574164
7,f00d99adfb88786f4b37064a9b204967aca521986bc2b1cd975ddb97ba27ff39,88b877a000846518d7f86ea7298b976c133aca24f0261a4d95bef378d31c3b8e,57.4579658433795,1000,884,200,2,100,0,100,6,200,21,10.189507842063904,4.804716696655378,100,0,100,8,11.482925567626953,5.287479268759489
8,13fc6fc713ae2fe755ec3a343ba0a110521c5d3ef26f47f3d6c5caba1754151c,6ef207440ca644b418db74d2e2a67f62ae4dda5f5fbf1938c1f1ef16ec6d1009,58.90194683801383,1000,839,200,0,100,0,100,9,200,24,9.618476135730743,4.805347654800862,100,0,100,6,10.414658277034759,4.415810873250011
9,5a53126951402aa94c5844354e7fd9b8a664587ab3b91b1b6758ca53332c9000,d026aa965c1e77807fd3f27049631f9cac88dcd03b60bfe2a8cfd63f258a9e36,56.65542125143111,1000,893,200,0,100,0,100,3,200,18,10.260795766115189,4.730114627252333,100,0,100,8,10.924325778484345,4.456725862289313
10,69836c01c3b33940e06c6f9d2fd3a1927bb7bd6142e0eb8c855b493fcdb0773e,beb956b13d591e380880a221800ca32ab6d9fc0809b2e08a88cee106a2e3c25b,60.32011702377349,1000,913,200,1,100,0,100,7,200,18,10.731110647320747,4.728026032955386,100,0,100,9,11.81848713874817,4.69610164151527
