role,path,bytes,mode,sha256
c0:top_terminal,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/terminal.json,13541,0600,0bc2ac84b6c7ea86ea9feb1c680fa47fd0c8cc77f9f05d99602a821b342d1a72
c0:result_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/manifest.json,1061,0600,1dbc04374f311a030f60a143de604a0a76df954e2466b375699b877a0686c80d
c0:source_manifest,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/source-manifest.json,2581,0600,ede2377a096c434b6516431d74a4d927d47535b4f1842c7999ac4ab6d85ac947
c0:job_timing,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/job-timing.json,314,0600,159c7b4f6d5965ea81dabf6371bb636d4dc190cbe2947ec0bf5cc829e936c312
c0:unit_terminal:01,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-01/terminal.json,2158004,0600,6b75e00d9728cdf21fb4cdd1eb857d5fc4d2e58513ea66e9bcaaead2e3bfc2a1
c0:unit_terminal:02,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-02/terminal.json,2156926,0600,5744bd2d318fb8233e8e7b07240659e6ed3ff041a4696cb235bb6caa8893fc62
c0:unit_terminal:03,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-03/terminal.json,2155589,0600,bef17190a04e8f309f9a9577de82c0d8e38cd968e4d58483aaf79d6052c94872
c0:unit_terminal:04,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-04/terminal.json,2160570,0600,8d368470b6c875b16d67f40cc63a4f077254beecb37cd2a51d1f6a9b5180d625
c0:unit_terminal:05,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-05/terminal.json,2156838,0600,bc4744e45e826ee84a6fa8d87df25f895144525b87fcaa79761203ded40187a1
c0:unit_terminal:06,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-s05-p1r52-c-writer-phase2-tech-r1/local/odebf/results/s05-p1r52-c-writer-phase2-independent-full-fp32-c0-kstep-10xb100-v1/raw/cases/case-06/terminal.json,2160983,0600,acd2239bdac0b9e0ece8b81d774082c497676a37bcfa8fc7e487ade7ff63678e
