arm,K,endpoint,prompt,target,count,mean,median,p90,max,min
c0,1,accepted_z,rephrase,new,2000,8.340176153182984,8.282674312591553,12.6402587890625,19.402048110961914,0.4094327688217163
c0,1,accepted_z,rephrase,true,2000,4.833762133724522,4.399921417236328,9.597164154052734,20.990493774414062,0.00756754819303751
c0,1,accepted_z,rewrite,new,1000,8.272890848815441,8.091931343078613,12.979267120361328,21.407352447509766,0.2977759838104248
c0,1,accepted_z,rewrite,true,1000,4.595359234155389,4.153849363327026,8.846124649047852,15.432395935058594,0.002583620371297002
c0,1,post_writer_W,rephrase,new,2000,8.410025177538396,8.310935497283936,12.541557312011719,19.913982391357422,0.5131126046180725
c0,1,post_writer_W,rephrase,true,2000,4.928621311794035,4.447082757949829,9.573410034179688,20.81976890563965,0.012206260114908218
c0,1,post_writer_W,rewrite,new,1000,7.8621285038888455,7.705789089202881,12.130440711975098,18.919422149658203,0.34218040108680725
c0,1,post_writer_W,rewrite,true,1000,4.582503633887274,4.184536457061768,8.798763275146484,14.677068710327148,0.0030845466535538435
c0,1,pre_writer_W,rephrase,new,2000,10.081088499486446,10.005894660949707,14.581029891967773,20.91835594177246,0.9623037576675415
c0,1,pre_writer_W,rephrase,true,2000,4.70003036399465,4.326975345611572,9.530658721923828,20.848831176757812,0.0035147815942764282
c0,1,pre_writer_W,rewrite,new,1000,11.040823616683483,10.93730354309082,16.200504302978516,22.937421798706055,0.7286462187767029
c0,1,pre_writer_W,rewrite,true,1000,4.591916079607326,4.241697788238525,9.64651870727539,16.17287254333496,0.0011940023396164179
c0,2,accepted_z,rephrase,new,2000,5.5576022224929185,5.159598112106323,10.194890975952148,18.875904083251953,0.04506465420126915
c0,2,accepted_z,rephrase,true,2000,5.574722474656533,5.244041919708252,10.02979564666748,20.968862533569336,0.005880436860024929
c0,2,accepted_z,rewrite,new,1000,4.5629153435006735,4.118754625320435,8.398256301879883,15.630684852600098,0.11788327246904373
c0,2,accepted_z,rewrite,true,1000,5.111607416808605,4.784234046936035,9.086533546447754,14.160387992858887,0.07471787184476852
c0,2,post_writer_W,rephrase,new,2000,6.088152948655188,5.724132061004639,10.745564460754395,20.884313583374023,0.08707762509584427
c0,2,post_writer_W,rephrase,true,2000,5.373155073528178,4.981058597564697,9.866178512573242,21.052507400512695,0.009445147588849068
c0,2,post_writer_W,rewrite,new,1000,4.412196414195001,3.9938933849334717,8.012980461120605,15.503223419189453,0.10130812972784042
c0,2,post_writer_W,rewrite,true,1000,5.139695748582482,4.764269590377808,9.039345741271973,14.10499382019043,0.09813882410526276
c0,2,pre_writer_W,rephrase,new,2000,8.410025177538396,8.310935497283936,12.541557312011719,19.913982391357422,0.5131126046180725
c0,2,pre_writer_W,rephrase,true,2000,4.928621311794035,4.447082757949829,9.573410034179688,20.81976890563965,0.012206260114908218
c0,2,pre_writer_W,rewrite,new,1000,7.8621285038888455,7.705789089202881,12.130440711975098,18.919422149658203,0.34218040108680725
c0,2,pre_writer_W,rewrite,true,1000,4.582503633887274,4.184536457061768,8.798763275146484,14.677068710327148,0.0030845466535538435
c0,3,accepted_z,rephrase,new,2000,2.997799568736227,2.201438784599304,6.9567718505859375,18.123939514160156,0.002248261356726289
c0,3,accepted_z,rephrase,true,2000,7.379202051990665,7.198781967163086,11.714179992675781,19.28021240234375,0.015949057415127754
c0,3,accepted_z,rewrite,new,1000,1.65683828543243,1.1333051919937134,3.8909242153167725,11.759883880615234,0.0013323486782610416
c0,3,accepted_z,rewrite,true,1000,7.271898998022079,6.989593744277954,11.685242652893066,18.237642288208008,0.7059904336929321
c0,3,post_writer_W,rephrase,new,2000,3.550102750009275,2.774983763694763,7.821352005004883,18.28112030029297,0.0017200212460011244
c0,3,post_writer_W,rephrase,true,2000,6.664760201353114,6.474709987640381,11.134020805358887,21.002464294433594,0.012461184523999691
c0,3,post_writer_W,rewrite,new,1000,1.6312718396557029,1.115196168422699,3.865400791168213,11.977364540100098,0.002422614488750696
c0,3,post_writer_W,rewrite,true,1000,7.250846623241902,6.907124280929565,11.681530952453613,18.456287384033203,0.581646740436554
