phase,arm,unit,K,layer,telemetry_status,pi,beta,suffix_mass,applied_coefficient,entry_residual_norm,current_residual_norm,key_norm,q_norm,update_norm,update_energy,update_norm_share,update_energy_share,storage_dtype,alpha_cache_history_width,prepared_update_norm,prepared_update_energy,actual_delta_norm,actual_delta_energy,rounding_error_max_abs,rounding_error_norm,rounding_error_energy,prepared_vs_actual_byte_exact,prepared_vs_actual_cosine,official_reference_endpoint_byte_exact,storage_assignment_count,numeric_storage_cast_count,bf16_path_call_count,postcast_decision_influence_count,official_entrypoint,native_alphaedit_compute_z_call_count,edit_core_wall_seconds_per_K
2,c0,1,1,4,RECORDED,0.19396309515740576,0.19396309515740576,1.0,0.02424538689467572,7.592054847827662,7.592054847827662,28.4580977190703,3.298148222074917,0.4806920540828417,0.23106485085838163,0.12077336385362068,0.06205946971877516,torch.float32,0,0.4806920537043238,0.23106485049448047,0.4806920540828417,0.23106485085838163,2.1712878606194863e-08,1.954772640621447e-06,3.821136076522145e-12,False,1.0,True,1,0,0,0,,,
2,c0,1,1,5,RECORDED,0.21732585497584597,0.2696227104121071,0.8060369048425944,0.03370283880151339,7.592054847827662,7.180364149737248,34.3605121244467,2.8913460550146026,0.5570027064215181,0.3102520149608958,0.13994633353873592,0.0833275829539968,torch.float32,0,0.5570027056202025,0.310252014068226,0.5570027064215181,0.3102520149608958,2.5320332497358322e-08,1.9637646712265923e-06,3.856371683957687e-12,False,1.0,True,1,0,0,0,,,
2,c0,1,1,6,RECORDED,0.21241530732573194,0.360814201421582,0.5887110498667484,0.04510177517769775,7.592054847827662,6.897575082672782,38.12525389607703,2.734866051136379,0.6721075676842257,0.45172858253840603,0.168866306674397,0.1213254036042433,torch.float32,0,0.6721075672449076,0.451728581947868,0.6721075676842257,0.45172858253840603,1.2936652638018131e-08,1.9622980709420495e-06,3.850613719222889e-12,False,0.9999999999965017,True,1,0,0,0,,,
2,c0,1,1,7,RECORDED,0.18235709979543147,0.4846111161503627,0.3762957425410164,0.060576389518795334,7.592054847827662,6.3287786896216085,37.4188340086591,2.8482269712106407,0.8585051997629334,0.7370311780199942,0.2156985121358491,0.19795206369210464,torch.float32,0,0.8585051997315734,0.7370311779661487,0.8585051997629334,0.7370311780199942,2.3399479687213898e-08,1.9909201447876535e-06,3.9637630229212905e-12,False,0.9999999999972299,True,1,0,0,0,,,
2,c0,1,1,8,RECORDED,0.19393864274558495,1.0,0.19393864274558495,0.125,7.592054847827662,5.068663591865926,37.01244971853685,2.878359629079899,1.4118089376745315,1.9932044764976893,0.3547154837973973,0.5353354800308802,torch.float32,0,1.4118089378159506,1.9932044768970025,1.4118089376745315,1.9932044764976893,1.3737007975578308e-08,1.9845782380678804e-06,3.938550783012613e-12,False,0.9999999999886509,True,1,0,0,0,,,
2,c0,1,2,4,RECORDED,0.18324833401998714,0.18324833401998714,1.0,0.022906041752498392,8.402171674979465,8.402171674979465,28.4580977190703,3.298148222074917,0.5007863236215542,0.25078694192639195,0.11303258195166904,0.0532913344814649,torch.float32,0,0.5007863240540983,0.25078694235961635,0.5007863236215542,0.25078694192639195,2.883825800381601e-08,1.955234801944434e-06,3.82294313073469e-12,False,1.0,True,1,0,0,0,,,
2,c0,1,2,5,RECORDED,0.21330170486858308,0.2611585794718206,0.8167516659800129,0.03264482243397757,8.402171674979465,7.94768753668255,34.31768410281063,2.893365254917925,0.5965146241261278,0.3558296967963355,0.13463943593607267,0.07561254682860422,torch.float32,0,0.5965146238261533,0.35582969643845713,0.5965146241261278,0.3558296967963355,2.7939677238464355e-08,1.9643345885477174e-06,3.8586103757649305e-12,False,0.9999999999988972,True,1,0,0,0,,,
2,c0,1,2,6,RECORDED,0.2155680622472906,0.3572260769563376,0.6034499611114299,0.0446532596195422,8.402171674979465,7.759489416721964,37.89546358938346,2.743657159660607,0.7462535538089928,0.5568943665725513,0.16843703990882855,0.11833807506840605,torch.float32,0,0.7462535538315995,0.556894366606292,0.7462535538089928,0.5568943665725513,2.9685907065868378e-08,1.9635435954777505e-06,3.8555034513416925e-12,False,0.9999999999959951,True,1,0,0,0,,,
2,c0,1,2,7,RECORDED,0.1896609269364254,0.48896565550447774,0.38788189886413926,0.06112070693805972,8.402171674979465,7.334028799348032,37.45788488709895,2.837867033335143,0.9800757897416598,0.9605485536377382,0.22121310386770485,0.2041131562289252,torch.float32,0,0.9800757899850684,0.960548554114856,0.9800757897416598,0.9605485536377382,1.4668330550193787e-08,1.991784385720033e-06,3.96720503919813e-12,False,0.9999999999976444,True,1,0,0,0,,,
2,c0,1,2,8,RECORDED,0.19822097192771387,1.0,0.19822097192771387,0.125,8.402171674979465,6.126965712955343,37.34820896614862,2.8383535998105938,1.6068296254333077,2.581901445170144,0.36267783833572487,0.5486448873925998,torch.float32,0,1.6068296251536505,2.581901444271421,1.6068296254333077,2.581901445170144,2.3981556296348572e-08,1.9855926673497664e-06,3.94257824063316e-12,False,0.9999999999897801,True,1,0,0,0,,,
2,c0,1,3,4,RECORDED,0.17977789104771383,0.17977789104771383,1.0,0.02247223638096423,13.171945300883053,13.171945300883053,28.4580977190703,3.298148222074917,0.7821185029028778,0.6117093525830388,0.11532419079786103,0.05569207452943345,torch.float32,0,0.7821185028434693,0.6117093524901098,0.7821185029028778,0.6117093525830388,1.4686520444229245e-08,1.9558981508756703e-06,3.825537576598866e-12,False,0.99999999999625,True,1,0,0,0,,,
2,c0,1,3,5,RECORDED,0.20814675544113578,0.2537687696653445,0.8202221089522861,0.03172109620816806,13.171945300883053,12.422331421530306,34.24512385395972,2.8964165926332766,0.9276464472136219,0.8605279310280549,0.13678243830616327,0.07834535383038449,torch.float32,0,0.9276464471515945,0.8605279309129761,0.9276464472136219,0.8605279310280549,2.0721927285194397e-08,1.964913094791832e-06,3.860883470084416e-12,False,0.9999999999971977,True,1,0,0,0,,,
2,c0,1,3,6,RECORDED,0.20531139678622246,0.3354348375709956,0.6120753535111504,0.04192935469637445,13.171945300883053,12.094280009329193,37.50935154934008,2.7585421124978105,1.1316661198613212,1.280668206841978,0.166865352298881,0.11659633602420244,torch.float32,0,1.1316661200442482,1.2806682072560025,1.1316661198613212,1.280668206841978,1.4784745872020721e-08,1.9637744003066116e-06,3.856409895299591e-12,False,0.9999999999910519,True,1,0,0,0,,,
2,c0,1,3,7,RECORDED,0.19185654041261838,0.4716655378154864,0.40676395672492793,0.0589581922269358,13.171945300883053,11.228725109408218,37.390175726215254,2.8271649843754605,1.4869302991112099,2.2109617144149523,0.21924942688527052,0.20129338232442065,torch.float32,0,1.4869302984789214,2.2109617125346146,1.4869302991112099,2.2109617144149523,2.561137080192566e-08,1.992777515396532e-06,3.971162225869976e-12,False,0.9999999999888357,True,1,0,0,0,,,
2,c0,1,3,8,RECORDED,0.21490741631230953,1.0,0.21490741631230953,0.125,13.171945300883053,9.26940439386451,37.87198268834507,2.780406233035111,2.4535505393479977,6.019910249134851,0.36177859171182414,0.548072853291559,torch.float32,0,2.4535505390934875,6.019910247885944,2.4535505393479977,6.019910249134851,2.2351741790771484e-08,1.9873359870911156e-06,3.949504325587418e-12,False,0.9999999999898966,True,1,0,0,0,,,
