phase,unit,K,c0_accepted_z_sha256,c1_accepted_z_sha256,c3_accepted_z_sha256,accepted_z_all_arms_equal,c0_selected_target_sha256,c1_selected_target_sha256,c3_selected_target_sha256,selected_target_all_arms_equal
3,1,1,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,True,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,5401f351fa33418a5d77db117182452128d123042dbcc3eae93418e6499789e5,True
3,1,2,b722f4ec9f40dd7199378e7c79e04e01b6c6d1e446850cadfe96adfd1992925f,8674d66b69b38b8bba95bb1e6120e3ec4fcd6614a8c3593bea658f0ab547342c,1617e4b010568ddb377255cc8616ebabe3bf9c43d613c3e477908c086bb686fd,False,b722f4ec9f40dd7199378e7c79e04e01b6c6d1e446850cadfe96adfd1992925f,8674d66b69b38b8bba95bb1e6120e3ec4fcd6614a8c3593bea658f0ab547342c,1617e4b010568ddb377255cc8616ebabe3bf9c43d613c3e477908c086bb686fd,False
3,1,3,5f934086ec28354d1c3ad40200cbd8de24ba034e3d4fa5069cfa4b1bfafc7786,ca37077a2cf7ca9be7e4619704d4ed4985b16f98ec072580a3c0f56da623c644,680e805bed925258b39aa770b2e2bbdc064a543a9b9180e05f59856246ec9077,False,5f934086ec28354d1c3ad40200cbd8de24ba034e3d4fa5069cfa4b1bfafc7786,ca37077a2cf7ca9be7e4619704d4ed4985b16f98ec072580a3c0f56da623c644,680e805bed925258b39aa770b2e2bbdc064a543a9b9180e05f59856246ec9077,False
3,1,4,68bd8e2dd678c687e9210567a0d57d886673d24b1ee1aa906fc02e8e09255e22,56624b990482636b764168bb7d7d672d147daf78f94fc9b0b995bf3091020be0,e81e21748155aadc5433393392e95ea3a96d8dedf3e15262340bfd1d43b8a11a,False,68bd8e2dd678c687e9210567a0d57d886673d24b1ee1aa906fc02e8e09255e22,56624b990482636b764168bb7d7d672d147daf78f94fc9b0b995bf3091020be0,e81e21748155aadc5433393392e95ea3a96d8dedf3e15262340bfd1d43b8a11a,False
3,1,5,d4ae61b87c22d31e1a7496e88ac46f8cd5d68680ab2c6454ebe2f7984205ed1a,4e3cfd8f9611108265e2dfda4837b18496fa39ecb1e6c2324f362241ac5df4b1,88637b134765177eebf86c8799d26b8166cd4e816295290ac7657f55541a5945,False,d4ae61b87c22d31e1a7496e88ac46f8cd5d68680ab2c6454ebe2f7984205ed1a,4e3cfd8f9611108265e2dfda4837b18496fa39ecb1e6c2324f362241ac5df4b1,88637b134765177eebf86c8799d26b8166cd4e816295290ac7657f55541a5945,False
3,1,6,2f037423c4aabca723a5c12b5acdc42c30a87c2ce552fdafccf4d430669bc90c,bfa3e420509071ac6c0ef52160f6dbc1e92e9d4d6000f87f6f7ccfe3c9f136a0,e4ec4aa1efc24a77a5974d6b9629639fcf2674c9a9710fabf9cb465043b293f3,False,2f037423c4aabca723a5c12b5acdc42c30a87c2ce552fdafccf4d430669bc90c,bfa3e420509071ac6c0ef52160f6dbc1e92e9d4d6000f87f6f7ccfe3c9f136a0,e4ec4aa1efc24a77a5974d6b9629639fcf2674c9a9710fabf9cb465043b293f3,False
3,1,7,785350ea1baf26f13b41689c1f755e66f1c667b54b6fa5c8352f051097f89fde,78f66872104faf32b192f1be579f67d7ae5deb396c3e2fe891e9842d25fb04e1,5c9a046b1a77e2cc9faafbc84992e7e4caa7c8be231c7400856d8fe5472e4b65,False,785350ea1baf26f13b41689c1f755e66f1c667b54b6fa5c8352f051097f89fde,78f66872104faf32b192f1be579f67d7ae5deb396c3e2fe891e9842d25fb04e1,5c9a046b1a77e2cc9faafbc84992e7e4caa7c8be231c7400856d8fe5472e4b65,False
3,1,8,e06141e1e7d7192e17bb0fa5ca4a393d98db0cce157cfbcc931ace10a9ded764,e7882eff022420c9983878f5e1b4b2bcfc2ec79f3e719edc284118b9bd918a58,83a4192c283c32c5920bfc0b3fd7cc28f539a99c4a0db0c72de6a23f9fd8ede8,False,e06141e1e7d7192e17bb0fa5ca4a393d98db0cce157cfbcc931ace10a9ded764,e7882eff022420c9983878f5e1b4b2bcfc2ec79f3e719edc284118b9bd918a58,83a4192c283c32c5920bfc0b3fd7cc28f539a99c4a0db0c72de6a23f9fd8ede8,False
3,2,1,ed8f491a7b7b72ee8097c41a26422169947acac241d2772a942be5e81fd8a435,096cee43d73d45a1c7f9b4f5575b87de43770ccf6c87a2289d17541c508e4cf7,f2b6f3b1e69365deb0206b89e02e2e3a53f8ec7a473d1362f4617cd1d682c3c1,False,ed8f491a7b7b72ee8097c41a26422169947acac241d2772a942be5e81fd8a435,096cee43d73d45a1c7f9b4f5575b87de43770ccf6c87a2289d17541c508e4cf7,f2b6f3b1e69365deb0206b89e02e2e3a53f8ec7a473d1362f4617cd1d682c3c1,False
3,2,2,706cebb848e3e4b67bb21bbc20c682ad747c8e6e1a5ce5b906cd7b945340e505,94cdbcd71db34822386cdfd7165c8574565d560f23a414b9240238e7c82275f4,ac1cbcdcfcbf4510e2df38f5f5728f012c4657aa506f7b666b4b82c3e031a0e9,False,706cebb848e3e4b67bb21bbc20c682ad747c8e6e1a5ce5b906cd7b945340e505,94cdbcd71db34822386cdfd7165c8574565d560f23a414b9240238e7c82275f4,ac1cbcdcfcbf4510e2df38f5f5728f012c4657aa506f7b666b4b82c3e031a0e9,False
