arm,batch,same_request_order,phase3_rewrite_success_rate,phase1_rewrite_success_rate,delta_rewrite_success_percentage_points,phase3_rewrite_accuracy_rate,phase1_rewrite_accuracy_rate,delta_rewrite_accuracy_percentage_points,phase3_rephrase_success_rate,phase1_rephrase_success_rate,delta_rephrase_success_percentage_points,phase3_rephrase_accuracy_rate,phase1_rephrase_accuracy_rate,delta_rephrase_accuracy_percentage_points,phase3_rephrase_strict_success_rate,phase1_rephrase_strict_success_rate,delta_rephrase_strict_success_percentage_points,phase3_rephrase_strict_accuracy_rate,phase1_rephrase_strict_accuracy_rate,delta_rephrase_strict_accuracy_percentage_points,phase3_locality_rate,phase1_locality_rate,delta_locality_percentage_points,phase3_rewrite_target_new_nll_mean,phase1_rewrite_target_new_nll_mean,delta_rewrite_target_new_nll_mean,phase3_rewrite_target_true_nll_mean,phase1_rewrite_target_true_nll_mean,delta_rewrite_target_true_nll_mean,phase3_rephrase_target_new_nll_mean,phase1_rephrase_target_new_nll_mean,delta_rephrase_target_new_nll_mean,phase3_rephrase_target_true_nll_mean,phase1_rephrase_target_true_nll_mean,delta_rephrase_target_true_nll_mean,phase3_batch_total_seconds,phase1_batch_total_seconds,delta_case_total_seconds,case_total_ratio,phase3_total_recorded_update_energy,phase1_writer_update_energy,delta_total_update_energy
c0,1,True,1.0,0.99,1.0000000000000009,0.99,0.98,1.0000000000000009,0.93,0.945,-1.4999999999999902,0.62,0.615,0.5000000000000004,0.89,0.91,-2.0000000000000018,0.45,0.46,-1.0000000000000009,0.826,0.828,-0.20000000000000018,0.06948607831873232,0.11041983540577348,-0.04093375708704115,11.73253361225128,12.243537118434906,-0.5110035061836253,1.8636027749686037,1.9073050042550312,-0.04370222928642753,8.516466383934022,8.802139053940772,-0.28567267000675045,3330.355214446783,1151.0396897923201,2179.315524654463,2.893345246025072,31.277452604349985,44.807242792721766,-13.52979018837178
c0,2,True,1.0,1.0,0.0,0.99,0.98,1.0000000000000009,0.905,0.89,1.5000000000000013,0.55,0.58,-2.9999999999999916,0.84,0.81,2.9999999999999916,0.37,0.39,-2.0000000000000018,0.847,0.8530000000000001,-0.6000000000000116,0.12097648171824403,0.17559838112356374,-0.05462189940531971,10.563854899406433,10.543983080387115,0.019871819019318337,2.1578379624616355,2.097798463101499,0.06003949936013653,8.235571277067065,8.147731053829194,0.08784022323787077,3450.6948335971683,1125.525629057549,2325.1692045396194,3.0658518513581816,26.690591832146463,34.169704272191616,-7.479112440045153
c0,3,True,1.0,1.0,0.0,1.0,1.0,0.0,0.89,0.875,1.5000000000000013,0.565,0.55,1.4999999999999902,0.82,0.77,4.999999999999993,0.35,0.32,2.9999999999999973,0.856,0.868,-1.200000000000001,0.02346525857457891,0.014336750305083114,0.009128508269495798,11.242970037460328,11.530988569259643,-0.2880185317993149,1.9747350135457236,2.13588434777339,-0.16114933422766642,7.064970961660147,7.161932141557336,-0.096961179897189,3149.883851320483,1106.6194352926686,2043.2644160278141,2.846402070001084,19.33062099035801,30.051728685280516,-10.721107694922505
c0,4,True,1.0,1.0,0.0,0.98,0.99,-1.0000000000000009,0.89,0.9,-1.0000000000000009,0.525,0.56,-3.500000000000003,0.8,0.82,-1.9999999999999907,0.32,0.38,-6.0,0.829,0.8260000000000001,0.29999999999998916,0.1921806342806667,0.06729517586820294,0.12488545841246376,10.734478220939636,11.59826862335205,-0.8637904024124143,2.198127618294675,2.0215592075377935,0.17656841075688146,7.192740243971348,7.600434095561504,-0.4076938515901567,3390.9761742688715,1169.2370811831206,2221.739093085751,2.9001613349771893,19.704396530688523,26.64829597224203,-6.943899441553505
c0,5,True,1.0,1.0,0.0,1.0,1.0,0.0,0.81,0.81,0.0,0.485,0.505,-2.0000000000000018,0.68,0.71,-2.9999999999999916,0.31,0.33,-2.0000000000000018,0.84,0.8439999999999999,-0.39999999999998925,0.02222880021610763,0.03650860972760711,-0.014279809511499483,11.312957677841187,10.646957490444183,0.6660001873970032,2.587557582121226,2.6855751889909154,-0.09801760686968919,7.153908852078021,6.982897600196302,0.17101125188171906,3458.64879554417,1206.4406683752313,2252.2081271689385,2.866820463041991,15.610867892690253,19.6687004419707,-4.057832549280446
c0,6,True,1.0,1.0,0.0,1.0,1.0,0.0,0.85,0.83,2.0000000000000018,0.495,0.475,2.0000000000000018,0.75,0.71,4.0000000000000036,0.3,0.29,1.0000000000000009,0.783,0.785,-0.20000000000000018,0.017842180451261812,0.014087967809464317,0.003754212641797495,11.536115262508392,11.8327947807312,-0.2966795182228079,2.5918320403108375,2.6015620430279522,-0.009730002717114772,7.265146788060665,7.1493600280582905,0.11578676000237476,3400.2940533710644,1147.6768592000008,2252.6171941710636,2.962762580872522,16.26915192264059,21.830323870868064,-5.561171948227475
c0,7,True,1.0,1.0,0.0,1.0,1.0,0.0,0.82,0.83,-1.0000000000000009,0.495,0.48,1.5000000000000013,0.7,0.72,-2.0000000000000018,0.3,0.27,2.9999999999999973,0.843,0.84,0.30000000000000027,0.04468472607026342,0.012837848802446388,0.031846877267817035,11.60297378540039,12.515382599830627,-0.9124088144302362,2.9059395242296158,2.766088019167073,0.13985150506254262,7.031887233387679,7.517965320944786,-0.48607808755710646,3459.3924776073545,1144.0805203048512,2315.3119573025033,3.0237316484381416,12.216925171780744,17.82825465990966,-5.611329488128916
c0,8,True,1.0,1.0,0.0,1.0,1.0,0.0,0.805,0.805,0.0,0.465,0.44,2.500000000000002,0.67,0.68,-1.0000000000000009,0.26,0.24,2.0000000000000018,0.806,0.801,0.5000000000000004,0.01722813740489073,0.024428686612518503,-0.007200549207627773,10.823457093238831,10.315981259346009,0.5074758338928227,2.7657767752918883,2.8615100455610083,-0.09573327026912004,7.1137534845958,7.083680191452149,0.03007329314365048,3267.567467966117,1123.1028377292678,2144.464630236849,2.9094107486831837,11.6803297078781,13.389476497901198,-1.709146790023098
c0,9,True,1.0,1.0,0.0,1.0,1.0,0.0,0.82,0.765,5.499999999999994,0.575,0.5,7.499999999999996,0.68,0.58,10.000000000000009,0.39,0.29,10.000000000000004,0.851,0.8489999999999999,0.20000000000001128,0.016803679903387093,0.05318230693606893,-0.03637862703268184,11.320505592823029,9.849058940410615,1.4714466524124141,2.3728180307819273,2.593867339710414,-0.22104930892848662,7.12833492834121,6.523855775743723,0.6044791525974871,3156.943850569427,1167.4241115497425,1989.5197390196845,2.7041962037075105,16.81271169912705,17.110007450580504,-0.2972957514534542
c0,10,True,1.0,0.99,1.0000000000000009,1.0,0.99,1.0000000000000009,0.705,0.665,3.9999999999999925,0.385,0.355,3.0000000000000027,0.58,0.51,6.999999999999995,0.27,0.23,4.000000000000001,0.876,0.877,-0.10000000000000009,0.04326085918182798,0.13171356969163753,-0.08845271050980955,10.189227900505067,9.126569271087646,1.0626586294174203,3.448399358703755,3.672369817961007,-0.22397045925725223,6.272480444302783,5.896624016351998,0.3758564279507848,3333.7429065899923,1106.3294347887859,2227.4134718012065,3.01333653589941,11.969702951193728,13.506577400284844,-1.5368744490911155
