phase,arm,unit,unit_total_seconds,target_compute_status,target_model_forward_calls,target_backward_calls,target_autograd_invocations,target_capture_forward_calls,target_physical_microbatch_graphs,target_processed_tokens,target_padded_tokens,target_wall_seconds_total,accepted_state_refresh_wall_seconds,kstep_writer_wall_seconds,finite_demand_endpoint_wall_seconds,target_gradient_wall_seconds,terminal_objective_wall_seconds,direct_official_writer_edit_core_seconds,accepted_z_evaluator_count,pre_writer_evaluator_count,post_writer_evaluator_count,heldout_evaluator_count,dense_update_construction_count,native_apply_count,logical_commit_count,router_call_count,numeric_storage_cast_count,bf16_fp16_path_count,added_model_backward_count,semantic_slope_backward_added_count,retry_count
3,c0,1,3330.355214446783,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,2,3450.6948335971683,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,3,3149.883851320483,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,4,3390.9761742688715,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,5,3458.64879554417,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,6,3400.2940533710644,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,7,3459.3924776073545,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,8,3267.567467966117,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,9,3156.943850569427,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
3,c0,10,3333.7429065899923,NOT_RECORDED_PER_BATCH,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_RECORDED,NOT_APPLICABLE,8,8,8,24,40,40,8,0,0,0,0,0,0
