phase,arm,unit,K,endpoint,locality_denominator,locality_numerator,rephrase_accuracy_denominator,rephrase_accuracy_numerator,rephrase_strict_accuracy_denominator,rephrase_strict_accuracy_numerator,rephrase_strict_success_denominator,rephrase_strict_success_numerator,rephrase_success_denominator,rephrase_success_numerator,rephrase_target_new_nll_mean,rephrase_target_true_nll_mean,rewrite_accuracy_denominator,rewrite_accuracy_numerator,rewrite_success_denominator,rewrite_success_numerator,rewrite_target_new_nll_mean,rewrite_target_true_nll_mean,endpoint_identity_sha256
3,c0,1,1,accepted_z,1000,893,200,6,100,1,100,18,200,45,8.13611200273037,5.126287063332274,100,3,100,21,8.171930370330811,4.935172931216657,e5cafd7d99ed5d0cb04d9cf6238707c508397afb3602b1da7c7160d08e7c67fd
3,c0,1,1,post_writer_W,1000,888,200,5,100,0,100,16,200,47,8.20209115922451,5.23231255539693,100,3,100,22,7.8064215528964995,4.920927800387144,346c6d4bf7c516678353c13b9ed5c43c6978407570b367b9526c4ede8bbbecc9
3,c0,1,1,pre_writer_W,1000,893,200,1,100,0,100,8,200,28,9.821011565327645,5.002348951343447,100,0,100,13,11.102700235843658,4.942956403158605,459bbe0cbf1983aa0dceed51093c0a548392fc0d10648ec47303e99c63aeb311
3,c0,1,2,accepted_z,1000,888,200,24,100,5,100,45,200,110,5.497066228725016,5.590959802120924,100,16,100,56,4.666646875441074,5.114190470874309,e54122a86574f649b120d9525962c6381d28d598fa8e8b3d8dca289975e34c10
3,c0,1,2,post_writer_W,1000,890,200,16,100,2,100,30,200,85,6.0631525338441135,5.483409569319337,100,18,100,58,4.519376604557038,5.130214162766934,2c11b1c158debeafbb19cf6e6717972e7dfed9373ad787964b6cbf01eb1c6d92
3,c0,1,2,pre_writer_W,1000,888,200,5,100,0,100,16,200,47,8.20209115922451,5.23231255539693,100,3,100,22,7.8064215528964995,4.920927800387144,346c6d4bf7c516678353c13b9ed5c43c6978407570b367b9526c4ede8bbbecc9
3,c0,1,3,accepted_z,1000,890,200,72,100,19,100,88,200,186,2.9854719578893856,7.428748991340399,100,48,100,98,1.7310303024202585,7.2702103304862975,66c0f37541fbb7b2b2493684e44fd15aa466903fd963ba97c55afdc82a9a14e0
3,c0,1,3,post_writer_W,1000,881,200,57,100,15,100,69,200,160,3.6612979486770927,6.690728880278766,100,50,100,97,1.7023850752413272,7.2634335803985595,9d9ddc81d517e1c187eb24112f4d3c72b2d30fc77467cb4b21d7e69818c82426
3,c0,1,3,pre_writer_W,1000,890,200,16,100,2,100,30,200,85,6.0631525338441135,5.483409569319337,100,18,100,58,4.519376604557038,5.130214162766934,2c11b1c158debeafbb19cf6e6717972e7dfed9373ad787964b6cbf01eb1c6d92
3,c0,1,4,accepted_z,1000,881,200,101,100,34,100,93,200,191,2.1699265888286754,8.271195530295373,100,88,100,99,0.6700074095791205,8.640497922897339,3b11a1f2673bc8c5c1d57d97c4737f1394be363a34dc07dc64448636d91cc294
3,c0,1,4,post_writer_W,1000,882,200,82,100,24,100,80,200,177,2.8293500180658886,7.3024208463914695,100,88,100,99,0.6614249002328143,8.637649641036987,f55597fc0328022fab3b2b5e2d126aaffe2a3bfa334e91aab011c3eaee612caa
3,c0,1,4,pre_writer_W,1000,881,200,57,100,15,100,69,200,160,3.6612979486770927,6.690728880278766,100,50,100,97,1.7023850752413272,7.2634335803985595,9d9ddc81d517e1c187eb24112f4d3c72b2d30fc77467cb4b21d7e69818c82426
3,c0,1,5,accepted_z,1000,882,200,122,100,45,100,95,200,193,1.7414513253909536,8.79382892638445,100,96,100,100,0.28055422043427825,9.708209660053253,e8af7e9445f1a03e19e8a1724c7c50b2102fc5df437fc27fb1c3014c0088a5f7
3,c0,1,5,post_writer_W,1000,886,200,98,100,31,100,82,200,179,2.493074377973098,7.677864762004464,100,96,100,99,0.29505450986325743,9.68894276380539,11261d70a5ae48fd8ed3e7eaac4a0b0de5d4c160bf68f7093d7fe2199a52d6bb
3,c0,1,5,pre_writer_W,1000,882,200,82,100,24,100,80,200,177,2.8293500180658886,7.3024208463914695,100,88,100,99,0.6614249002328143,8.637649641036987,f55597fc0328022fab3b2b5e2d126aaffe2a3bfa334e91aab011c3eaee612caa
3,c0,1,6,accepted_z,1000,886,200,128,100,49,100,96,200,195,1.548069309059065,9.317825988531112,100,97,100,100,0.15211408534960355,10.657183423042298,53459a243a5ec02d5c59facff5f77d1eb2d30fbf889ae5cf4f08e878c747aff8
3,c0,1,6,post_writer_W,1000,885,200,108,100,34,100,85,200,183,2.3151439363881945,7.942405606247485,100,98,100,100,0.15604187753473525,10.669024839401246,9a86b93a833dfddcc3d2a74f19eb3971b02c2f8c63110f0b279447c5b23655b7
3,c0,1,6,pre_writer_W,1000,886,200,98,100,31,100,82,200,179,2.493074377973098,7.677864762004464,100,96,100,99,0.29505450986325743,9.68894276380539,11261d70a5ae48fd8ed3e7eaac4a0b0de5d4c160bf68f7093d7fe2199a52d6bb
3,c0,1,7,accepted_z,1000,885,200,131,100,49,100,96,200,195,1.4984667933831224,9.586234744787216,100,99,100,100,0.09771925242042925,11.092268116474152,b84346b43c3979cd9de073754e89940c0302ee22f5906e6558b3a0d92270c380
3,c0,1,7,post_writer_W,1000,887,200,109,100,35,100,85,200,183,2.229140487051918,8.088739111796022,100,98,100,100,0.10033215686031326,11.078227343559265,b4de65610911863a89d5ce8e9357aaf27e378cc2ba97070273e2ba806d711b3e
