model,candidate,evaluator_identity,same_input_as_entry,status,same_entry_W,same_entry_M,fixed_z,lifecycle
llama3-8b-inst,PRE_EDIT,28db347bc64084bab0ef9b24b817834c444f5a9fb42f314823a1a56c84ba0bbd,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,O_NATIVE,e6e087e67a3319592201a8e0931cca1b8ea791a95bd94465463f3c14dd2d16b9,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-BASE,b70b30be42474ecd83a38ac768af6728cd4e1e71c42c9ac7a833772c1a3ca89c,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,OBSERVATION_ONLY_PREFIX
llama3-8b-inst,JV-LAM-001,62b460b27a080301bd040256344ed73add902788c91dfdd426e0bbc6c019730b,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-LAM-00316,361d2dd3c4eb2777d1a9b7470f626a9d67c4d97c306e8871e8c3e296cf88a9fb,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-LAM-0316,e1daf5aeda9f6a91ed82fb3a960ad9499e87b798b7a59dc031bac7d43e87969e,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-LAM-1,9319bd8deea31cd25c658b3c20e46a925a7e3be42d7e76d92fef29ec95870449,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-RES-N2,de4c5e377a06362665797334416046ef1b8cfc4a5631733dffff6b897e2d5ac9,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-RES-N8,d56413d5c5b186d353e8afe38edd2afb813657e52322bded5197a405a095afda,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
llama3-8b-inst,JV-HOR-T1,790518c6818a02e1d85d461c989aeba0a46d20e2d764b0a386675778bb621245,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,OBSERVATION_ONLY_PREFIX
llama3-8b-inst,JV-HOR-T4,f85e428f9c984369a01ae8a1d1ca7c938d8a916e105f3f75fdc0dc954ade4386,True,CANONICAL_EVALUATOR_REDUCER_PASS,c8ea4686f3070ba6fe032c2d3b579c7c9dacd842886175216c34b8dd18f911f2,1e18337a1eca1bb2d5ab0abdc046be7e42c5c00904e3ea65c2f7dc94e5b54807,651ebb1fee40c291e9426cf9e30ec018e2a036f9e2b54dfc5feff10577f26898,ENTRY_OR_TERMINAL
