model,candidate,reference,RS_delta_pp,PS_delta_pp,NS_delta_pp,rewrite_new_nll_mean_delta,rewrite_new_nll_median_delta,rewrite_new_nll_p90_delta,rewrite_new_nll_max_delta,rewrite_true_nll_mean_delta,rewrite_true_nll_median_delta,rewrite_true_nll_p90_delta,rewrite_true_nll_max_delta,rephrase_new_nll_mean_delta,rephrase_new_nll_median_delta,rephrase_new_nll_p90_delta,rephrase_new_nll_max_delta,rephrase_true_nll_mean_delta,rephrase_true_nll_median_delta,rephrase_true_nll_p90_delta,rephrase_true_nll_max_delta,locality_new_nll_mean_delta,locality_new_nll_median_delta,locality_new_nll_p90_delta,locality_new_nll_max_delta,locality_true_nll_mean_delta,locality_true_nll_median_delta,locality_true_nll_p90_delta,locality_true_nll_max_delta,distribution_tail_delta_is_not_paired_delta_quantile
llama3-8b-inst,O_NATIVE,JV-BASE,0.0,5.499999999999994,1.0000000000000009,-0.0014807294552429083,-0.0004471730499062687,-0.00224331554491073,-0.05195358209311962,0.788431186676025,0.7576107978820801,0.9505914688110373,-1.0720195770263672,-0.4683933965941103,-0.8253755271434784,-0.45859103202819895,-0.9185628890991211,0.9431087392102935,0.5306258201599121,0.46335897445678675,2.0724105834960938,0.16429842910170578,0.13404226303100586,0.0657918930053718,0.08771324157714844,-0.06562657100276592,-0.06832051277160645,-0.07460546493530273,0.6383037567138672,True
llama3-8b-inst,JV-BASE,O_NATIVE,0.0,-5.499999999999994,-1.0000000000000009,0.0014807294552429083,0.0004471730499062687,0.00224331554491073,0.05195358209311962,-0.788431186676025,-0.7576107978820801,-0.9505914688110373,1.0720195770263672,0.4683933965941103,0.8253755271434784,0.45859103202819895,0.9185628890991211,-0.9431087392102935,-0.5306258201599121,-0.46335897445678675,-2.0724105834960938,-0.16429842910170578,-0.13404226303100586,-0.0657918930053718,-0.08771324157714844,0.06562657100276592,0.06832051277160645,0.07460546493530273,-0.6383037567138672,True
llama3-8b-inst,JV-LAM-001,O_NATIVE,0.0,-4.999999999999993,-1.200000000000001,0.0012915275918476256,0.00039764263783581555,0.0019564281916245817,0.045882588252425194,-0.721282401084899,-0.7030367851257324,-0.8859642028808601,1.1366767883300781,0.45444266553233303,0.8199867308139801,0.45213952064514196,0.9737586975097656,-0.9163064519781621,-0.5164289474487305,-0.44934902191162074,-2.0545101165771484,-0.1765404014438392,-0.1427783966064453,-0.06555967330932688,-0.11416244506835938,0.06438063910853842,0.04973125457763672,0.05475206375121999,-0.6907958984375,True
llama3-8b-inst,JV-LAM-001,JV-BASE,0.0,0.5000000000000004,-0.20000000000000018,-0.00018920186339528274,-4.953041207045317e-05,-0.00028688735328614816,-0.0060709938406944275,0.06714878559112591,0.054574012756347656,0.0646272659301772,0.06465721130371094,-0.013950731061777244,-0.005388796329498291,-0.006451511383056996,0.05519580841064453,0.026802287232131405,0.01419687271118164,0.014009952545166016,0.017900466918945312,-0.012241972342133423,-0.008736133575439453,0.00023221969604492188,-0.026449203491210938,-0.0012459318942275033,-0.018589258193969727,-0.019853401184082742,-0.05249214172363281,True
llama3-8b-inst,JV-LAM-00316,O_NATIVE,0.0,-4.999999999999993,-1.100000000000001,0.0013361679341414858,0.00041252587107010186,0.0020263725658878685,0.04731511138379574,-0.7377925586700442,-0.7163634300231934,-0.9021263122558594,1.1204967498779297,0.45792403124818515,0.821342796087265,0.4536576747894294,0.961695671081543,-0.9229964758176354,-0.5203657150268555,-0.451030445098878,-2.0590267181396484,-0.17341147136688306,-0.14226388931274414,-0.06463813781738281,-0.10724639892578125,0.06470584671868718,0.0476686954498291,0.05985937118530238,-0.6771106719970703,True
llama3-8b-inst,JV-LAM-00316,JV-BASE,0.0,0.5000000000000004,-0.10000000000000009,-0.0001445615211014225,-3.464717883616686e-05,-0.0002169429790228614,-0.004638470709323883,0.050638628005980735,0.04124736785888672,0.04846515655517791,0.0484771728515625,-0.01046936534592513,-0.004032731056213379,-0.004933357238769531,0.043132781982421875,0.020112263392658036,0.01026010513305664,0.012328529357908735,0.013383865356445312,-0.009113042265177285,-0.008221626281738281,0.0011537551879889918,-0.019533157348632812,-0.0009207242840787444,-0.020651817321777344,-0.014746093750000355,-0.038806915283203125,True
llama3-8b-inst,JV-LAM-0316,O_NATIVE,0.0,-5.499999999999994,-0.8000000000000007,0.001989032492228944,0.0004853905120398849,0.0033362704562023286,0.06816357187926769,-0.9393803262710563,-0.914616584777832,-1.086391639709472,0.9368267059326172,0.4987873366065467,0.8038792312145233,0.47291927337646555,0.7476062774658203,-1.0009100137278448,-0.613274097442627,-0.5011406898498532,-2.1099319458007812,-0.1406264216303832,-0.12205171585083008,-0.05667018890381037,-0.041126251220703125,0.06784659017651595,0.08272433280944824,0.0736246109008789,-0.5468883514404297,True
llama3-8b-inst,JV-LAM-0316,JV-BASE,0.0,0.0,0.20000000000000018,0.0005083030369860356,3.821746213361621e-05,0.0010929549112915988,0.01620998978614807,-0.1509491395950313,-0.15700578689575195,-0.13580017089843466,-0.13519287109375,0.03039394001243645,-0.021496295928955078,0.014328241348266602,-0.17095661163330078,-0.05780127451755135,-0.08264827728271484,-0.037781715393066406,-0.0375213623046875,0.023672007471322587,0.011990547180175781,0.009121704101561434,0.04658699035644531,0.002220019173750032,0.014403820037841797,-0.0009808540344238281,0.0914154052734375,True
llama3-8b-inst,JV-LAM-1,O_NATIVE,0.0,-6.999999999999995,-0.8000000000000007,0.004520946205166183,0.0008394609030801803,0.007975194021128128,0.1425688024610281,-1.3904294204711913,-1.4655189514160156,-1.161685371398928,0.5880794525146484,0.5923945092906795,0.9379014074802399,0.45978865623474174,0.3289508819580078,-1.1700386117212478,-1.0455336570739746,-0.6228712081909187,-2.2129344940185547,-0.08652770359814177,-0.05633878707885742,-0.033994674682618964,0.04464912414550781,0.07253636897861693,0.11106729507446289,0.05648717880248988,-0.3963909149169922,True
llama3-8b-inst,JV-LAM-1,JV-BASE,0.0,-1.5000000000000013,0.20000000000000018,0.003040216749923275,0.00039228785317391157,0.005731878476217399,0.09061522036790848,-0.6019982337951664,-0.7079081535339355,-0.21109390258789062,-0.48394012451171875,0.12400111269656922,0.11252588033676147,0.0011976242065427911,-0.5896120071411133,-0.2269298725109543,-0.5149078369140625,-0.15951223373413193,-0.14052391052246094,0.07777072550356401,0.07770347595214844,0.03179721832275284,0.13236236572265625,0.006909797975851006,0.042746782302856445,-0.018118286132812855,0.241912841796875,True
