model,path_id,node,comparator,layer,objective_improvement,joint_objective_improvement,native_cosine,Rturn,physical_coefficient_difference,outcome_evaluation,controller_influence_count
llama3-8b-inst,S-PATH-T4,0,SINGLE_LAYER_SHADOW,4,0.03918884325203184,0.4873816028302114,0.0,1.0,"[-0.15327404149363513, 0.00032648122673218353, 0.0026663186062493897, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,0,SINGLE_LAYER_SHADOW,5,0.08604346881259295,0.4873816028302114,0.0003271165298964098,0.9999998929947759,"[0.0, -0.29023820600847794, 0.0026663186062493897, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,0,SINGLE_LAYER_SHADOW,6,0.16287750413348967,0.4873816028302114,0.002504411354092419,0.9999937279237695,"[0.0, 0.00032648122673218353, -0.4665020529174986, 0.03195184143449679, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,0,SINGLE_LAYER_SHADOW,7,0.26890361378627026,0.4873816028302114,0.030949945605069,0.9990421008670434,"[0.0, 0.00032648122673218353, 0.0026663186062493897, -0.6582308574490167, 1.0022216587882604]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,0,SINGLE_LAYER_SHADOW,8,0.4870633024693084,0.4873816028302114,0.9995177446076626,0.0009642782144113685,"[0.0, 0.00032648122673218353, 0.0026663186062493897, 0.03195184143449679, -0.027815535250274553]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,1,SINGLE_LAYER_SHADOW,4,0.009493044379273957,0.12871911212509682,0.0,1.0,"[-0.14835985996298998, 0.0005344869775666301, 0.0026530320484826693, 0.031070417941327096, 1.0103749833436622]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,1,SINGLE_LAYER_SHADOW,5,0.020787872353361755,0.12871911212509682,0.0005272544222897077,0.9999997220027742,"[0.0, -0.28160208546196386, 0.0026530320484826693, 0.031070417941327096, 1.0103749833436622]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,1,SINGLE_LAYER_SHADOW,6,0.03929279286796657,0.12871911212509682,0.002461508142167021,0.999993940977666,"[0.0, 0.0005344869775666301, -0.4556678868335839, 0.031070417941327096, 1.0103749833436622]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,1,SINGLE_LAYER_SHADOW,7,0.06709502639001119,0.12871911212509682,0.029776402383378944,0.9991133658611031,"[0.0, 0.0005344869775666301, 0.0026530320484826693, -0.6561847295579785, 1.0103749833436622]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,1,SINGLE_LAYER_SHADOW,8,0.1286376267212697,0.12871911212509682,0.9995534147015573,0.0008929711584566738,"[0.0, 0.0005344869775666301, 0.0026530320484826693, 0.031070417941327096, -0.025929634411991944]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,2,SINGLE_LAYER_SHADOW,4,0.002307953943726651,0.03404659508378774,0.0,1.0,"[-0.1432904489244822, 0.00043141340632397155, 0.0030009251381751144, 0.03049097556270642, 1.0179567416950697]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,2,SINGLE_LAYER_SHADOW,5,0.005083590086486483,0.03404659508378774,0.00041934452962436513,0.9999998241501655,"[0.0, -0.27369550201913534, 0.0030009251381751144, 0.03049097556270642, 1.0179567416950697]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,2,SINGLE_LAYER_SHADOW,6,0.00961826346866055,0.03404659508378774,0.0027533498473358985,0.9999924190646182,"[0.0, 0.00043141340632397155, -0.4442930907090203, 0.03049097556270642, 1.0179567416950697]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,2,SINGLE_LAYER_SHADOW,7,0.01680535763018679,0.03404659508378774,0.028934882089526118,0.9991627725984652,"[0.0, 0.00043141340632397155, 0.0030009251381751144, -0.6490938574707493, 1.0179567416950697]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,2,SINGLE_LAYER_SHADOW,8,0.034025080425713325,0.03404659508378774,0.9995774186191128,0.0008449841867511298,"[0.0, 0.00043141340632397155, 0.0030009251381751144, 0.03049097556270642, -0.02466816704014741]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,3,SINGLE_LAYER_SHADOW,4,0.000571661772763045,0.009022009422339869,0.0,1.0,"[-0.14012488999036693, 0.00022514202195013583, 0.00354085241458589, 0.03071248295736467, 1.0248304920835216]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,3,SINGLE_LAYER_SHADOW,5,0.001268633747853767,0.009022009422339869,0.0002158120107112452,0.9999999534251761,"[0.0, -0.2691002855894235, 0.00354085241458589, 0.03071248295736467, 1.0248304920835216]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,3,SINGLE_LAYER_SHADOW,6,0.0024050412311737747,0.009022009422339869,0.0032162442349051037,0.9999896557730215,"[0.0, 0.00022514202195013583, -0.4372497685187176, 0.03071248295736467, 1.0248304920835216]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,3,SINGLE_LAYER_SHADOW,7,0.004263050171132772,0.009022009422339869,0.02888405642120379,0.9991657112846567,"[0.0, 0.00022514202195013583, 0.00354085241458589, -0.6445739335821759, 1.0248304920835216]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,3,SINGLE_LAYER_SHADOW,8,0.009016083926361313,0.009022009422339869,0.9995775710183048,0.0008446795171458111,"[0.0, 0.00022514202195013583, 0.00354085241458589, 0.03071248295736467, -0.024241650490388685]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,4,SINGLE_LAYER_SHADOW,4,0.00014373105217184675,0.002395682180186456,0.0,1.0,"[-0.13849022226333596, 3.502801090315054e-06, 0.004195472587878284, 0.031541865047736706, 1.031324950015958]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,4,SINGLE_LAYER_SHADOW,5,0.000321249914982308,0.002395682180186456,3.312518763177188e-06,0.9999999999890272,"[0.0, -0.2669286240231288, 0.004195472587878284, 0.031541865047736706, 1.031324950015958]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,4,SINGLE_LAYER_SHADOW,6,0.0006105815633478301,0.002395682180186456,0.0037756890351488856,0.9999857441723099,"[0.0, 3.502801090315054e-06, -0.43359173071137125, 0.031541865047736706, 1.031324950015958]",NOT_EXECUTED_SHADOW_ONLY,0
llama3-8b-inst,S-PATH-T4,4,SINGLE_LAYER_SHADOW,7,0.001092130183651364,0.002395682180186456,0.029413032906474002,0.9991348734952427,"[0.0, 3.502801090315054e-06, 0.004195472587878284, -0.6427058936153639, 1.031324950015958]",NOT_EXECUTED_SHADOW_ONLY,0
