G,KKT_stationarity,V_after,V_before,V_ratio,W_sha256,alias,arm,batch,c,finite_step_dissipation_defect,full_H,g,model_error_normalized,model_error_raw_activation,node,predicted_target_contribution,qN_ref,q_layers,raw_physical_coefficients,response_residual_cosine,state_version
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",2.220446049250313e-16,0.13174816040954387,0.5000000016387333,0.2634963199554874,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,"[0.0, 0.00045667299591800603, 0.0010762219844058785, 0.013232348521632464, 0.43362354464256003]",0.0001258987845960402,"[[11.799074072314859, 7.656237797414244, 5.113410998826584, 3.1790622405669717, 2.2223354011214087], [7.656237797414214, 9.92849608231855, 6.701048153687591, 4.218591466988567, 2.945720151390327], [5.113410998826584, 6.701048153687591, 8.528446304120235, 5.417574409224768, 3.725968026917741], [3.179062240566928, 4.218591466988567, 5.417574409224768, 6.1148236241362985, 4.038990579410419], [2.2223354011214087, 2.945720151390327, 3.725968026917741, 4.038990579410419, 4.812851310963182]]","[1.0137096594256676, 1.344947044824495, 1.6997010071215506, 1.8413951535020459, 2.1891285303344854]",0.002143282835327435,0.09744310794845715,0,"[0.0, 0.0006142009963110708, 0.0018292555907810253, 0.02436598243718398, 0.9492576730017975]",840.2151080599574,"[0.26554139227555235, 0.19830145658758036, 0.16875965182576816, 0.1800912550996523, 0.18730624421144682]","[0.0, 0.0010255158556600253, 0.0026197964478690307, 0.031181041600813773, 1.001928493232872]","[0.29511386933622646, 0.42683836719855645, 0.58201954797886, 0.7446548589535503, 0.9978609743077637]",0
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",2.220446049250313e-16,0.034750364019639726,0.13174816040954387,0.06950072781149315,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,"[6.217383912404673e-05, 0.00025292908211228815, 0.0005002490064661552, 0.0063988061753743886, 0.22718056917088197]",1.6721492593727016e-05,"[[11.462235487368195, 7.355339477650222, 4.809934595573194, 2.9510243284946935, 2.050653602831851], [7.355339477650021, 9.529098762764372, 6.269402022781102, 3.8730914392660054, 2.6609931180991597], [4.809934595573194, 6.269402022781102, 7.963838362047586, 4.956533759365599, 3.325269879305994], [2.9510243284946718, 3.8730914392660054, 4.956533759365599, 5.755872863405744, 3.7484808994454215], [2.050653602831851, 2.6609931180991597, 3.325269879305994, 3.7484808994454215, 4.640746031889522]]","[0.4897370981949267, 0.6353381434869859, 0.7930712959830812, 0.8926952147659185, 1.10345518705433]",0.0005259157171082385,0.023942096626317588,1,"[3.044883555624885e-05, 0.00016069549346308857, 0.0003967331278723625, 0.0057121836529713255, 0.25068357744956477]",840.2151080599574,"[0.0706226432364326, 0.05285832952497442, 0.04523473185420037, 0.04840202654827613, 0.05059886620836631]","[0.0002339568153402115, 0.0011001250428748811, 0.0023520699025945356, 0.029084873717779035, 1.009952132470602]","[0.28180004784698653, 0.4009514032774228, 0.5474742979542268, 0.7248703448149518, 0.9978689788109267]",4
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",5.551115123125783e-17,0.009176219886358621,0.034750364019639726,0.018352439712567736,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,"[5.7426568953015955e-05, 0.00010688716688934258, 0.0002581787749805081, 0.0031452366686409577, 0.11890365330265687]",2.236621024345742e-06,"[[11.202865265349152, 7.135483157079852, 4.595919693499834, 2.7754747092336545, 1.9037990419976967], [7.135483157079681, 9.257584159775245, 5.985168227277728, 3.626040247695427, 2.444448245767339], [4.595919693499834, 5.985168227277728, 7.603155736988466, 4.643265646385605, 3.0390735279048924], [2.7754747092336647, 3.626040247695427, 4.643265646385605, 5.50249888709152, 3.5096154874306307], [1.9037990419976967, 2.444448245767339, 3.0390735279048924, 3.5096154874306307, 4.48086910161352]]","[0.23769653134294236, 0.305013796856298, 0.3788535713825494, 0.4366730438741501, 0.55687587588207]",0.0001320309308923248,0.0060209063154978,2,"[1.3650096247058197e-05, 3.2602060608131155e-05, 9.781195095653708e-05, 0.0013734400698000387, 0.06621457607849503]",840.2151080599574,"[0.01879344975489526, 0.014099679458393325, 0.012132639904603813, 0.013013483693794374, 0.013665569711605641]","[0.00041889928183873646, 0.000900162561289393, 0.0023439205238627507, 0.02757125558161244, 1.0171413907313631]","[0.2693789221112382, 0.38025591035005857, 0.5211704283140716, 0.7061252228006488, 0.9978898354147092]",9
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",5.551115123125783e-17,0.0024258209049498585,0.009176219886358621,0.004851641793998623,9ba1de2380e53a9a881631f0f91ebdad6923edf12b3650d951f87609ebee4b66,llama3-8b-inst,JV_NATIVE,1,"[3.0981920701193474e-05, 4.42084770314842e-05, 0.0001423397884006694, 0.0015949447629251198, 0.06216646744141164]",3.076452815744396e-07,"[[10.881466559606737, 6.893768793929047, 4.391659376130242, 2.6164901655078237, 1.7769949417573068], [6.893768793929, 8.977444912573883, 5.7299895744486005, 3.417233795771023, 2.2732850957045647], [4.391659376130242, 5.7299895744486005, 7.287113268881572, 4.384011926779208, 2.8231347502522626], [2.616490165507807, 3.417233795771023, 4.384011926779208, 5.269202272286427, 3.308338302927244], [1.7769949417573068, 2.2732850957045647, 2.8231347502522626, 3.308338302927244, 4.332699453916547]]","[0.11591275328887608, 0.14820289075001292, 0.18393742769210777, 0.215087440361969, 0.2813992807209934]",3.466374089373433e-05,0.0015832152543321495,3,"[3.5911997306529617e-06, 6.5518240917215085e-06, 2.618161453665805e-05, 0.0003430525865762915, 0.01749359922297829]",840.2151080599574,"[0.0050039742653138816, 0.003763634101100696, 0.0032559259753083903, 0.003499800146785402, 0.003690164073566029]","[0.0004379764955354882, 0.0007206126080712155, 0.0024945318573891396, 0.026960256787563155, 1.0233715786449202]","[0.25938245841942664, 0.3651181284383601, 0.5029738946530672, 0.6916648606180743, 0.9979224594279116]",14
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",4.440892098500626e-16,0.13197700661568584,0.5000000284621029,0.26395399820599996,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,"[0.0, 9.568398083535656e-05, 0.001275664354932149, 0.012809815437650862, 0.4425004394158813]",5.2880585608594544e-05,"[[12.961597428961653, 8.422297496033302, 5.507000533230387, 3.3313974288127093, 2.1452321969070756], [8.422297496033293, 10.940834155737203, 7.217890483894989, 4.490092368409999, 2.907298193275142], [5.507000533230387, 7.217890483894989, 8.682437618149644, 5.461942921988317, 3.5598055056346416], [3.33139742881267, 4.490092368409999, 5.461942921988317, 6.105624427665608, 3.8551403726394557], [2.1452321969070756, 2.907298193275142, 3.5598055056346416, 3.8551403726394557, 4.6281835206122635]]","[0.9996194528139027, 1.3542620191464576, 1.6570760603536776, 1.79279144830302, 2.14642622102824]",0.0020447040790855927,0.09375399729871632,0,"[0.0, 0.00012958118108606095, 0.002113872863604581, 0.022965327570960474, 0.9497945459787658]",950.3106328584955,"[0.25214027880180456, 0.19243384744681774, 0.1747649166765361, 0.18712423928967778, 0.19353671778516376]","[0.0, 0.00021812151418792842, 0.003051471326111111, 0.02961268920652938, 1.0058472214057341]","[0.2776549511966486, 0.40942793299554864, 0.5623692878628528, 0.7255456062349943, 0.9977245691235415]",0
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",2.220446049250313e-16,0.034872559506705085,0.13197700661568584,0.06974511504322489,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,"[6.968457355312208e-05, 0.0, 0.0004753079585581299, 0.006521254219453515, 0.23062421542367542]",3.969326437792964e-06,"[[12.678628310354316, 8.126380823838353, 5.2187753372978705, 3.1331244262744375, 1.9926211322439433], [8.126380823838309, 10.582901575571983, 6.837897413147203, 4.203130864073319, 2.6578480263921964], [5.2187753372978705, 6.837897413147203, 8.248960833531932, 5.109966525756736, 3.232363077922671], [3.1331244262744278, 4.203130864073319, 5.109966525756736, 5.889329679873924, 3.648863597010917], [1.9926211322439433, 2.6578480263921964, 3.232363077922671, 3.648863597010917, 4.509007725251083]]","[0.48334958486145574, 0.6440969573759114, 0.783116585241447, 0.8832213838924207, 1.0884191804956471]",0.0005133914583860021,0.023561981712807285,1,"[3.368200969814913e-05, 0.0, 0.0003722215454441259, 0.005759711176420021, 0.2510158195538884]",950.3106328584955,"[0.06674267534247906, 0.05097767869332977, 0.0464099663631825, 0.04979085646135534, 0.051785751874236265]","[0.0002697334710323817, 0.0, 0.002206324864482748, 0.029225121971635782, 1.0134440167060526]","[0.26421719647401193, 0.38537606180201495, 0.5307165930686611, 0.7083901394636516, 0.9976806795051164]",4
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",1.1102230246251565e-16,0.009225787509455099,0.034872559506705085,0.018451573968569005,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,"[4.1423855323866055e-05, 0.0, 0.0002039861511678176, 0.003310444694001824, 0.12012885377522879]",1.4655705274715936e-07,"[[12.456304775028952, 7.897904492285577, 5.005545281082963, 2.9703767940362207, 1.8675493794738012], [7.89790449228551, 10.328410121987572, 6.578343459985892, 3.9844489679549144, 2.4687621713271692], [5.005545281082963, 6.578343459985892, 7.979934489959552, 4.8656150661090525, 2.997540515793485], [2.9703767940361545, 3.9844489679549144, 4.8656150661090525, 5.74662385580692, 3.4764271260542214], [1.8675493794738012, 2.4687621713271692, 2.997540515793485, 3.4764271260542214, 4.397833942602333]]","[0.2357210268906184, 0.31129315033744226, 0.3780539996075711, 0.4380896933562602, 0.5525169735777584]",0.00013141869320388853,0.006033612128925923,2,"[9.764473714710116e-06, 0.0, 7.711778031354804e-05, 0.0014502717008681176, 0.06637323072725448]",950.3106328584955,"[0.017674265143765574, 0.01351815730791656, 0.012333413616635326, 0.013254573649918262, 0.013853136435734749]","[0.00031158736128755, 0.0, 0.0018367880089816097, 0.0287543434254005, 1.0206416278445365]","[0.2528988192174363, 0.36677178378039793, 0.5067540918353395, 0.6919898755848711, 0.9976295418752968]",8
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",5.551115123125783e-17,0.002443922518334667,0.009225787509455099,0.004887844758432653,4afed5c0623ea7bf17befbad477f1996dbc2924a562afa31dc0488a234bc2db4,llama3-8b-inst,JV_NATIVE,2,"[1.874403001993208e-05, 0.0, 0.00010384095812313726, 0.0016999201947124135, 0.06253907571088331]",-3.6895855121989174e-08,"[[12.15822694378803, 7.633269770554356, 4.792710988584181, 2.816799193807968, 1.7620294088569706], [7.633269770554323, 10.037295832081236, 6.327546487370947, 3.7855108836200997, 2.318636020661641], [4.792710988584181, 6.327546487370947, 7.735953799624922, 4.6536418758638725, 2.819879340577787], [2.8167991938079373, 3.7855108836200997, 4.6536418758638725, 5.607388417798368, 3.3290643413064167], [1.7620294088569706, 2.318636020661641, 2.819879340577787, 3.3290643413064167, 4.29447588952808]]","[0.11571147271420022, 0.15214534072410432, 0.18516699504869885, 0.21843474851764758, 0.28081145057278445]",3.4491892227739755e-05,0.0015834932733536664,3,"[2.1688993182055206e-06, 0.0, 1.92279181786391e-05, 0.00037132164023207653, 0.017561688567854332]",950.3106328584955,"[0.004682481289045498, 0.003588241851299424, 0.003279705120755507, 0.0035297592432061084, 0.00370505156536215]","[0.00027392075865527915, 0.0, 0.0018132232855945707, 0.028612512220546282, 1.0274349383556842]","[0.24430062421747456, 0.35353594251901216, 0.4901058918029768, 0.6790858561404971, 0.9975691427213892]",12
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",4.440892098500626e-16,0.13236335431585922,0.5000000937091397,0.2647266590171035,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,"[0.0, 0.00021338564273279403, 0.0016212265610333343, 0.013360268917398554, 0.4502115065217781]",9.742932068318444e-05,"[[12.940097189022874, 8.107426732380357, 5.198732042455454, 3.1830424853244668, 2.119697320641052], [8.107426732380361, 10.566155014347906, 6.8275994196372904, 4.2364878993011255, 2.8269796965730865], [5.198732042455454, 6.8275994196372904, 8.260182198933819, 5.197376916419796, 3.4680724650059935], [3.1830424853244317, 4.2364878993011255, 5.197376916419796, 5.824264815775395, 3.709409681290974], [2.119697320641052, 2.8269796965730865, 3.4680724650059935, 3.709409681290974, 4.450282012120143]]","[1.0063280716096596, 1.3426844955710522, 1.6458151435919641, 1.7584988231950436, 2.104373798717808]",0.002012635188136509,0.09545280647800594,0,"[0.0, 0.00028650959407478633, 0.002668239225342183, 0.023494017168814676, 0.9474132982057014]",1060.4852141373892,"[0.2489076902948498, 0.19095600586479863, 0.17250956617658286, 0.1903922611066734, 0.19723447655709533]","[0.0, 0.0004883132787655786, 0.003903346621223876, 0.030618968358348417, 1.0137367121025664]","[0.27975043966121993, 0.41306219103999636, 0.5726459584204158, 0.7286542205091618, 0.9975371503369234]",0
"[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]",1.1102230246251565e-16,0.03510842434526953,0.13236335431585922,0.07021683553062055,cb5d6a959cfe0b8e530c495fc2c1f56af64cd3ffef9000ebdea5e4a483a3e9ea,llama3-8b-inst,JV_NATIVE,3,"[0.0, 1.3277353281999915e-05, 0.0009154577972457639, 0.006541377086481809, 0.2368901301022643]",1.0719424950025869e-05,"[[12.511934016698406, 7.702020540065521, 4.834343336402274, 2.90954567431993, 1.8984903884192117], [7.702020540065519, 10.053233118021687, 6.369601750093014, 3.88423252714485, 2.538364497854768], [4.834343336402274, 6.369601750093014, 7.743714935093525, 4.785703347421896, 3.13058002738953], [2.909545674319936, 3.88423252714485, 4.785703347421896, 5.460478816327182, 3.4244808574269614], [1.8984903884192117, 2.538364497854768, 3.13058002738953, 3.4244808574269614, 4.269688962840916]]","[0.4727430441051464, 0.632687635445953, 0.7801737616527868, 0.8520315863397715, 1.0604366241858534]",0.0005022506096349196,0.023824092751339013,1,"[0.0, 8.40041725296909e-06, 0.0007142161533116019, 0.005573459895841728, 0.25120696986859276]",1060.4852141373892,"[0.06654708170873562, 0.05136294386581515, 0.046575305211418866, 0.051560436922610406, 0.05362631220117988]","[0.0, 5.858501660899989e-05, 0.004241900460892023, 0.02880785290909349, 1.0229584646580985]","[0.2597550769497189, 0.3878265978896163, 0.5449012217656178, 0.7086657632114977, 0.9974421553755242]",4
