endpoint,panel,metric,atwrite_reference,final_endpoint,comparison,planned_requests,observed_requests,missing_atwrite_requests,planned_prompt_denominator,denominator,atwrite_numerator,final_numerator,atwrite_rate,final_rate,delta_pp,lost,gained,unchanged_success,unchanged_failure,atwrite_success_denominator,loss_rate_among_atwrite_success,status,paired_identity_root
Middle-B060,fullseen,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,6000,6000,0,6000,6000,5998,5984,0.9996666666666667,0.9973333333333333,-0.23333333333333334,14,0,5984,2,5998,0.002334111370456819,OBSERVED_COMPLETE,df85953398b062c8f4ad50812922785fb50eb6ebb0614a537e018c6045243e52
Middle-B060,fullseen,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,6000,6000,0,12000,12000,11649,11596,0.97075,0.9663333333333334,-0.44166666666666665,151,98,11498,253,11649,0.012962486050304747,OBSERVED_COMPLETE,b05bc5f276b864e1682ccbece7d4a719a10da4fd5ea7ec1dec7147bdfe664ebf
Middle-B060,fullseen,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,6000,6000,0,60000,60000,45700,41621,0.7616666666666667,0.6936833333333333,-6.798333333333333,6062,1983,39638,12317,45700,0.1326477024070022,OBSERVED_COMPLETE,7e8c6624e633a43cb35ac5be4305d4e38c63785625552606f050288c041f87aa
Middle-B060,fullseen,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,6000,6000,0,6000,6000,5998,5984,0.9996666666666667,0.9973333333333333,-0.23333333333333334,14,0,5984,2,5998,0.002334111370456819,OBSERVED_COMPLETE,df85953398b062c8f4ad50812922785fb50eb6ebb0614a537e018c6045243e52
Middle-B060,fullseen,PS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,6000,6000,0,12000,12000,11649,11607,0.97075,0.96725,-0.35,146,104,11503,247,11649,0.01253326465791055,OBSERVED_COMPLETE,b05bc5f276b864e1682ccbece7d4a719a10da4fd5ea7ec1dec7147bdfe664ebf
Middle-B060,fullseen,NS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,6000,6000,0,60000,60000,45700,41633,0.7616666666666667,0.6938833333333333,-6.778333333333333,6080,2013,39620,12287,45700,0.13304157549234136,OBSERVED_COMPLETE,7e8c6624e633a43cb35ac5be4305d4e38c63785625552606f050288c041f87aa
Middle-B060,entry_old,RS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5000,5000,0,5000,5000,4998,4984,0.9996,0.9968,-0.28,14,0,4984,2,4998,0.0028011204481792717,OBSERVED_COMPLETE,74ddc5c36b3c1939d934d797ef38dd2fcfaf4e225da3c20ce6cda90cb1c80563
Middle-B060,entry_old,PS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5000,5000,0,10000,10000,9708,9658,0.9708,0.9658,-0.5,143,93,9565,199,9708,0.01473011948908117,OBSERVED_COMPLETE,e9df6fc79fa0b19012d0c337d86863b61e732562a134b0aaa31ad3a39e309a2d
Middle-B060,entry_old,NS,ORIGINAL_OWN_ATWRITE,original_final,SAME_ORIGINAL_TRAJECTORY_ATWRITE_TO_FINAL,5000,5000,0,50000,50000,38536,34513,0.77072,0.69026,-8.046,5813,1790,32723,9674,38536,0.1508459622171476,OBSERVED_COMPLETE,9be815b5934553c2fc0180d19ad7f5fc2004d8becb380c2e3f7dec5527c1781f
Middle-B060,entry_old,RS,ORIGINAL_OWN_ATWRITE,replay_final,FIXED_ORIGINAL_ATWRITE_REFERENCE_TO_REPLAY_FINAL_NOT_REPLAY_OWN_RETENTION,5000,5000,0,5000,5000,4998,4984,0.9996,0.9968,-0.28,14,0,4984,2,4998,0.0028011204481792717,OBSERVED_COMPLETE,74ddc5c36b3c1939d934d797ef38dd2fcfaf4e225da3c20ce6cda90cb1c80563
