endpoint,panel,metric,requests,denominator,baseline_numerator,replay_numerator,baseline_rate,replay_rate,delta_pp,baseline_ties,replay_ties,comparison,status,baseline_new_strict_numerator,baseline_new_strict_denominator,baseline_new_token_correct,baseline_new_token_denominator,replay_new_strict_numerator,replay_new_strict_denominator,replay_new_token_correct,replay_new_token_denominator,baseline_true_strict_numerator,baseline_true_strict_denominator,baseline_true_token_correct,baseline_true_token_denominator,replay_true_strict_numerator,replay_true_strict_denominator,replay_true_token_correct,replay_true_token_denominator
Middle-B060,cohort_B001,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,94,100,95,101,93,100,94,101,0,100,3,103,0,100,3,103
Middle-B060,cohort_B001,PS,100,200,194,194,0.97,0.97,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,131,200,133,202,129,200,131,202,1,200,7,206,1,200,7,206
Middle-B060,cohort_B001,NS,100,1000,695,694,0.695,0.694,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,47,1010,45,1000,46,1010,79,1000,109,1030,77,1000,107,1030
Middle-B060,cohort_B002,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,97,102,95,100,97,102,0,100,1,101,0,100,1,101
Middle-B060,cohort_B002,PS,100,200,189,189,0.945,0.945,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,127,200,131,204,130,200,134,204,3,200,5,202,2,200,4,202
Middle-B060,cohort_B002,NS,100,1000,665,665,0.665,0.665,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,67,1020,46,1000,66,1020,84,1000,94,1010,89,1000,99,1010
Middle-B060,cohort_B003,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,99,102,97,100,99,102,0,100,2,103,0,100,2,103
Middle-B060,cohort_B003,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,129,200,133,204,128,200,132,204,2,200,8,206,2,200,8,206
Middle-B060,cohort_B003,NS,100,1000,661,660,0.661,0.66,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,47,1000,67,1020,48,1000,68,1020,82,1000,111,1030,88,1000,117,1030
Middle-B060,cohort_B004,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,97,101,96,100,97,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B004,PS,100,200,188,188,0.94,0.94,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,136,200,138,202,135,200,137,202,2,200,2,200,3,200,3,200
Middle-B060,cohort_B004,NS,100,1000,619,626,0.619,0.626,0.7,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,72,1000,82,1010,67,1000,77,1010,107,1000,107,1000,110,1000,110,1000
Middle-B060,cohort_B005,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,94,100,95,101,95,100,96,101,0,100,0,100,0,100,0,100
Middle-B060,cohort_B005,PS,100,200,195,195,0.975,0.975,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,121,200,123,202,122,200,124,202,1,200,1,200,1,200,1,200
Middle-B060,cohort_B005,NS,100,1000,663,668,0.663,0.668,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,50,1000,57,1010,50,1000,59,1010,97,1000,97,1000,95,1000,95,1000
Middle-B060,cohort_B006,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,100,104,97,100,101,104,0,100,2,102,0,100,2,102
Middle-B060,cohort_B006,PS,100,200,193,192,0.965,0.96,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,108,200,115,208,109,200,116,208,1,200,5,204,1,200,5,204
Middle-B060,cohort_B006,NS,100,1000,660,664,0.66,0.664,0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,43,1000,81,1040,43,1000,81,1040,69,1000,89,1020,69,1000,89,1020
Middle-B060,cohort_B007,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,97,101,96,100,97,101,0,100,1,101,0,100,1,101
Middle-B060,cohort_B007,PS,100,200,192,191,0.96,0.955,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,146,200,148,202,144,200,146,202,2,200,4,202,2,200,4,202
Middle-B060,cohort_B007,NS,100,1000,692,688,0.692,0.688,-0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,48,1000,58,1010,49,1000,59,1010,123,1000,133,1010,128,1000,138,1010
Middle-B060,cohort_B008,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,99,102,97,100,99,102,0,100,0,100,0,100,0,100
Middle-B060,cohort_B008,PS,100,200,192,192,0.96,0.96,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,122,200,126,204,122,200,126,204,1,200,1,200,1,200,1,200
Middle-B060,cohort_B008,NS,100,1000,698,701,0.698,0.701,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,58,1000,78,1020,58,1000,78,1020,111,1000,111,1000,111,1000,111,1000
Middle-B060,cohort_B009,RS,100,100,98,98,0.98,0.98,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,95,100,95,100,95,100,1,100,2,101,1,100,2,101
Middle-B060,cohort_B009,PS,100,200,192,191,0.96,0.955,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,138,200,138,200,138,200,4,200,6,202,4,200,6,202
Middle-B060,cohort_B009,NS,100,1000,672,667,0.672,0.667,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,57,1000,57,1000,55,1000,55,1000,99,1000,109,1010,97,1000,107,1010
Middle-B060,cohort_B010,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,98,101,97,100,98,101,1,100,1,100,1,100,1,100
Middle-B060,cohort_B010,PS,100,200,186,188,0.93,0.94,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,129,200,131,202,128,200,130,202,4,200,4,200,4,200,4,200
Middle-B060,cohort_B010,NS,100,1000,663,663,0.663,0.663,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,56,1010,45,1000,55,1010,116,1000,116,1000,115,1000,115,1000
Middle-B060,cohort_B011,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,97,101,95,100,96,101,0,100,3,103,0,100,3,103
Middle-B060,cohort_B011,PS,100,200,193,193,0.965,0.965,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,127,200,129,202,128,200,130,202,0,200,5,206,0,200,5,206
Middle-B060,cohort_B011,NS,100,1000,676,669,0.676,0.669,-0.7,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,52,1000,52,1010,52,1000,52,1010,103,1000,132,1030,105,1000,134,1030
Middle-B060,cohort_B012,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,100,104,96,100,100,104,0,100,4,104,0,100,4,104
Middle-B060,cohort_B012,PS,100,200,195,196,0.975,0.98,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,142,200,150,208,142,200,150,208,0,200,8,208,0,200,8,208
Middle-B060,cohort_B012,NS,100,1000,734,736,0.734,0.736,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,28,1000,66,1040,25,1000,63,1040,107,1000,146,1040,106,1000,145,1040
Middle-B060,cohort_B013,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,97,100,97,100,98,100,98,100,0,100,3,103,0,100,3,103
Middle-B060,cohort_B013,PS,100,200,188,189,0.94,0.945,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,146,200,146,200,145,200,145,200,1,200,7,206,2,200,8,206
Middle-B060,cohort_B013,NS,100,1000,707,704,0.707,0.704,-0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,66,1000,66,1000,65,1000,65,1000,96,1000,125,1030,98,1000,127,1030
Middle-B060,cohort_B014,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,95,100,96,100,96,100,1,100,2,101,1,100,2,101
Middle-B060,cohort_B014,PS,100,200,187,186,0.935,0.93,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,130,200,130,200,128,200,128,200,0,200,1,202,0,200,1,202
Middle-B060,cohort_B014,NS,100,1000,692,690,0.692,0.69,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,45,1000,45,1000,47,1000,47,1000,104,1000,114,1010,107,1000,117,1010
Middle-B060,cohort_B015,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,101,102,99,100,101,102,0,100,0,101,0,100,0,101
Middle-B060,cohort_B015,PS,100,200,198,198,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,132,200,136,204,131,200,135,204,0,200,1,202,0,200,1,202
Middle-B060,cohort_B015,NS,100,1000,657,652,0.657,0.652,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,45,1000,59,1020,46,1000,61,1020,68,1000,78,1010,70,1000,80,1010
Middle-B060,cohort_B016,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,95,100,95,100,95,100,0,100,1,101,0,100,1,101
Middle-B060,cohort_B016,PS,100,200,198,198,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,152,200,152,200,155,200,155,200,0,200,1,202,0,200,2,202
Middle-B060,cohort_B016,NS,100,1000,619,621,0.619,0.621,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,65,1000,65,1000,68,1000,68,1000,107,1000,115,1010,105,1000,113,1010
Middle-B060,cohort_B017,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,100,102,98,100,100,102,0,100,0,100,0,100,0,100
Middle-B060,cohort_B017,PS,100,200,192,194,0.96,0.97,1.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,148,200,152,204,145,200,149,204,0,200,0,200,0,200,0,200
Middle-B060,cohort_B017,NS,100,1000,699,702,0.699,0.702,0.3,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,55,1000,75,1020,57,1000,77,1020,114,1000,114,1000,116,1000,116,1000
Middle-B060,cohort_B018,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,95,100,96,100,96,100,0,100,1,101,0,100,1,101
Middle-B060,cohort_B018,PS,100,200,195,194,0.975,0.97,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,137,200,137,200,138,200,138,200,1,200,3,202,1,200,3,202
Middle-B060,cohort_B018,NS,100,1000,723,721,0.723,0.721,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,39,1000,39,1000,40,1000,40,1000,101,1000,111,1010,102,1000,112,1010
Middle-B060,cohort_B019,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,98,100,98,100,98,100,0,100,0,100,0,100,0,100
Middle-B060,cohort_B019,PS,100,200,191,191,0.955,0.955,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,138,200,138,200,138,200,138,200,3,200,3,200,3,200,3,200
Middle-B060,cohort_B019,NS,100,1000,724,723,0.724,0.723,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,46,1000,44,1000,44,1000,121,1000,121,1000,123,1000,123,1000
Middle-B060,cohort_B020,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,98,100,98,100,98,100,0,100,2,102,0,100,2,102
Middle-B060,cohort_B020,PS,100,200,199,199,0.995,0.995,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,143,200,143,200,143,200,143,200,0,200,3,204,0,200,3,204
Middle-B060,cohort_B020,NS,100,1000,728,726,0.728,0.726,-0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,46,1000,46,1000,45,1000,45,1000,89,1000,106,1020,87,1000,104,1020
Middle-B060,cohort_B021,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,95,100,97,102,94,100,96,102,0,100,2,102,0,100,2,102
Middle-B060,cohort_B021,PS,100,200,192,192,0.96,0.96,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,129,200,133,204,128,200,132,204,1,200,5,204,1,200,5,204
Middle-B060,cohort_B021,NS,100,1000,720,714,0.72,0.714,-0.6,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,44,1000,63,1020,44,1000,64,1020,122,1000,142,1020,120,1000,140,1020
Middle-B060,cohort_B022,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,100,101,99,100,100,101,0,100,1,101,0,100,1,101
Middle-B060,cohort_B022,PS,100,200,194,193,0.97,0.965,-0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,144,200,146,202,143,200,145,202,0,200,2,202,0,200,2,202
Middle-B060,cohort_B022,NS,100,1000,705,701,0.705,0.701,-0.4,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,45,1000,55,1010,40,1000,50,1010,98,1000,108,1010,100,1000,110,1010
Middle-B060,cohort_B023,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,99,100,99,100,99,100,99,100,0,100,0,101,0,100,0,101
Middle-B060,cohort_B023,PS,100,200,195,195,0.975,0.975,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,135,200,135,200,137,200,137,200,0,200,0,202,0,200,0,202
Middle-B060,cohort_B023,NS,100,1000,684,683,0.684,0.683,-0.1,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,41,1000,41,1000,39,1000,39,1000,85,1000,90,1010,86,1000,91,1010
Middle-B060,cohort_B024,RS,100,100,100,100,1.0,1.0,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,96,100,99,103,97,100,100,103,0,100,2,102,0,100,2,102
Middle-B060,cohort_B024,PS,100,200,187,188,0.935,0.94,0.5,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,122,200,128,206,124,200,130,206,2,200,6,204,2,200,6,204
Middle-B060,cohort_B024,NS,100,1000,699,701,0.699,0.701,0.2,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,42,1000,72,1030,42,1000,72,1030,118,1000,138,1020,124,1000,144,1020
Middle-B060,cohort_B025,RS,100,100,99,99,0.99,0.99,0.0,0,0,SAME_ENDPOINT_BASELINE_TO_REPLAY,OBSERVED,98,100,99,101,99,100,100,101,0,100,1,102,0,100,1,102
