component,seconds,accounting
B011_native,822.7820309381932,ADDITIVE_PROGRAM_COMPONENT
B012_native,813.3352322038263,ADDITIVE_PROGRAM_COMPONENT
B013_native,802.731045730412,ADDITIVE_PROGRAM_COMPONENT
B014_native,819.1909132767469,ADDITIVE_PROGRAM_COMPONENT
B015_native,818.064112085849,ADDITIVE_PROGRAM_COMPONENT
B016_native,799.3216464463621,ADDITIVE_PROGRAM_COMPONENT
B017_native,802.3835190832615,ADDITIVE_PROGRAM_COMPONENT
B018_native,806.4196444004774,ADDITIVE_PROGRAM_COMPONENT
B019_native,831.7747324965894,ADDITIVE_PROGRAM_COMPONENT
B020_native,817.1792820803821,ADDITIVE_PROGRAM_COMPONENT
model_load,14.077634854242206,ADDITIVE_PROGRAM_COMPONENT
B011_three_endpoint_panels,289.310833953321,ADDITIVE_PROGRAM_COMPONENT
unitemized_program_overhead,366.8543907366693,ADDITIVE_PROGRAM_COMPONENT
allocation_minus_program,6.574981713667512,ADDITIVE_ALLOCATION_COMPONENT
TOTAL_GPU_ALLOCATION,8810,TOTAL_NOT_ADDITIVE
