panel,endpoint,metric,numerator,denominator,rate
current,W0,RS,10,100,0.1
current,W0,PS,22,200,0.11
current,W0,NS,900,1000,0.9
current,ENTRY,RS,19,100,0.19
current,ENTRY,PS,33,200,0.165
current,ENTRY,NS,832,1000,0.832
current,NATIVE,RS,100,100,1.0
current,NATIVE,PS,195,200,0.975
current,NATIVE,NS,812,1000,0.812
historical,W0,RS,13,128,0.1015625
historical,W0,PS,25,256,0.09765625
historical,W0,NS,1085,1280,0.84765625
historical,ENTRY,RS,128,128,1.0
historical,ENTRY,PS,246,256,0.9609375
historical,ENTRY,NS,1004,1280,0.784375
historical,NATIVE,RS,128,128,1.0
historical,NATIVE,PS,247,256,0.96484375
historical,NATIVE,NS,994,1280,0.7765625
