layer,entry_n,E1_native_first_batch,native_batches_observed,general,full_query_exposure,signed,original_trajectory_equivalence,E1_A
4,0,OBSERVED_REUSED,1,NOT_YET_MEASURED,NOT_YET_MEASURED,COLD_REPRESENTATIVE_OBSERVED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
4,1000,OBSERVED_REUSED,10,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
4,5000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
4,9000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
5,0,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
5,1000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
5,5000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
5,9000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
6,0,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
6,1000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
6,5000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
6,9000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
7,0,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
7,1000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
7,5000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
7,9000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
8,0,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
8,1000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
8,5000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
8,9000,NOT_RUN,0,NOT_YET_MEASURED,NOT_YET_MEASURED,NOT_MEASURED,UNVERIFIED,EXISTING_10_ARM_CPU_PACKAGE_REUSED
