arm,d,target_prefix_match,censored,EOS,at_limit,count,mean,median,p90,p95,p99,min,max
N4,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
SCALE,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
CA,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
KL-P,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
EN-S,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
EN-F,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
EN-COV,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
EN-F4,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
RAND+,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
RAND-,100,100,0,0,100,100,32.0,32.0,32.0,32.0,32.0,32.0,32.0
