arm,metric,new_TF_strict_n,prompt_d,new_token_correct,target_token_d,R_two_P_strict,R_two_P_NLL_joint,W0_correct_N_retained,W0_correct_N_d,W0_correct_N_lost,W0_incorrect_N_gained
N4,RS,100,100,101,101,,,,,,
N4,PS,125,200,127,202,,,,,,
N4,NS,8,1000,10,1010,,,,,,
N4,JOINT_AND_W0,,,,,44,96,862,886,24,3
SCALE,RS,100,100,101,101,,,,,,
SCALE,PS,125,200,127,202,,,,,,
SCALE,NS,8,1000,10,1010,,,,,,
SCALE,JOINT_AND_W0,,,,,44,96,862,886,24,3
CA,RS,100,100,101,101,,,,,,
CA,PS,125,200,127,202,,,,,,
CA,NS,8,1000,10,1010,,,,,,
CA,JOINT_AND_W0,,,,,44,96,862,886,24,3
KL-P,RS,100,100,101,101,,,,,,
KL-P,PS,125,200,127,202,,,,,,
KL-P,NS,8,1000,10,1010,,,,,,
KL-P,JOINT_AND_W0,,,,,44,96,862,886,24,3
EN-S,RS,100,100,101,101,,,,,,
EN-S,PS,125,200,127,202,,,,,,
EN-S,NS,8,1000,10,1010,,,,,,
EN-S,JOINT_AND_W0,,,,,44,96,862,886,24,3
EN-F,RS,100,100,101,101,,,,,,
EN-F,PS,125,200,127,202,,,,,,
EN-F,NS,8,1000,10,1010,,,,,,
EN-F,JOINT_AND_W0,,,,,44,96,862,886,24,3
EN-COV,RS,100,100,101,101,,,,,,
EN-COV,PS,125,200,127,202,,,,,,
EN-COV,NS,8,1000,10,1010,,,,,,
EN-COV,JOINT_AND_W0,,,,,44,95,863,886,23,3
EN-F4,RS,100,100,101,101,,,,,,
EN-F4,PS,125,200,127,202,,,,,,
EN-F4,NS,8,1000,10,1010,,,,,,
EN-F4,JOINT_AND_W0,,,,,44,96,862,886,24,3
W0,RS,0,100,0,101,,,,,,
W0,PS,0,200,0,202,,,,,,
W0,NS,0,1000,2,1010,,,,,,
W0,JOINT_AND_W0,,,,,0,5,886,886,0,0
RAND+,RS,100,100,101,101,,,,,,
RAND+,PS,125,200,127,202,,,,,,
RAND+,NS,8,1000,10,1010,,,,,,
RAND+,JOINT_AND_W0,,,,,44,96,862,886,24,3
RAND-,RS,100,100,101,101,,,,,,
RAND-,PS,125,200,127,202,,,,,,
RAND-,NS,8,1000,10,1010,,,,,,
RAND-,JOINT_AND_W0,,,,,44,96,862,886,24,3
