entry,batch_raw,left,right,left_count,right_count,version_overlap,fact_overlap,exact_prompt_overlap,prompt_inventory,intentional_subset
Early,100,current_effective,past_candidates,100,512,0,0,163,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,base_candidates,100,512,0,0,166,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,Past,100,128,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,Base,100,128,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,BaseAudit,100,128,0,0,61,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,Fixed100,100,100,0,0,47,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,current_effective,Past100,100,100,0,0,44,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,past_candidates,base_candidates,512,512,0,0,739,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,past_candidates,Past,512,128,128,128,1606,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Early,100,past_candidates,Base,512,128,0,0,218,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,past_candidates,BaseAudit,512,128,0,0,250,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,past_candidates,Fixed100,512,100,0,0,152,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,past_candidates,Past100,512,100,0,0,170,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,base_candidates,Past,512,128,0,0,198,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,base_candidates,Base,512,128,128,128,1623,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Early,100,base_candidates,BaseAudit,512,128,0,0,252,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,base_candidates,Fixed100,512,100,0,0,137,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,base_candidates,Past100,512,100,0,0,156,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Past,Base,128,128,0,0,90,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Past,BaseAudit,128,128,0,0,73,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Past,Fixed100,128,100,0,0,68,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Past,Past100,128,100,0,0,37,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Base,BaseAudit,128,128,0,0,90,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Base,Fixed100,128,100,0,0,55,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Base,Past100,128,100,0,0,45,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,BaseAudit,Fixed100,128,100,0,0,64,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,BaseAudit,Past100,128,100,0,0,67,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Early,100,Fixed100,Past100,100,100,0,0,37,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,past_candidates,100,512,0,0,173,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,base_candidates,100,512,0,0,152,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,Past,100,128,0,0,52,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,Base,100,128,0,0,38,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,BaseAudit,100,128,0,0,45,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,Fixed100,100,100,0,0,49,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,current_effective,Past100,100,100,0,0,42,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,past_candidates,base_candidates,512,512,0,0,681,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,past_candidates,Past,512,128,128,128,1619,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,100,past_candidates,Base,512,128,0,0,223,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,past_candidates,BaseAudit,512,128,0,0,228,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,past_candidates,Fixed100,512,100,0,0,160,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,past_candidates,Past100,512,100,0,0,148,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,base_candidates,Past,512,128,0,0,177,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,base_candidates,Base,512,128,128,128,1627,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,True
Middle,100,base_candidates,BaseAudit,512,128,0,0,219,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,base_candidates,Fixed100,512,100,0,0,119,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,base_candidates,Past100,512,100,0,0,146,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Past,Base,128,128,0,0,50,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Past,BaseAudit,128,128,0,0,57,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
Middle,100,Past,Fixed100,128,100,0,0,55,rewrite+all paraphrases+neighborhoods; broader than controller-only packing,False
