entry,batch_raw,arm,node,s,correction_frob_sq,cumulative_Z_frob_sq,sum_correction_frob_sq,sum_physical_step_frob_sq,physical_step_frob_sq,sum_action_H_over_h,actual_net_from_entry_sq
Early,100,BF1,0,1.0,4.366526136648695e-05,4.366526136648695e-05,4.366526136648695e-05,68.1760666693556,68.1760666693556,1.1322911239740336e-11,68.1760666693556
Early,100,BF8,0,0.125,0.0,0.0,0.0,1.0652503453767879,1.0652503453767879,0.0,1.0652503453767879
Early,100,BF8,1,0.25,0.0,0.0,0.0,2.130500688837918,1.0652503434611302,0.0,4.2610013776509685
Early,100,BF8,2,0.375,0.0,0.0,0.0,3.1957510329802186,1.0652503441423007,0.0,9.587253098876944
Early,100,BF8,3,0.5,0.0,0.0,0.0,4.261001377692474,1.0652503447122554,0.0,17.04400551064358
Early,100,BF8,4,0.625,2.2206143619561346e-07,2.2206143619561346e-07,2.2206143619561346e-07,5.3262519529412495,1.0652505752487755,4.606927043987505e-13,26.631258876244523
Early,100,BF8,5,0.75,3.2463982148764907e-06,5.11901237112904e-06,3.4684596510721043e-06,6.391505572541255,1.065253619600005,7.195580027806714e-12,38.34901774319483
Early,100,BF8,6,0.875,1.485631340539177e-05,3.678961557594403e-05,1.8324773056463874e-05,7.456770842040791,1.0652652694995368,3.8015581807272866e-11,52.19730441003231
Early,100,BF8,7,1.0,3.864211058130532e-05,0.000147944031101833,5.6966883637769194e-05,8.522059956360085,1.0652891143192937,1.1817984690150654e-10,68.17617185927087
Middle,100,BF1,0,1.0,4.175947141109667e-05,4.175947141109667e-05,4.175947141109667e-05,72.91025431975592,72.91025431975592,1.0316583035903537e-11,72.91025431975592
Middle,100,BF8,0,0.125,0.0,0.0,0.0,1.1392220532699169,1.1392220532699169,0.0,1.1392220532699169
Middle,100,BF8,1,0.25,0.0,0.0,0.0,2.278444104269423,1.1392220509995057,0.0,4.556888208499917
Middle,100,BF8,2,0.375,0.0,0.0,0.0,3.4176661558962076,1.1392220516267848,0.0,10.252998467588986
Middle,100,BF8,3,0.5,0.0,0.0,0.0,4.556888206022584,1.139222050126376,0.0,18.227552823892808
Middle,100,BF8,4,0.625,9.550047950453953e-07,9.550047950453953e-07,9.550047950453953e-07,5.69611124339871,1.1392230373761265,1.8874474035280543e-12,28.48055239664305
