metric,quantity,denominator,mean,median,p90,max,positive_n,zero_n,negative_n,joint_endpoint,delta_reference
RS,standalone_E4,100,6.878062436896143,7.00214709341526,11.288567923381926,16.437220573425293,97,0,3,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,standalone_E8,100,4.41665468643594,4.568478484405205,13.146569730993363,19.1580468416214,71,0,29,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,standalone_E48,100,8.493857719993684,8.472696091223042,14.093749964237215,20.46073890826665,100,0,0,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,signed_L4,100,5.477632735226944,5.224655012134463,9.233206614572556,14.467455320525914,97,0,3,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,signed_L8,100,3.016224984766741,2.9896456990391016,8.073899580555736,11.590782588231377,74,0,26,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,interaction,100,-2.8008594033383996,-2.3299585031345487,4.496967320516708,15.186954498291016,36,0,64,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,marginal_L4_given_L8,100,4.077203033557744,2.2920976914465427,10.490411472320558,18.186211735010147,80,0,20,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
RS,marginal_L8_given_L4,100,1.615795283097541,0.5562446787953377,4.745524826273332,11.986356139183044,95,0,5,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,standalone_E4,200,5.043888338105753,4.813690423965454,9.319146193005144,13.743788719177246,187,0,13,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,standalone_E8,200,3.450491928924748,2.6744461059570312,10.372656343132256,17.867949747946113,144,0,56,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,standalone_E48,200,6.576228686387185,6.372980050742626,11.794992257654666,17.850351627916098,193,0,7,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,signed_L4,200,4.084812547784095,3.9084498286247253,8.160979917645454,12.08153066248633,189,0,11,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,signed_L8,200,2.49141613860309,1.8786946586333215,6.696075780331739,13.03862588480115,159,0,41,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,interaction,200,-1.9181515806433163,-1.0888532102108002,3.3309430956840513,13.904791496694088,72,0,128,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,marginal_L4_given_L8,200,3.1257367574624366,2.02788158506155,8.676659955549985,14.745726639870554,153,0,47,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
PS,marginal_L8_given_L4,200,1.532340348281432,0.6692206859588623,3.8539518676698195,13.645032547414303,170,0,30,A-OS,"We (cumulative batch delta, not A-OS minus A0)"
