phase,component,unit,value,interpretation
common_setup,P8_full_eigendecomposition,seconds,27.08944633975625,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,full_native_geometry_L4,seconds,13.196141991764307,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,full_native_geometry_L8,seconds,13.3977563790977,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,model_load,seconds,11.795581614598632,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,native_key_capture,seconds,705.5994465406984,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,teacher_capture,seconds,46.22060498967767,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,actual_forward_nonpadding_tokens,count,545704,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,actual_forward_padded_tokens,count,644916,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,actual_model_forward_invocations,count,4776,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,exact_P4_eigen_reuse,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,forward_nonpadding_tokens,count,24530,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,forward_padded_tokens,count,30604,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,history_new_requests,count,5000,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,host_weight_transfer_bytes,count,0,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,model_forward_invocations,count,876,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,native_key_capture,count,52,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,native_key_context_rows,count,31200,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,native_key_requests,count,5200,"measured scoped counter/time; timings can be nested, do not sum as total"
common_setup,native_representation_physical_batches,count,3900,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,A0_joint_target_optimization,seconds,974.5491588395089,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,current_forward_backward,seconds,949.9143901020288,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,current_intermediate_evaluation,seconds,43.76619780808687,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,delivered_module_capture,seconds,54.12248967401683,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,full_endpoint_evaluation,seconds,146.99408400058746,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,generation,seconds,90.57307001017034,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,geometry_reuse_L4,seconds,1.9509975966066122,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,geometry_reuse_L8,seconds,1.8163364175707102,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_actual_derivative_transaction,seconds,113.40680359862745,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,model_load,seconds,10.540946649387479,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,native_key_capture,seconds,27.260171212255955,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,actual_forward_nonpadding_tokens,count,510975,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,actual_forward_padded_tokens,count,538640,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,actual_model_forward_invocations,count,12156,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,attribution_observation_restores,count,3,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,attribution_observation_temporary_materializations,count,3,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,attribution_observation_version_increments,count,0,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,authoritative_endpoint_materializations,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,current_backward_microbatches,count,7800,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,delivered_module_contexts,count,2400,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,evaluation_candidate_sequences,count,9600,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,evaluation_model_forwards,count,1206,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,forward_nonpadding_tokens,count,278706,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,forward_padded_tokens,count,311222,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,generation_output_tokens,count,1920,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,generation_sequences,count,60,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,host_weight_transfer_bytes,count,0,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_direct_forward_nonpadding_tokens,count,91,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_direct_model_forward_invocations,count,3,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_parity_restores,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_parity_temporary_materializations,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_parity_version_increments,count,0,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_validation_fd_forward_calls,count,54,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,initial_validation_jvp_calls,count,9,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,model_forward_invocations,count,8577,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,native_key_capture,count,2,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,native_key_context_rows,count,1200,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,native_key_requests,count,200,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,native_representation_physical_batches,count,450,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,terminal_history_layer_appends,count,2,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,terminal_restores,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,terminal_temporary_materializations,count,1,"measured scoped counter/time; timings can be nested, do not sum as total"
A0,terminal_version_increments,count,0,"measured scoped counter/time; timings can be nested, do not sum as total"
