cell,arm,status,RS_n,RS_d,RS_rate,rewrite_new_nll_n,rewrite_new_nll_mean,rewrite_new_nll_median,rewrite_new_nll_p90,rewrite_new_nll_max,rewrite_true_nll_n,rewrite_true_nll_mean,rewrite_true_nll_median,rewrite_true_nll_p90,rewrite_true_nll_max,rewrite_strict_n,rewrite_strict_d,rewrite_advantage_n,rewrite_advantage_mean,rewrite_advantage_median,rewrite_advantage_p90,rewrite_advantage_max,PS_n,PS_d,PS_rate,rephrase_new_nll_n,rephrase_new_nll_mean,rephrase_new_nll_median,rephrase_new_nll_p90,rephrase_new_nll_max,rephrase_true_nll_n,rephrase_true_nll_mean,rephrase_true_nll_median,rephrase_true_nll_p90,rephrase_true_nll_max,rephrase_strict_n,rephrase_strict_d,rephrase_advantage_n,rephrase_advantage_mean,rephrase_advantage_median,rephrase_advantage_p90,rephrase_advantage_max,NS_n,NS_d,NS_rate,locality_new_nll_n,locality_new_nll_mean,locality_new_nll_median,locality_new_nll_p90,locality_new_nll_max,locality_true_nll_n,locality_true_nll_mean,locality_true_nll_median,locality_true_nll_p90,locality_true_nll_max,locality_strict_n,locality_strict_d,locality_advantage_n,locality_advantage_mean,locality_advantage_median,locality_advantage_p90,locality_advantage_max,old_before_RS_n,old_before_RS_d,old_after_RS_n,old_after_RS_d,new_failure_n,entry_success_d,initially_failed_n,V_ratio,native_net_normalized,total_seconds,evaluation_seconds,forward_count
0,O_NATIVE,TERMINAL_VALID,9,10,0.9,10,0.7728048050426878,0.013140672817826271,1.5439921617507915,6.561914920806885,10,9.628289812803269,9.255939483642578,18.594684982299803,19.220170974731445,9,10,10,8.855485007760581,9.250970369204879,18.584475879743696,19.20836789906025,12,20,0.6,20,4.858239835686982,4.915979385375977,10.902370166778566,15.122756958007812,20,5.351313863322138,4.851083517074585,9.221455287933356,18.95945930480957,9,20,20,0.4930740276351571,1.0420136451721191,9.19499872550369,18.951350277289748,91,100,0.91,100,11.711487803459168,11.767359733581543,15.135082340240482,21.237852096557617,100,4.020386229198193,2.707360863685608,10.110523223876953,16.779495239257812,34,100,100,-7.6911015742609745,-8.476579427719116,-0.24871835708618117,4.102632522583008,10,10,10,10,0,10,0,0.09531527972903697,0.164031801375642,82.02947928570211,39.49547420069575,53
0,ORBFH_HIST,TERMINAL_VALID,9,10,0.9,10,0.5064865723543335,0.01183365797623992,0.8372147291898713,4.5405497550964355,10,10.163764667510986,10.09597396850586,18.96314811706543,19.67073631286621,9,10,10,9.657278095156652,10.092329643870471,18.95590219157748,19.660031245090067,12,20,0.6,20,4.5920213926117865,4.345592379570007,10.708545875549317,15.061540603637695,20,5.518676171824336,4.805238962173462,10.26181831359864,19.712749481201172,9,20,20,0.9266547792125494,1.6541870832443237,10.246738558169461,19.7081457413733,91,100,0.91,100,11.655436437129975,11.6961088180542,15.125747108459477,21.205385208129883,100,4.020931613116991,2.700325846672058,10.117799854278566,16.790056228637695,34,100,100,-7.634504824012984,-8.43963074684143,-0.21703624725341616,4.114251136779785,10,10,10,10,0,10,0,0.10876161345590594,0.16985712125925215,230.45151231624186,41.602521389722824,145
0,JV_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.03125642800732749,0.001624078198801726,0.033356086025014414,0.29785433411598206,10,12.956857585906983,12.41201400756836,21.270451736450195,21.58588981628418,10,10,10,12.925601157899655,12.40984383324394,21.26818475816399,21.58447020733729,12,20,0.6,20,3.7954655927635033,2.406656265258789,9.668163585662844,14.858611106872559,20,6.348831187561155,5.691552400588989,14.352953624725348,21.358732223510742,10,20,20,2.5533655947976515,2.796014904975891,14.351888486981633,21.35713597445283,91,100,0.91,100,11.423465418815614,11.510313510894775,15.030395984649658,20.92681121826172,100,4.036150216744281,2.802744746208191,10.157615566253662,16.740089416503906,33,100,100,-7.387315202071331,-8.040136575698853,-0.1665709495544424,4.223111629486084,10,10,10,10,0,10,0,0.0071029603692073385,0.5478962481259546,245.19483987241983,38.6586031652987,93
0,ORB_RAY_N,TERMINAL_VALID,10,10,1.0,10,0.020514867079327814,0.003317825961858034,0.02421839600428933,0.17397700250148773,10,12.605839967727661,12.153255462646484,20.59339294433594,21.188007354736328,10,10,10,12.585325100648333,12.15101701032836,20.590846847207285,21.18394426535815,12,20,0.6,20,3.764909601426916,2.49934184551239,9.651261043548585,14.940706253051758,20,6.376059211790562,5.884429454803467,13.17484254837037,21.41118049621582,9,20,20,2.6111496103636456,3.892007827758789,13.17198419086636,21.409565561334603,90,100,0.9,100,11.545870934724809,11.608657836914062,15.079327106475834,21.14488983154297,100,4.020502065771725,2.7260711193084717,10.125158500671388,16.780061721801758,34,100,100,-7.525368868953083,-8.306611061096191,-0.20073299407958778,4.143062591552734,10,10,10,10,0,10,0,0.06313218657376958,0.24747518162307972,251.23188635706902,38.26022564433515,93
1,O_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.001067799297743477,0.0010486108367331326,0.0016694104764610528,0.002067572670057416,10,14.854248237609863,13.02470874786377,21.511681938171385,25.64923095703125,10,10,10,14.853180438312119,13.022862376412377,21.510808004869613,25.648199137067422,17,20,0.85,20,2.574151975195855,0.6102516055107117,6.223595905303958,14.919151306152344,20,7.340817520022393,6.415166139602661,13.209654140472422,23.880300521850586,12,20,20,4.766665544826537,3.8957199454307556,13.202225009305412,23.879235834581777,90,100,0.9,100,11.077471240460874,10.899731636047363,15.166748332977296,21.035764694213867,100,3.937744201477617,2.681423783302307,10.172524070739748,16.851802825927734,33,100,100,-7.1397270389832554,-8.025040931999683,0.02854585647583649,4.118409156799316,10,10,10,10,0,10,0,0.001461098490026973,0.12377251794660646,82.10652771964669,47.374965116381645,58
1,ORBFH_HIST,TERMINAL_VALID,10,10,1.0,10,0.0070957706542685624,0.0021016536047682166,0.0180169335566461,0.04035172238945961,10,12.961950206756592,11.610094547271729,20.923396492004393,24.107709884643555,10,10,10,12.954854436102323,11.607977273175493,20.921360421564895,24.10576675494667,14,20,0.7,20,3.2064884143706878,1.1455632448196411,7.800935363769533,15.014932632446289,20,6.522070910036564,5.49291729927063,12.279731845855723,21.87071418762207,10,20,20,3.3155824956658764,2.2226414680480957,12.268089335877459,21.86888302245643,91,100,0.91,100,11.12648229956627,11.009246826171875,15.1466534614563,20.91034507751465,100,3.939680764260702,2.4866524934768677,10.188545989990235,16.896137237548828,34,100,100,-7.186801535305567,-7.826595067977905,-0.08624458312988219,4.163938045501709,10,10,10,10,0,10,0,0.04054578637875079,0.07264620008936785,310.4173663407564,80.59613208845258,191
1,JV_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.0018845643251552246,0.001284908503293991,0.004479072801768779,0.006232468876987696,10,14.342143106460572,13.564198017120361,20.965835952758788,25.21112823486328,10,10,10,14.340258542135416,13.563546079327352,20.964211806026285,25.20950580202043,15,20,0.75,20,3.0715905666467735,1.0365217328071594,8.33385934829712,14.917267799377441,20,6.817871202155947,5.218149423599243,14.439652252197277,22.318159103393555,11,20,20,3.7462806355091742,2.8387889862060547,14.438187458843469,22.316696164780296,91,100,0.91,100,10.780756707489491,10.606041431427002,14.861589431762697,20.350299835205078,100,3.989605934799183,2.727163553237915,10.228504657745363,16.89977264404297,32,100,100,-6.791150772690307,-7.467063389718533,-0.07385406494140591,4.3248748779296875,10,10,10,10,0,10,0,0.004595322755090262,0.16471078953383755,187.64384856633842,40.978790041059256,98
1,ORB_RAY_N,TERMINAL_VALID,10,10,1.0,10,0.002052650574478321,0.0016631783219054341,0.0047458388376981015,0.005671244114637375,10,14.092201232910156,12.640071868896484,21.36249942779541,25.018579483032227,10,10,10,14.090148582335678,12.638904465682572,21.36101978861261,25.017105950275436,16,20,0.8,20,2.8551202551811,0.834945946931839,7.690842437744142,14.909379959106445,20,7.051247182115913,5.552387714385986,13.287782955169689,22.80478286743164,12,20,20,4.196126926934812,3.6039857864379883,13.280231241986634,22.80340575671289,91,100,0.91,100,10.946736457645892,10.823540687561035,14.932313442230226,20.718402862548828,100,3.9557415655488146,2.5432920455932617,10.2006236076355,16.878198623657227,33,100,100,-6.990994892097079,-7.635011911392212,-0.06295700073242155,4.211187362670898,10,10,10,10,0,10,0,0.02526709877290501,0.08990545452219635,185.8026653751731,39.0229356456548,98
2,O_NATIVE,TERMINAL_VALID,10,10,1.0,10,0.0184297306695953,0.0060216805431991816,0.04415384419262407,0.10127397626638412,10,14.378891468048096,15.074437618255615,17.622442626953124,18.961559295654297,10,10,10,14.3604617373785,15.070296671241522,17.53105860326905,18.959184845210984,18,20,0.9,20,1.8326032990735257,0.45196323096752167,5.213279342651369,11.724040031433105,20,11.132756727933884,11.062052726745605,17.845935440063478,20.249204635620117,14,20,20,9.300153428860359,8.238495238125324,17.82456470920588,20.23255341127515,82,100,0.82,100,9.894280599333579,9.505908966064453,15.07986068725586,17.29120445251465,100,4.948282059878111,3.97367787361145,10.63139839172364,19.619775772094727,25,100,100,-4.945998539455468,-5.200928211212158,0.9426249504089366,19.619284869520925,10,10,10,10,0,10,0,0.011312586561647487,0.09437425817533425,125.96184567548335,54.19485064968467,53
2,ORBFH_HIST,TERMINAL_VALID,10,10,1.0,10,0.01921831821091473,0.005972927436232567,0.04586597718298434,0.09077398478984833,10,14.251244640350341,14.840801239013672,17.870036315917968,19.396493911743164,10,10,10,14.232026322139427,14.836436189943925,17.788078181049787,19.393878426169977,19,20,0.95,20,1.608662335401459,0.45026281476020813,4.924415159225466,11.891704559326172,20,11.465802878141403,10.96475887298584,18.063146781921386,20.799654006958008,15,20,20,9.857140542739945,8.465906597673893,18.045235912196222,20.774292673915625,79,100,0.79,100,9.660517295175232,9.482084274291992,15.0237943649292,17.2159481048584,100,4.985240287408232,3.9663108587265015,10.617687129974371,18.10638427734375,23,100,100,-4.675277007766999,-5.080107927322388,1.114722728729248,18.10511848004535,10,10,10,10,0,10,0,0.014276340714257726,0.11054112678064754,371.4004281256348,125.62717281095684,188
