cell,arm,w0_restore,same_entry,same_fixed_z,endpoint_status,history_append_count,numeric_storage_cast_count,inner_history_append_count
0,O_NATIVE,True,True,True,TERMINAL_VALID,0,0,0
0,ORBFH_HIST,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
0,JV_NATIVE,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
0,ORB_RAY_N,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
1,O_NATIVE,True,True,True,TERMINAL_VALID,1,0,0
1,ORBFH_HIST,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
1,JV_NATIVE,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
1,ORB_RAY_N,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
2,O_NATIVE,True,True,True,TERMINAL_VALID,0,0,0
2,ORBFH_HIST,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
2,JV_NATIVE,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
2,ORB_RAY_N,True,True,True,TERMINAL_VALID,0,NOT_RECORDED,0
3,O_NATIVE,True,True,True,TERMINAL_VALID,1,0,0
3,ORBFH_HIST,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
3,JV_NATIVE,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
3,ORB_RAY_N,True,True,True,TERMINAL_VALID,1,NOT_RECORDED,0
