cell,arm,node,layer,Neff,absolute_residual,column,gain_by_request,negative_gain,pi,positive_gain,response_energy_by_request,s_median,s_min,top1,top5,g_i_native_whitened,r_i_native_whitened,conversion,V,aw,coefficients,dissipation_residual,gain,nu,policy,primary_influence_count,qN,response_sq,shat,speed_bound,speed_excess,status,velocity_mismatch
0,JV_NATIVE,0,4,4.868712496069571,"[3.3175382122339783, 4.992664315521974, 4.425343225288052, 4.933255529085346, 4.262483251730655, 4.451105376347189, 4.354262864593432, 3.736332154652599, 4.226973405297051, 4.400183714111437]",0,"[0.01670531575514038, 0.03737613422607528, 0.019325308785494474, 0.026022970192793496, 0.042619431630328816, 0.020833463197199278, 0.02421962478364158, 0.03237961535144514, 0.01791086976186618, 0.02655623697689347]",0,"[0.05789674975520455, 0.13756917035825805, 0.02319275308807621, 0.0553526685601887, 0.391803744517565, 0.046293101774210255, 0.05925657146310487, 0.0961306677403774, 0.03212330431730584, 0.10038126842570914]",10,"[0.05517621484906414, 0.13110487432176468, 0.02210293898603441, 0.052751678563293804, 0.37339311235214306, 0.04411781559972292, 0.056472139318551044, 0.0916135430616337, 0.030613848759518756, 0.09566441047030652]",4.354259967803955,3.317538261413574,0.391803744517565,0.7851414225050144,"[0.037660141229031455, 0.08426003519964013, 0.04356660291993675, 0.058665681452798345, 0.09608042361039142, 0.04696655710054017, 0.0546002543882133, 0.07299597954033953, 0.040377918900402196, 0.05986786779254333]","[0.2804183406038793, 0.666305425317028, 0.11233227016183563, 0.2680962840103009, 1.8976705314986242, 0.22421698689162758, 0.2870045297847713, 0.46560130651334636, 0.1555866906080091, 0.48618875564978586]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,0,5,6.422532732164855,"[3.3175382122339783, 4.992664315521974, 4.425343225288052, 4.933255529085346, 4.262483251730655, 4.451105376347189, 4.354262864593432, 3.736332154652599, 4.226973405297051, 4.400183714111437]",1,"[0.018235497665380344, 0.043114105145379354, 0.0241986068651574, 0.033627878666302694, 0.04758555636612298, 0.027104408610091054, 0.032017518037644584, 0.04320750880646262, 0.020413157773878605, 0.03213453859916657]",0,"[0.03925602251724804, 0.13644720041298114, 0.03525115448342383, 0.07354911223247194, 0.29853968516134066, 0.055974294908823996, 0.09426347071632929, 0.11488965532536223, 0.03705314808190888, 0.11477625616010985]",10,"[0.02508810880319792, 0.08720196266314449, 0.022528639999885375, 0.0470044597426073, 0.1907935553101273, 0.035772579869441865, 0.06024278716620514, 0.07342476359896527, 0.023680275050063867, 0.07335229139180792]",4.354259967803955,3.317538261413574,0.29853968516134066,0.7589162677761232,"[0.04096388842570605, 0.09685073723556327, 0.05435930786598343, 0.07554105157737535, 0.10689532347437314, 0.06088684775828181, 0.07192356691487904, 0.09706055751145468, 0.0458557442637284, 0.07218643976395958]","[0.12660038701509374, 0.44004122862471917, 0.11368471674300357, 0.23719535185095122, 0.9627883126514856, 0.18051669384590732, 0.30399900725627144, 0.37051830255678264, 0.11949613298790439, 0.37015259107386733]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,0,6,8.114812799530654,"[3.3175382122339783, 4.992664315521974, 4.425343225288052, 4.933255529085346, 4.262483251730655, 4.451105376347189, 4.354262864593432, 3.736332154652599, 4.226973405297051, 4.400183714111437]",2,"[0.02456719094807413, 0.052910135098484044, 0.0288446607565318, 0.040394182149630455, 0.04870972342601963, 0.03294496985207034, 0.03943324531620924, 0.051705972200278075, 0.02642853572563115, 0.04364271901146493]",0,"[0.049209036754825033, 0.14874669924421183, 0.0427400023701718, 0.09036752865745502, 0.19836160395443106, 0.06412527668871346, 0.10221034081560558, 0.12151129089196584, 0.050589130271520705, 0.13213909035109975]",10,"[0.022909668296078857, 0.06925023866652626, 0.019897956591850008, 0.042071339794630284, 0.0923488620985574, 0.029854045419587624, 0.047584857557389504, 0.056570572239261124, 0.023552182085621112, 0.06151843093316515]",4.354259967803955,3.317538261413574,0.19836160395443106,0.7029690252573141,"[0.055162394844167253, 0.11880274670920843, 0.06476689049069308, 0.09069982114987403, 0.10937127496812626, 0.07397359506629121, 0.08854216392575251, 0.1160989573590979, 0.059341799635612404, 0.09799398324667627]","[0.11550320187749324, 0.34913749921614484, 0.10031911712887674, 0.21211020564568853, 0.4655933523032334, 0.15051452471481966, 0.2399075943715707, 0.28521068665123556, 0.11874255039111944, 0.31015620372278224]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,0,7,8.925774683500629,"[3.3175382122339783, 4.992664315521974, 4.425343225288052, 4.933255529085346, 4.262483251730655, 4.451105376347189, 4.354262864593432, 3.736332154652599, 4.226973405297051, 4.400183714111437]",3,"[0.033612958288894434, 0.05567408466256035, 0.03080602420146075, 0.04522710116469571, 0.05049393897687499, 0.038660045199852236, 0.04260738664892616, 0.04805785118376545, 0.030583688737289037, 0.04975430225876903]",0,"[0.06871093417513392, 0.136487044764918, 0.04487587161589154, 0.09150627538924291, 0.16650960720716979, 0.07491260471113553, 0.09909898169036525, 0.10127585118139817, 0.08166121492330145, 0.1349616143414435]",10,"[0.02396546208373553, 0.0476048701054992, 0.01565210854132789, 0.03191617461749476, 0.058076341502358075, 0.026128522473913625, 0.03456440982426246, 0.03532367301686609, 0.02848234816554718, 0.04707282021541948]",4.354259967803955,3.317538261413574,0.16650960720716979,0.6383330991852947,"[0.07474424654295614, 0.12380098991306886, 0.06850254143453405, 0.10057030895117984, 0.11228203692679684, 0.08596732025024703, 0.09474491905375049, 0.10686497291703294, 0.06800813994191733, 0.1106373263144435]","[0.1185025977221101, 0.2353929480689554, 0.07739535818233094, 0.15781667752996958, 0.2871714849552815, 0.12919833454413723, 0.17091146995602932, 0.17466581695605546, 0.1408373531480356, 0.2327621081597596]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,0,8,9.296620917321725,"[3.3175382122339783, 4.992664315521974, 4.425343225288052, 4.933255529085346, 4.262483251730655, 4.451105376347189, 4.354262864593432, 3.736332154652599, 4.226973405297051, 4.400183714111437]",4,"[0.04039679413060508, 0.058898162602474206, 0.03847278516815214, 0.051390299412906223, 0.05852889907162326, 0.04459140153238217, 0.05418549540600342, 0.05757886696813697, 0.048613725979388865, 0.058794768350387716]",0,"[0.06118622379848955, 0.1300245444306829, 0.05534522914867303, 0.09872500566019644, 0.12910394923043933, 0.07434026652343664, 0.10975543727230476, 0.12395292552812816, 0.08836696803153457, 0.12919945037611452]",10,"[0.016374076178880738, 0.03479593384687392, 0.014810964657707051, 0.026419848506493294, 0.03454957290150255, 0.019894236180058204, 0.029371707867800283, 0.03317110485322686, 0.02364792883787649, 0.034575130011214136]",4.354259967803955,3.317538261413574,0.1300245444306829,0.6220363068376696,"[0.08933365700442561, 0.1302476686419549, 0.08507889470399359, 0.11364474532965953, 0.12943107756538008, 0.09860963117423448, 0.11982605465089377, 0.12733017218656095, 0.10750461802263837, 0.1300190221156424]","[0.08007431461591004, 0.1701629162934206, 0.0724302141268911, 0.1292012592528585, 0.16895813480631694, 0.09728898959074543, 0.14363676771251027, 0.16221699820845656, 0.11564571173921409, 0.16908311700509032]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,0,,,,,,,,,,,,,,,,,0.49999998430511433,0.31622776601683794,"[0.0, 0.0, 0.006120786142145951, 0.061934673417942454, 0.7501470014613777]",-1.1102230246251565e-16,0.9123874051047028,"[3.374774553310487e-05, 5.0788010044188736e-05, 4.5016919616376895e-05, 5.018366874935517e-05, 4.3360200529836976e-05, 4.5278977227457066e-05, 4.429384750193292e-05, 4.398240807046024e-05, 4.299894938671486e-05, 4.476100934200152e-05]",NNUM,0,0.5665938915958812,0.8557280159451148,"[3.317538261413574, 4.992664813995361, 4.4253411293029785, 4.9332594871521, 4.262485504150391, 4.451103210449219, 4.354259967803955, 3.736332893371582, 4.2269744873046875, 4.400183200836182]",2.4999999215255717,-1.9334060299296905,SHADOW_ONLY,0.17593514244157774
0,JV_NATIVE,0,,,,,,,,,,,,,,,,,0.4999999716747244,0.31622776601683794,"[0.0, 2.1526957420220372e-05, 0.006668898838797288, 0.06093716757410203, 0.7449809371102353]",2.636779683484747e-16,0.9148415660135939,"[3.374774553310487e-05, 5.0788010044188736e-05, 4.5016919616376895e-05, 5.018366874935517e-05, 4.3360200529836976e-05, 4.5278977227457066e-05, 4.429384750193292e-05, 4.398240807046024e-05, 4.299894938671486e-05, 4.476100934200152e-05]",NRMS,0,0.5587544097247306,0.8589661250411206,"[4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452, 4.335703480138452]",2.499999858373622,-1.9412454486488913,SHADOW_ONLY,0.17112257701244915
0,JV_NATIVE,1,4,5.903112185535132,"[2.1250566296791695, 2.350666549586373, 2.9130927460479024, 2.656524194986321, 2.0310790762518587, 2.672483971818961, 2.2570896072854376, 1.8291678178326454, 2.4338870240763892, 2.10173781601153]",0,"[0.006411692540858668, 0.008890899105839005, 0.00789573131578652, 0.006250205800168356, 0.008394577059266457, 0.007619181536336832, 0.005231031551784417, 0.006210955253457952, 0.00495275645089882, 0.0063201650362371695]",0,"[0.09326128308887856, 0.12324499368143668, 0.03914851590450922, 0.06134328304912969, 0.33900193724684335, 0.06652386714823616, 0.060488540677202295, 0.08658023626315121, 0.040568424373756184, 0.08983891856685657]",10,"[0.022251894481476898, 0.02940592820448395, 0.00934073193249302, 0.014636344433045673, 0.08088496197767377, 0.015872418041596326, 0.014432405172947247, 0.020657814450965078, 0.009679518322563679, 0.021435327394912065]",4.354259967803955,3.317538261413574,0.33900193724684335,0.7319273688471664,"[0.026449654793459877, 0.036676932128974084, 0.03257164411949422, 0.025783486146451158, 0.0346294935291704, 0.03143081489959028, 0.021579166168168323, 0.0256215689296899, 0.020431219614409593, 0.02607208352254843]","[0.3786706379335517, 0.5004140928984442, 0.15895549579330326, 0.24907334915192073, 1.376456291252551, 0.27010817754697414, 0.2456028217419758, 0.3515434509619648, 0.16472077832050797, 0.36477474336859944]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,1,5,7.580023097191549,"[2.1250566296791695, 2.350666549586373, 2.9130927460479024, 2.656524194986321, 2.0310790762518587, 2.672483971818961, 2.2570896072854376, 1.8291678178326454, 2.4338870240763892, 2.10173781601153]",1,"[0.0071344877236499986, 0.009886125689025018, 0.01003321614165379, 0.008359209381608732, 0.009734252649353927, 0.009360363175388221, 0.007900065569810138, 0.00857586592064762, 0.006016850896286919, 0.006872724660961557]",0,"[0.06261012969620917, 0.1228296499167401, 0.058636348000917056, 0.07921659314900666, 0.25656221604481255, 0.07902260503684091, 0.09669855160219772, 0.09750343772863714, 0.046202271698993984, 0.10071819712564484]",10,"[0.010109354651657404, 0.019832709160198872, 0.0094677273517158, 0.0127907199414067, 0.04142585943835213, 0.012759397619705654, 0.015613447172069968, 0.015743408239805426, 0.007460057223705829, 0.016262479882394067]",4.354259967803955,3.317538261413574,0.25656221604481255,0.6743120524180323,"[0.029371945676408644, 0.04070015366704357, 0.041305709798258046, 0.03441399766383313, 0.040074908121222066, 0.03853564395206552, 0.03252375023189724, 0.035305950154548654, 0.024770750825313194, 0.02829429430812767]","[0.17134178033203404, 0.3361413080664642, 0.16046694532329225, 0.21678779724379033, 0.7021200415387695, 0.21625692039266411, 0.2646297343168223, 0.26683242296381665, 0.12643927630722174, 0.27563008240159587]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
0,JV_NATIVE,1,6,9.177877030377298,"[2.1250566296791695, 2.350666549586373, 2.9130927460479024, 2.656524194986321, 2.0310790762518587, 2.672483971818961, 2.2570896072854376, 1.8291678178326454, 2.4338870240763892, 2.10173781601153]",2,"[0.009519911972610252, 0.01081874846809971, 0.01181993200313139, 0.01132366414793466, 0.01026040683160702, 0.011897510671717702, 0.009703570538430186, 0.011055226678773082, 0.007664196048465939, 0.008515708948410076]",0,"[0.07605202802197342, 0.11961217938376567, 0.06777984946529274, 0.099953088792164, 0.1728798047149039, 0.09129628504572349, 0.10156489549952474, 0.10184828570738852, 0.06118071660533909, 0.1078328667639244]",10,"[0.009134781424965457, 0.014366889915398038, 0.008141191313183933, 0.01200559199555834, 0.02076498510210776, 0.010965803680647021, 0.01219918975164684, 0.012233228391695506, 0.007348554511275548, 0.012952049983877757]",4.354259967803955,3.317538261413574,0.1728798047149039,0.6037380320695074,"[0.03914500719731802, 0.04448570405568756, 0.048602479168462644, 0.04656187114400136, 0.04218985432073714, 0.048921475557179975, 0.03990019441980021, 0.045458080826129475, 0.03151447306887175, 0.035015816221289894]","[0.15444898172162652, 0.24291238232318438, 0.13764956705868467, 0.202988048910684, 0.35109004313120895, 0.18540752465148352, 0.20626135944767623, 0.20683687768397882, 0.12424782910409542, 0.21899056344690737]","g_raw/sqrt(q_l), r_raw/q_l from same recorded node",,,,,,,,,,,,,,,
