model,prompt_family,quantity,row_count,mean,median,p90,max
llama3-8b-inst,rewrite,target_new_nll,100,11.102701358795166,10.909377098083496,16.596692276000976,20.853899002075195
llama3-8b-inst,rewrite,target_true_nll,100,4.9429566620942209,4.157355785369873,10.377396965026859,15.270686149597168
llama3-8b-inst,rephrase,target_new_nll,200,9.821012414097785,9.6705026626586914,14.684741878509522,20.91832160949707
llama3-8b-inst,rephrase,target_true_nll,200,5.0023488967213776,4.2286777496337891,9.8320774078369126,18.113283157348636
llama3-8b-inst,locality,target_new_nll,1000,10.879424313902854,10.76435661315918,15.898330211639404,22.382335662841797
llama3-8b-inst,locality,target_true_nll,1000,4.8875181750765186,4.2977974414825439,9.9810326576232917,20.467996597290039
llama3-8b-inst,locality,new_minus_true_nll_advantage,1000,5.9919061388263364,6.0356314182281494,12.212558364868164,20.331559658050537
qwen2.5-7b-inst,rewrite,target_new_nll,100,10.371344369649886,10.168027877807615,15.470536613464356,19.075061798095703
qwen2.5-7b-inst,rewrite,target_true_nll,100,5.3252032267116007,4.9492659568786621,9.5115603446960577,14.07111644744873
qwen2.5-7b-inst,rephrase,target_new_nll,200,10.019636951684951,10.080389499664308,14.681192016601562,17.783126831054688
qwen2.5-7b-inst,rephrase,target_true_nll,200,5.539292800147086,4.7002828121185294,10.9601731300354,16.584354400634766
qwen2.5-7b-inst,locality,target_new_nll,1000,10.19901078259945,10.061334609985352,15.350890827178956,22.16526985168457
qwen2.5-7b-inst,locality,target_true_nll,1000,5.240018653629348,4.5634665489196777,10.161244201660157,21.817123413085938
qwen2.5-7b-inst,locality,new_minus_true_nll_advantage,1000,4.9589921289701016,4.9599521160125732,11.235434556007386,17.879732966423035
