cell_id,model,writer_family,arm,wall_seconds,model_forward_invocation_count,key_capture_count,factor_build_count,solve_count_recorded,stock_expected_layer_solve_count,stock_actual_solve_count,jvp_call_count,jvp_model_forward_invocation_count,jvp_wall_seconds,terminal_capture_count,physical_write_count,shadow_materialization_count,endpoint_evaluator_count,derived_endpoint_evaluator_count,peak_gpu_allocated_bytes_cell_scope,peak_gpu_reserved_bytes_cell_scope,model_load_seconds_cell_scope,job_total_seconds_cell_scope,wall_delta_vs_official_seconds,wall_ratio_vs_official
0,llama3-8b-inst,MEMIT,O,173.82302821613848,217,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,42405822976,47320137728,3.6095551317557693,4935.7036601835862,0,1
0,llama3-8b-inst,MEMIT,QCL,663.1336706969887,528,20,20,20,,,0,0,0,41,1,1,1,0,42405822976,47320137728,3.6095551317557693,4935.7036601835862,489.31064248085022,3.8149932002819664
0,llama3-8b-inst,MEMIT,NQFIX,660.02807342633605,528,20,20,20,,,0,0,0,41,1,1,1,0,42405822976,47320137728,3.6095551317557693,4935.7036601835862,486.20504521019757,3.7971267685293735
0,llama3-8b-inst,MEMIT,ORBFH,742.6665314398706,548,20,20,20,,,20,20,66.351904036477208,41,1,1,1,0,42405822976,47320137728,3.6095551317557693,4935.7036601835862,568.84350322373211,4.2725439722313974
0,llama3-8b-inst,MEMIT,JAC,691.82106521725655,510,20,20,20,,,20,20,66.183964882045984,23,1,1,1,0,42405822976,47320137728,3.6095551317557693,4935.7036601835862,517.99803700111806,3.9800311403907811
1,llama3-8b-inst,AlphaEdit,O,221.31787544116378,242,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,40291688960,43381686272,3.7650934504345059,5314.8946902994066,0,1
1,llama3-8b-inst,AlphaEdit,QCL,738.58064430765808,553,20,20,20,,,0,0,0,41,1,1,1,0,40291688960,43381686272,3.7650934504345059,5314.8946902994066,517.2627688664943,3.337193811550057
1,llama3-8b-inst,AlphaEdit,NQFIX,735.04920498281717,553,20,20,20,,,0,0,0,41,1,1,1,0,40291688960,43381686272,3.7650934504345059,5314.8946902994066,513.73132954165339,3.3212373990018094
1,llama3-8b-inst,AlphaEdit,ORBFH,817.23800486698747,573,20,20,20,,,20,20,66.896796910092235,41,1,1,1,0,40291688960,43381686272,3.7650934504345059,5314.8946902994066,595.92012942582369,3.6925982740343359
1,llama3-8b-inst,AlphaEdit,JAC,762.15775651298463,524,20,20,20,,,20,20,66.671401580795646,22,1,1,1,0,40291688960,43381686272,3.7650934504345059,5314.8946902994066,540.83988107182086,3.4437243489426157
2,qwen2.5-7b-inst,MEMIT,O,195.75424493104219,217,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,45754253824,50136612864,3.9074680246412754,5005.957746706903,0,1
2,qwen2.5-7b-inst,MEMIT,QCL,650.58048642985523,528,20,20,20,,,0,0,0,41,1,1,1,0,45754253824,50136612864,3.9074680246412754,5005.957746706903,454.82624149881303,3.3234553184735964
2,qwen2.5-7b-inst,MEMIT,NQFIX,657.70283638313413,528,20,20,20,,,0,0,0,41,1,1,1,0,45754253824,50136612864,3.9074680246412754,5005.957746706903,461.94859145209193,3.3598394589850211
2,qwen2.5-7b-inst,MEMIT,ORBFH,723.85428711213171,548,20,20,20,,,20,20,57.493354491889477,41,1,1,1,0,45754253824,50136612864,3.9074680246412754,5005.957746706903,528.10004218108952,3.6977705764037037
2,qwen2.5-7b-inst,MEMIT,JAC,644.65557187236845,488,20,20,20,,,20,20,57.295232448726892,21,1,1,1,0,45754253824,50136612864,3.9074680246412754,5005.957746706903,448.90132694132626,3.2931882120842872
3,qwen2.5-7b-inst,AlphaEdit,O,218.23950823023915,242,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,42347174400,44721766400,3.6516080629080534,5294.5531798042357,0,1
3,qwen2.5-7b-inst,AlphaEdit,QCL,739.99799891002476,553,20,20,20,,,0,0,0,41,1,1,1,0,42347174400,44721766400,3.6516080629080534,5294.5531798042357,521.75849067978561,3.3907609346761305
3,qwen2.5-7b-inst,AlphaEdit,NQFIX,730.95408226549625,553,20,20,20,,,0,0,0,41,1,1,1,0,42347174400,44721766400,3.6516080629080534,5294.5531798042357,512.7145740352571,3.3493206074051063
3,qwen2.5-7b-inst,AlphaEdit,ORBFH,782.60903022438288,562,20,20,20,,,20,20,57.598961850628257,40,1,1,1,0,42347174400,44721766400,3.6516080629080534,5294.5531798042357,564.36952199414372,3.5860098685648749
3,qwen2.5-7b-inst,AlphaEdit,JAC,695.88153129629791,502,20,20,20,,,20,20,57.26465274952352,20,1,1,1,0,42347174400,44721766400,3.6516080629080534,5294.5531798042357,477.64202306605875,3.1886139083586742
