cell_id,model,writer_family,arm,wall_seconds,model_forward_invocation_count,key_capture_count,factor_build_count,solve_count_recorded,stock_expected_layer_solve_count,stock_actual_solve_count,jvp_call_count,jvp_model_forward_invocation_count,jvp_wall_seconds,terminal_capture_count,physical_write_count,shadow_materialization_count,endpoint_evaluator_count,derived_endpoint_evaluator_count,peak_gpu_allocated_bytes_cell_scope,peak_gpu_reserved_bytes_cell_scope,model_load_seconds_cell_scope,job_total_seconds_cell_scope,wall_delta_vs_official_seconds,wall_ratio_vs_official
0,llama3-8b-inst,MEMIT,O,159.2350357612595,154,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,42405822976,47320137728,5.1694640507921576,4867.6390564488247,0,1
0,llama3-8b-inst,MEMIT,QCL,647.70905506797135,465,20,20,20,,,0,0,0,41,1,1,1,0,42405822976,47320137728,5.1694640507921576,4867.6390564488247,488.47401930671185,4.0676290363577969
0,llama3-8b-inst,MEMIT,NQFIX,648.08023709151894,465,20,20,20,,,0,0,0,41,1,1,1,0,42405822976,47320137728,5.1694640507921576,4867.6390564488247,488.84520133025944,4.0699600687325068
0,llama3-8b-inst,MEMIT,ORBFH,732.27796536963433,485,20,20,20,,,20,20,67.034195819869637,41,1,1,1,0,42405822976,47320137728,5.1694640507921576,4867.6390564488247,573.04292960837483,4.5987239043770245
0,llama3-8b-inst,MEMIT,JAC,680.29615725111216,447,20,20,20,,,20,20,66.762093485333025,23,1,1,1,0,42405822976,47320137728,5.1694640507921576,4867.6390564488247,521.06112148985267,4.2722768516287939
1,llama3-8b-inst,AlphaEdit,O,204.2109262291342,179,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,40291688960,43381686272,4.74306795373559,5204.4599997531623,0,1
1,llama3-8b-inst,AlphaEdit,QCL,725.48887580633163,490,20,20,20,,,0,0,0,41,1,1,1,0,40291688960,43381686272,4.74306795373559,5204.4599997531623,521.27794957719743,3.5526447541416037
1,llama3-8b-inst,AlphaEdit,NQFIX,725.51745829265565,490,20,20,20,,,0,0,0,41,1,1,1,0,40291688960,43381686272,4.74306795373559,5204.4599997531623,521.30653206352144,3.5527847196510494
1,llama3-8b-inst,AlphaEdit,ORBFH,797.44778597634286,510,20,20,20,,,20,20,65.691777976229787,41,1,1,1,0,40291688960,43381686272,4.74306795373559,5204.4599997531623,593.23685974720865,3.9050201705738758
1,llama3-8b-inst,AlphaEdit,JAC,737.96640779823065,461,20,20,20,,,20,20,65.615467549301684,22,1,1,1,0,40291688960,43381686272,4.74306795373559,5204.4599997531623,533.75548156909645,3.6137459509399505
2,qwen2.5-7b-inst,MEMIT,O,182.76773721259087,154,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,45754253824,50136612864,4.5081729078665376,4944.4536591442302,0,1
2,qwen2.5-7b-inst,MEMIT,QCL,643.1611998565495,465,20,20,20,,,0,0,0,41,1,1,1,0,45754253824,50136612864,4.5081729078665376,4944.4536591442302,460.39346264395863,3.5190083855360119
2,qwen2.5-7b-inst,MEMIT,NQFIX,641.94891153741628,465,20,20,20,,,0,0,0,41,1,1,1,0,45754253824,50136612864,4.5081729078665376,4944.4536591442302,459.18117432482541,3.5123754406978147
2,qwen2.5-7b-inst,MEMIT,ORBFH,706.26191352773458,485,20,20,20,,,20,20,57.377844241447747,41,1,1,1,0,45754253824,50136612864,4.5081729078665376,4944.4536591442302,523.4941763151437,3.8642592193732108
2,qwen2.5-7b-inst,MEMIT,JAC,623.26393297035247,425,20,20,20,,,20,20,57.030253692530096,21,1,1,1,0,45754253824,50136612864,4.5081729078665376,4944.4536591442302,440.4961957577616,3.4101419784247118
3,qwen2.5-7b-inst,AlphaEdit,O,201.34637103974819,179,0,5,0,5,NOT_INSTRUMENTED_STOCK_SOURCE,0,0,0,0,1,,1,0,42347174400,44721766400,3.6274312259629369,5126.0919451983646,0,1
3,qwen2.5-7b-inst,AlphaEdit,QCL,705.47451953403652,490,20,20,20,,,0,0,0,41,1,1,1,0,42347174400,44721766400,3.6274312259629369,5126.0919451983646,504.12814849428833,3.5037856202273812
3,qwen2.5-7b-inst,AlphaEdit,NQFIX,702.67617526929826,490,20,20,20,,,0,0,0,41,1,1,1,0,42347174400,44721766400,3.6274312259629369,5126.0919451983646,501.32980422955006,3.4898874593105109
3,qwen2.5-7b-inst,AlphaEdit,ORBFH,750.83824331220239,499,20,20,20,,,20,20,56.79197586979717,40,1,1,1,0,42347174400,44721766400,3.6274312259629369,5126.0919451983646,549.4918722724542,3.7290875392235301
3,qwen2.5-7b-inst,AlphaEdit,JAC,670.96941770985723,439,20,20,20,,,20,20,56.524606037884951,20,1,1,1,0,42347174400,44721766400,3.6274312259629369,5126.0919451983646,469.62304667010903,3.3324137616436098
