parent_job_id,array_task_id,child_job_id_raw,job_name,scheduler_state,exit_code,elapsed,start,end,node,namespace,category,source_head,result_inclusion,failure_boundary_present,failure_exception_type,failure_exception,failure_stage,completed_primary_arms_before_failure,science_change_count,threshold_change_count,tolerance_change_count,w0_restore_pass,terminal_status
35520,0,35521,odeedit_orbode_r0,FAILED,1:0,00:17:07,2026-09-04T13:57:35,2026-09-04T14:14:42,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,c747b3ea67c44e20be3fa8ec8129f8a9503fe825,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,RuntimeError,"self.stride(-1) must be 1 to view Float as Byte (different element sizes), but got 4096",B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35520,1,35522,odeedit_orbode_r0,FAILED,1:0,00:16:54,2026-09-04T13:57:35,2026-09-04T14:14:29,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,c747b3ea67c44e20be3fa8ec8129f8a9503fe825,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TypeError,get_module_input_output_at_words() got an unexpected keyword argument 'track',B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35520,2,35523,odeedit_orbode_r0,FAILED,1:0,00:11:29,2026-09-04T13:57:35,2026-09-04T14:09:04,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,c747b3ea67c44e20be3fa8ec8129f8a9503fe825,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,RuntimeError,"self.stride(-1) must be 1 to view Float as Byte (different element sizes), but got 3584",B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35520,3,35520,odeedit_orbode_r0,FAILED,1:0,00:10:54,2026-09-04T13:57:35,2026-09-04T14:08:29,devbox,round0-tech-r1,TECHNICAL_ATTEMPT,c747b3ea67c44e20be3fa8ec8129f8a9503fe825,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TypeError,get_module_input_output_at_words() got an unexpected keyword argument 'track',B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35567,0,35568,odeedit_orbode_r0,FAILED,1:0,00:19:50,2026-09-04T14:25:01,2026-09-04T14:44:51,devbox,round0-tech-r2,TECHNICAL_ATTEMPT,396496710c43e7b6875d219fd44364141f5cb300,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,custom dynamic R/n one-pass did not reproduce stock Official endpoint,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35567,1,35570,odeedit_orbode_r0,FAILED,1:0,00:19:24,2026-09-04T14:27:40,2026-09-04T14:47:04,devbox,round0-tech-r2,TECHNICAL_ATTEMPT,396496710c43e7b6875d219fd44364141f5cb300,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,custom dynamic R/n one-pass did not reproduce stock Official endpoint,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35567,2,35571,odeedit_orbode_r0,FAILED,1:0,00:15:35,2026-09-04T14:27:40,2026-09-04T14:43:15,devbox,round0-tech-r2,TECHNICAL_ATTEMPT,396496710c43e7b6875d219fd44364141f5cb300,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,custom dynamic R/n one-pass did not reproduce stock Official endpoint,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35567,3,35567,odeedit_orbode_r0,FAILED,1:0,00:14:28,2026-09-04T14:27:40,2026-09-04T14:42:08,devbox,round0-tech-r2,TECHNICAL_ATTEMPT,396496710c43e7b6875d219fd44364141f5cb300,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,custom dynamic R/n one-pass did not reproduce stock Official endpoint,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35582,0,35583,odeedit_orbode_r0,FAILED,1:0,00:18:17,2026-09-04T15:17:14,2026-09-04T15:35:31,devbox,round0-tech-r4,TECHNICAL_ATTEMPT,346a592257be6dc89d378671026c4253c3938341,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,fixed-state B(R/n)=B(R)/n scaling parity failed,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
35582,1,35584,odeedit_orbode_r0,FAILED,1:0,00:17:49,2026-09-04T15:17:14,2026-09-04T15:35:03,devbox,round0-tech-r4,TECHNICAL_ATTEMPT,346a592257be6dc89d378671026c4253c3938341,EXCLUDED_TECHNICAL_INVALID_DENOMINATOR_ZERO,True,TechnicalBoundary,fixed-state B(R/n)=B(R)/n scaling parity failed,B1_RUNTIME_PREAMBLE,0,0,0,0,True,
