cell_id,model,writer_family,arm,status,endpoint_status,terminal_semantic_status,global_first_hit,entry_already_hit,anchor_active_request_count,anchor_zero_request_count,step_count,zero_action_visit_count,nonzero_action_visit_count,terminal_request_strict_count,terminal_strict_event_count,terminal_semantic_event_count,terminal_net_frobenius,terminal_net_frobenius_squared,physical_euler_path_frobenius_length,resolution_stable_path_frobenius,resolution_stable_path_frobenius_squared,sum_step_action_frobenius_squared,history_append_count,inner_history_append_count,inner_cache_mutation_count,physical_write_count,selected_weight_endpoint_sha256,wall_seconds,model_forward_invocation_count,jvp_call_count,jvp_wall_seconds,key_capture_count,factor_build_count,solve_count,terminal_capture_count,endpoint_evaluator_count,derived_endpoint_evaluator_count,shadow_materialization_count,method_state_kind,method_state_content_identity_equal,factor_condition
0,llama3-8b-inst,MEMIT,O,TERMINAL_VALID,TERMINAL_VALID,OFFICIAL_BYPASS,NONE,False,,,0,0,0,88,571,606,8.6915101766608824,75.542349150999669,,,75.542349150999669,75.542349150999669,0,0,0,1,46d5b066f1679ad8bda8fc5d91f79444b05be0c94be7eef27f3ab0590e955934,159.2350357612595,154,0,0,0,5,0,0,1,0,,MEMIT_STATIC_COV_CACHE_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
0,llama3-8b-inst,MEMIT,QCL,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,80,541,606,7.3626156457622196,54.208109147222622,15.111482096661888,7.7799216677701777,60.527181156639905,15.131795289159976,0,0,0,1,582c6a0dc278218e1c2918b4b883ced5ef3d0721d3703aee3fefa5ca32b47f56,647.70905506797135,465,0,0,20,20,20,41,1,0,1,MEMIT_STATIC_COV_CACHE_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
0,llama3-8b-inst,MEMIT,NQFIX,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,97,602,606,12.98916196774168,168.7183286242269,31.548937130603353,15.145808269421869,229.39550813408783,57.348877033521958,0,0,0,1,679700fb3e62e2f068f8c943b17aeff75abb2067b39ae465dbfb528e4727033a,648.08023709151894,465,0,0,20,20,20,41,1,0,1,MEMIT_STATIC_COV_CACHE_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
0,llama3-8b-inst,MEMIT,ORBFH,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,88,573,606,8.4611048900343206,71.590295960162706,17.394657844049515,9.3819745744042944,88.021446914768646,22.005361728692161,0,0,0,1,74f42cc132f96026225d097757259f9347702e34dab3656a8b88d71656a43f93,732.27796536963433,485,20,67.034195819869637,20,20,20,41,1,0,1,MEMIT_STATIC_COV_CACHE_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
0,llama3-8b-inst,MEMIT,JAC,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,2,18,88,577,606,8.6588887606378009,74.976354569099641,17.749703254409123,10.271995024446618,105.51388178225608,26.37847044556402,0,0,0,1,161c21164311dbb3a925df6d64ba35f7ae37acf21f1905be28c90e30ae052b14,680.29615725111216,447,20,66.762093485333025,20,20,20,23,1,0,1,MEMIT_STATIC_COV_CACHE_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
1,llama3-8b-inst,AlphaEdit,O,TERMINAL_VALID,TERMINAL_VALID,OFFICIAL_BYPASS,NONE,False,,,0,0,0,99,605,606,9.8190327289878372,96.413403732934341,,,96.413403732934341,96.413403732934341,1,0,0,1,563c22cf1a1ef4de2079770a196af742554eebb4fe128870f736c44832c1a1e5,204.2109262291342,179,0,0,0,5,0,0,1,0,,ALPHA_CACHE_C_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
1,llama3-8b-inst,AlphaEdit,QCL,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,93,597,606,7.5697556999399751,57.301201356773745,15.381203662551703,8.4889928962689805,72.063000392905224,18.015750098226306,1,0,0,1,de6a90646fd434111caf3bbe47f70675b989ded56112b397319604872351cd76,725.48887580633163,490,0,0,20,20,20,41,1,0,1,ALPHA_CACHE_C_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
1,llama3-8b-inst,AlphaEdit,NQFIX,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,99,604,606,11.910514713354498,141.860360737034,30.365831282855975,15.544922014334913,241.64460043175424,60.41115010793856,1,0,0,1,f800c134cfec766dbebc9bdc676ff0b712ad13aa76c026e9006ef32716072885,725.51745829265565,490,0,0,20,20,20,41,1,0,1,ALPHA_CACHE_C_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
1,llama3-8b-inst,AlphaEdit,ORBFH,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,0,20,91,595,606,7.5231971986437172,56.59849608968068,14.493610124425228,8.6507922799136985,74.836207070214442,18.709051767553611,1,0,0,1,36f09fae46fb418e1ecaa5c26bd45f8f7d6de03567c0c2ed7470ed808f9dd3b7,797.44778597634286,510,20,65.691777976229787,20,20,20,41,1,0,1,ALPHA_CACHE_C_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
1,llama3-8b-inst,AlphaEdit,JAC,HORIZON_SEMANTIC_MISS,TERMINAL_VALID,HORIZON_SEMANTIC_MISS,NONE,False,100,0,20,3,17,92,597,606,7.9245823092508072,62.799004776090854,15.141418112774732,9.9474289380476861,98.951342477508533,24.737835619377133,1,0,0,1,ebac54e68e2671cb1f95d0e386f5c4544449bd9ec7af98f37cb65d654512bb01,737.96640779823065,461,20,65.615467549301684,20,20,20,22,1,0,1,ALPHA_CACHE_C_CONTENT_SHA256,True,NOT_RECORDED_SCHEMA_GAP
