request_index,request_sha256,prompt,prompt_index,endpoint,PDZ-T1-PRC†,PDZ-T2-PRC,PDZ-T3-PRC,PDZ-T5-PRC,PDZ-T2-PRC_minus_PDZ-T1-PRC†,PDZ-T3-PRC_minus_PDZ-T2-PRC,PDZ-T5-PRC_minus_PDZ-T3-PRC,PDZ-T5-PRC_minus_PDZ-T1-PRC
0,285a3add6f31d8546b0d76689a016bc0f9f7d8e58c95f54e87bba48ad5cabc65,rewrite,0,accepted_z,0.08608454465866089,0.006119680590927601,0.002680758247151971,0.0019847711082547903,-0.07996486406773329,-0.00343892234377563,-0.0006959871388971806,-0.0840997735504061
1,6abbaf2496b409f11036390da3b47c9272a243b8a164ca3d9f9a65fafbec985d,rewrite,0,accepted_z,0.019527103751897812,0.008158334530889988,0.006708599627017975,0.004483646713197231,-0.011368769221007824,-0.001449734903872013,-0.0022249529138207436,-0.01504345703870058
2,9e6706cd1a722d31b1dbfa3eba84ea86ef6cdb2c3c17d63b21f5cc7e76ef6e7d,rewrite,0,accepted_z,0.04778064414858818,0.017658868804574013,0.01184006780385971,0.007382848300039768,-0.030121775344014168,-0.005818801000714302,-0.0044572195038199425,-0.04039779584854841
3,90537afae22e47988418137733b2bba6fe78ac3f2cf3e8a710430cb784b35dc9,rewrite,0,accepted_z,0.0012537722941488028,0.0011436357162892818,0.0012268644059076905,0.0009839460253715515,-0.00011013657785952091,8.322868961840868e-05,-0.000242918380536139,-0.00026982626877725124
4,a77982960263f0dfb48efd2b8425a460b3d20430fb61ce562f7e2ffbbd3561fd,rewrite,0,accepted_z,0.04189494997262955,0.011688674800097942,0.005032016895711422,0.002067096997052431,-0.030206275172531605,-0.00665665790438652,-0.002964919898658991,-0.039827852975577116
5,cc987485b7f9961ef45a3aeb9301abf629d197b349e59b58ed6f5592212f16a5,rewrite,0,accepted_z,0.0464090034365654,0.01102734636515379,0.005983179900795221,0.003051032545045018,-0.03538165707141161,-0.005044166464358568,-0.002932147355750203,-0.04335797089152038
6,042d6957cbf51889a68f9ec05692ae02395bbfb258ab0b145b56d98b06844fc8,rewrite,0,accepted_z,0.1037154495716095,0.02325744368135929,0.016104616224765778,0.009859670884907246,-0.0804580058902502,-0.0071528274565935135,-0.006244945339858532,-0.09385577868670225
7,05dcb1cec09134d2efacd122ce09e701a8db7624e92b7aacd3194a7f4fdb415c,rewrite,0,accepted_z,0.0044538588263094425,0.002168329432606697,0.001320681651122868,0.0007065422250889242,-0.0022855293937027454,-0.000847647781483829,-0.0006141394260339439,-0.0037473166012205184
8,db99bc188dd5a31df5e5c30a1acc5379a51ae45dff15346ebc2be90a1d016ffb,rewrite,0,accepted_z,0.005753385368734598,0.0023390096612274647,0.0011236312566325068,0.0006908176001161337,-0.0034143757075071335,-0.0012153784045949578,-0.00043281365651637316,-0.0050625677686184645
9,4042d278f9a0433f41f891fcbc391eee910a5adfea1cc73f3792d75698ffdd46,rewrite,0,accepted_z,0.03357291966676712,0.01177244447171688,0.006841922644525766,0.003601495176553726,-0.02180047519505024,-0.004930521827191114,-0.00324042746797204,-0.029971424490213394
10,77f07216c6ca6c39ab0274107bf776c38abd63ae8c1ca02ea59fcdab0f36e4e4,rewrite,0,accepted_z,0.018758632242679596,0.007047674618661404,0.0041678003035485744,0.0026982349809259176,-0.011710957624018192,-0.002879874315112829,-0.0014695653226226568,-0.01606039726175368
11,8d67adfeef800f3ba3b181a61828d73e1a8c5712ee92223ca71ce23e8fee6253,rewrite,0,accepted_z,0.045829348266124725,0.007540927734225988,0.003715636907145381,0.0020983838476240635,-0.03828842053189874,-0.0038252908270806074,-0.0016172530595213175,-0.04373096441850066
12,6346c3ea243517cbad25c3a69368e9e4e406b1dc74740054f1cb5fffd458cc0c,rewrite,0,accepted_z,0.17084649205207825,0.04134801775217056,0.022576916962862015,0.010777126997709274,-0.12949847429990768,-0.018771100789308548,-0.01179978996515274,-0.16006936505436897
13,2089e9a0a34cd6b112042624259e5a1dfb017b6f95b70d028c2452eef4371262,rewrite,0,accepted_z,0.02051854319870472,0.010355904698371887,0.006928466726094484,0.003839384764432907,-0.010162638500332832,-0.003427437972277403,-0.0030890819616615772,-0.016679158434271812
14,3a77016737e2b0f4dfa9685598e7703e88fe37b911c923d52a9dd4187d20f892,rewrite,0,accepted_z,0.026750639081001282,0.007349122781306505,0.004433801863342524,0.0029313473496586084,-0.019401516299694777,-0.0029153209179639816,-0.0015024545136839151,-0.023819291731342673
15,0cbdcd102101aa2847555821e9cb9856e3e26f89510271de286f5bf4667c4094,rewrite,0,accepted_z,0.0629408210515976,0.01697276346385479,0.007820936851203442,0.0035064660478383303,-0.045968057587742805,-0.009151826612651348,-0.004314470803365111,-0.059434355003759265
