model,method,debt_metric,immediate_outcome,batch_denominator,pearson_r,spearman_rho,interpretation_boundary
llama3-8b-inst,alphaedit,debt_native_mean,rs_current_rate,100,0.054568606054825157,-0.14520176188371298,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
llama3-8b-inst,alphaedit,debt_native_mean,nll_advantage_mean,100,0.011901245682590378,-0.34493849384938485,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
llama3-8b-inst,alphaedit,debt_native_mean,target_new_strict_rate,100,0.24662831639585805,-0.39664421660511218,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
llama3-8b-inst,memit,debt_native_mean,rs_current_rate,100,-0.059318519267675993,0.060949403759569157,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
llama3-8b-inst,memit,debt_native_mean,nll_advantage_mean,100,-0.051093748553276523,-0.0081128112811281114,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
llama3-8b-inst,memit,debt_native_mean,target_new_strict_rate,100,-0.01067797958848824,-0.092555859430711512,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,alphaedit,debt_native_mean,rs_current_rate,100,0.06356399942834709,-0.65047434524315872,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,alphaedit,debt_native_mean,nll_advantage_mean,100,0.070854179056905497,-0.86663066306630654,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,alphaedit,debt_native_mean,target_new_strict_rate,100,0.090373411814645185,-0.8683715098843755,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,memit,debt_native_mean,rs_current_rate,100,-0.81773478830999846,-0.68849186442827881,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,memit,debt_native_mean,nll_advantage_mean,100,-0.85482946119605752,-0.7065346534653465,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
qwen2.5-7b-inst,memit,debt_native_mean,target_new_strict_rate,100,-0.8380221814863168,-0.76835402360311722,CONTEMPORANEOUS_DESCRIPTIVE_ASSOCIATION_ONLY
