model,method,within_arm_debt_rank,batch_index,request_sha256,layer,case_identity_sha256,q_pre,q_post,rho,tau,debt_under,debt_over,debt_opposite,debt_orthogonal,debt_parallel_native,debt_native,normalized_potential_reduction
llama3-8b-inst,alphaedit,1,14,34ff368b1908ad4a6dc9f8fdcdb62dde32eac47fc6303d56c8bed0795e2165ea,4,5fed2b71cfa1c8a1edb24be78f9ac185c2dfbeee8636b520aa9bf3dd0e659ceb,1,7146.9655085742024,-4484.5212880064364,35451.686816331741,0,0,20119901.225158919,1256822098.1232698,20119901.225158919,1276941999.3484287,-25539557.490374655
llama3-8b-inst,alphaedit,2,37,5fb006694da2de5bb5e11037809a94cd5df192d98fda266f6c4ac09d5cf0f436,4,829ed56630fee9609cd41e9c654fbce19f79c2d09cb012db79f314ba2494a9ec,1,6110.6690666282229,-1856.0814920552041,30496.611069528801,0,0,3448751.6681339829,930043286.72610652,3448751.6681339829,933492038.3942405,-18670137.720923517
llama3-8b-inst,alphaedit,3,27,2f186fa443857e7d28756222ce2a209ccfce3d16a8cc6afab642f83c483128eb,4,18541b429f157979902a19f9f420a7443ed4f61d148b6a4f3622177c39273537,1,6095.8137382522009,1481.855429900073,30443.267339853352,0,2192932.8042645301,0,926792526.3257817,2192932.8042645301,928985459.13004625,-18579472.065732136
llama3-8b-inst,alphaedit,4,30,19b3baea2ead84dcbb75d9bdf7e48badf1520fa2a6beeb4d8bc1fa31622bff41,4,886b92941a8f0fc6c2cb07035f60f4ef410799b30d215bb9506150fd187b19e3,1,5585.1028625238532,-6125.42408267263,27244.306748216044,0,0,37533072.040751174,742252250.19089031,37533072.040751174,779785322.23164153,-15596686.492486069
llama3-8b-inst,alphaedit,5,36,9c29cbb2e21228eee6b596c6e54450e3a11d4c78fac46b2326c5f84681050a74,4,e28a00ba97a06fc626c809cfe1d8f64d99a7e55359e3a6b91f29f838993cf995,1,4999.7005420991263,89.981490483057129,24998.358264352741,0,7917.7056485863868,0,624917915.91293299,7917.7056485863868,624925833.61858153,-12498502.255333148
llama3-8b-inst,memit,1,30,dc076cd6ea2d7e428b6d47b69f5f719d933cd7f78a595fe7560ea1f51c1312b2,4,8de383f48930aed2f7b9228fda48e5034ae4f561d8b5f6b97dd900dcb493e99a,1,8927.0173817988525,6080.229255355137,44219.707969053241,0,36957028.33916577,0,1955382572.8683507,36957028.33916577,1992339601.2075164,-39845819.16746942
llama3-8b-inst,memit,2,58,75c7c672dc21924e28f91ca9e93b2d0bf9a26349eef4b5b725ad931bf18d0733,4,01e8610926fc5cde82f958e27fbe9532f27cd726f80e5a48e86f8fb0f68c6612,1,8793.2318048875713,-6155.2737553863999,43532.449582131907,0,0,37899706.551259369,1895074166.6208565,37899706.551259369,1932973873.1721158,-38660462.287243165
llama3-8b-inst,memit,3,58,75c7c672dc21924e28f91ca9e93b2d0bf9a26349eef4b5b725ad931bf18d0733,5,01e8610926fc5cde82f958e27fbe9532f27cd726f80e5a48e86f8fb0f68c6612,8793.2318048875713,46807.11157885156,6.3912163584297739,21.157638281054517,0,29.065213823400793,0,447.64565763194355,29.065213823400793,476.71087145534432,-1056792384.3902867
llama3-8b-inst,memit,4,22,6c8da367d705777d5647c6011d12691a970eae2ae38daf459dd235fbb3a56ca1,5,8d252b12d3d3452518914ecb382ad7234db6d5b2f34a241a32ba15e8bbce1123,1.3708122837869094,5.7082557847926205,16.89064946445626,10.548568400842353,0,252.51274040222401,0,111.27229530724979,252.51274040222401,363.78503570947379,-15.352528893618667
llama3-8b-inst,memit,5,16,d88b25ed3126b61e474be639df6a4e22475bb86d426f7a0cef4e538e4f747a8f,4,ac07caf27c07e34aaaa889b4e4cea0cc7f726898dabdfe63ce8b964c5fa1c1dd,1,3.7255644050799255,0.29960857055598461,18.025040189136121,0.49054815443863126,0,0,324.90207381997232,0.49054815443863126,325.39262197441093,-6.4399150681992694
qwen2.5-7b-inst,alphaedit,1,27,2f186fa443857e7d28756222ce2a209ccfce3d16a8cc6afab642f83c483128eb,4,18541b429f157979902a19f9f420a7443ed4f61d148b6a4f3622177c39273537,1,7103.7275643809708,1086.4424153908992,35502.17056780956,0,1178185.2371296294,0,1260404115.0258434,1178185.2371296294,1261582300.2629731,-25231472.154472999
qwen2.5-7b-inst,alphaedit,2,68,4ccafc288ff9c5ec0e99971955618c59b2528bab50b2ab3e8045f998584cf06a,4,239505b7122af6011316a0d16adf612a73b6a620a80ad8cadf309de1a064cb53,1,4.2070424961167987,1.1949764523256647,20.688208233313961,0,0.038015816961502212,0,428.00195990495956,0.038015816961502212,428.03997572192105,-8.3496032820663313
qwen2.5-7b-inst,alphaedit,3,69,0a7c6fa0412e2a79bc7b282edad43768c3c7b1e8feb8294ca20ac6a757a7fcc2,4,65fca817f9fe87dfff6aa80c4c9edd9c03b1e11b715964a8d14cd080457ddbd3,1,4.2192846789597844,0.77620231761020719,20.6692673597991,0.050085402643042579,0,0,427.21861319085644,0.050085402643042579,427.26869859349949,-8.4011816010523859
qwen2.5-7b-inst,alphaedit,4,97,b0e451a36f075d99bc0ff212529900c01524ed0393ffbd09df9d2a4ae51cd880,4,04fef6a23dffc5eff639c8503f21a1ee18a1ce642ca7aec0dc80336f61a30b23,1,3.8781694943744212,4.1471188907802512,19.372081960670723,0,9.904357312705919,0,375.27755949094404,9.904357312705919,385.18191680364998,-7.0200993135481768
qwen2.5-7b-inst,alphaedit,5,62,f4e071a3359934b8da4e024c40d76c9e23c95e3df01208111c7b424be63b7d32,4,b596ba4be99ebe15a0ff75ee0d35eac8906403ba98e7a5100aeb92b1eae38224,1,3.776881135006156,2.2515812113722835,18.683334067062336,0,1.5664555286601125,0,349.06697186145209,1.5664555286601125,350.63342739011222,-6.6324155539826943
qwen2.5-7b-inst,memit,1,36,75f23a2806231977d889b081189d550c35ae3a67dba0ea8fbc510f1ac9177d0c,4,d9e572ee2e74557c92f9b35b40f55868b7c461256b8e2cece33b7f44aaa9352e,1,7.8797193898788738,-0.43839848671392928,39.021446199244529,0,0,2.0689902065809216,1522.6732634805353,2.0689902065809216,1524.7422536871163,-30.544988831616546
qwen2.5-7b-inst,memit,2,81,bf234b6d160f05d440cbb502ee6b05b9273b4c2ad33fd95b8217c6b13d1720fd,4,b234f90c0523c54e7d7c2a3a13e8f404322c51b86197298d1e22fc2495799684,1,6.4253497951667615,8.4710262729405148,31.938690899421591,0,55.816233570967441,0,1020.0799763687955,55.816233570967441,1075.8962099397629,-20.14255999512477
qwen2.5-7b-inst,memit,3,99,88e5f7f8fe79eebb70ff59f5f4f41da10adce4b5b3b477eae9d1555faee8e4b6,4,e10106beb1d1c1eeb3e5b71e283c410d49dc086584a8ee193a49d5e0a5a979d6,1,6.3131289640488442,9.2722801738766236,31.275190727375463,0,68.430619275112264,0,978.13755503371215,68.430619275112264,1046.5681743088244,-19.427798658356217
qwen2.5-7b-inst,memit,4,90,135a229d84aee561c4674f5692fd38dbeb96497ccc9105f787191b51ed58ac01,4,f11c2ea5c84e46d4d19e0e4ac0d7bdca4d0e9169f67c9a55fea29bb71a76efc2,1,5.8297290383653957,6.9898866476828223,29.080644209652423,0,35.87874205208896,0,845.68386764839101,35.87874205208896,881.56260970047992,-16.492870330380359
qwen2.5-7b-inst,memit,5,32,3d3adc816e4ffc899836085ceca48e4839cfa46b28f796efe0c9a029d1c6125b,4,5eb21b7fbd2fc34532ec205ec754fee62f70338f2b9258fca8339294c8ea62fb,1,5.9318058877482667,2.5315150345855995,29.556126424544296,0,2.3455383011617297,0,873.56460922364556,2.3455383011617297,875.91014752480726,-17.093160544962501
