model,batch_index,alphaedit_minus_memit_debt_native_mean,alphaedit_minus_memit_debt_native_p90,alphaedit_minus_memit_debt_native_max,alphaedit_minus_memit_rs_current_rate,alphaedit_minus_memit_nll_advantage_mean,alphaedit_minus_memit_target_new_strict_rate,alphaedit_minus_memit_frobenius_action_sq_sum_layers
llama3-8b-inst,1,0.43056453633794856,0.83948144288044557,4.9570644809742275,0.030000000000000027,3.4475076594637528,0.060000000000000053,20.423028979698586
llama3-8b-inst,2,0.34957606109888362,0.51503243966865031,2.6654308342903632,0,2.8390629885836827,0.020000000000000018,33.561894338689271
llama3-8b-inst,3,0.34804284125115126,0.70196273153116606,2.6948812417572485,0.030000000000000027,2.5378117839296834,0.040000000000000036,42.857365698186086
llama3-8b-inst,4,0.34100133052303117,0.65597076479689531,0.70788379118965317,0,2.7734100157040658,0.010000000000000009,47.718304228093913
llama3-8b-inst,5,0.37744014021556027,0.75624413280030511,2.4010484710745708,0,2.0634021896008186,0.010000000000000009,52.180450855458091
llama3-8b-inst,6,0.33485928261637676,0.50068468387216347,7.5636931592656742,0.010000000000000009,2.4770402919483612,0.020000000000000018,54.039006428279066
llama3-8b-inst,7,0.35961454383349667,0.57520362668862646,5.7351593388993143,0,1.4505676583655447,0,48.121075627389473
llama3-8b-inst,8,0.4111725047699728,0.71049044570037001,4.7332028366428762,0,1.5289436344831664,0,43.266241917475185
llama3-8b-inst,9,0.39170751651282421,0.66130788634555726,0.6201923259072526,0,1.5861332155228585,0.010000000000000009,27.652193845233882
llama3-8b-inst,10,0.40820892212592086,0.81162656554394985,7.7583883381505174,0,2.3003338639125293,0,-8.8546686562442858
llama3-8b-inst,11,0.31421073867185978,0.39355571782986143,9.238345554854952,0,2.4709376651554695,0.010000000000000009,-89.166575565744751
llama3-8b-inst,12,-0.20309638766695515,-0.85800136230766499,-1.0239930452176509,0,3.0737667806744682,0,-218.99833170601124
llama3-8b-inst,13,-0.45827214109130132,-1.8167489215946688,-10.383764413486945,0.010000000000000009,2.7788478464125088,0.030000000000000027,-324.27072686315984
llama3-8b-inst,14,2553880.8239477319,-8.526726699500248,1276941915.6801584,0,1.9398623244011848,0,-527.99928383228212
