counts.actual_model_forward_attention_visible_tokens,counts.actual_model_forward_input_token_elements,counts.actual_model_forward_input_tokens,counts.actual_model_forward_invocations,counts.actual_model_forward_nonpadding_query_tokens,counts.actual_model_forward_sequences,counts.backward,counts.coefficient_gradient_pullback,counts.evaluation_candidate_sequences,counts.evaluation_input_tokens,counts.evaluation_materialization,counts.evaluation_model_forwards,counts.evaluation_restore,counts.generation_output_tokens,counts.generation_sequences,counts.native_key_capture,counts.native_linear_solve,counts.native_representation_physical_batches,counts.native_z_cache_hit,counts.observation_only_train_kernel_forward,counts.observation_only_train_kernel_sequences,counts.penalty_backward,counts.teacher_forward,counts.teacher_sequences,counts.teacher_tokens,counts.training_forward,counts.training_sequences,counts.training_tokens,entry,execution_role,includes_initial_setup,peak_gpu_bytes,peak_reserved_gpu_bytes,scope,seconds.checkpoint_load_and_binding,seconds.covariance_load,seconds.curve_evaluation,seconds.direct_objective,seconds.essence_teacher,seconds.full_evaluation,seconds.full_projector_basis,seconds.generation,seconds.model_load,seconds.native_key_capture,seconds.native_linear_solve,seconds.native_metric,seconds.native_support,seconds.native_train_quantity_observation,seconds.native_write,seconds.optimizer_update,seconds.projector_load,timing,unit
579707,668505,579707,11616,522140,45420,,,32200,348382,7,4046,7,1920,60,2,1,650,100,4900,9800,,100,200,1385,4900,9800,148694,Early,CURRENT_STAGE_EXECUTION,,40494490624,41487958016,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.6969732828438282,1.5600093342363834,166.81253988482058,322.19139520451427,5.473580073565245,433.5155772957951,5.129012316465378,90.49038844369352,10.378490610048175,40.192512936890125,0.32393738627433777,0.07585129886865616,0.4473436772823334,322.2136846669018,44.248590871691704,,0.2119330670684576,start sync excluded; end sync included,native
594610,637613,594610,15610,537043,41720,11200,32,16600,180698,6,2090,6,1920,60,,,,,,,32,50,100,692,11550,23100,352836,Early,CURRENT_STAGE_EXECUTION,,37140951040,37601935360,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.7209247685968876,,169.50121703743935,1339.2928656563163,2.8690095618367195,146.59320946410298,,90.68981728330255,11.63463394343853,,,,,,,0.18735496699810028,,start sync excluded; end sync included,direct-B-r4
534226,634796,534226,13690,534226,39800,11200,32,16600,180698,5,2090,5,,,,,,,,,32,50,100,692,11550,23100,352836,Early,,True,,,INCREMENT_SINCE_PREVIOUS_CANDIDATE_TERMINAL,1.7209247685968876,,169.50121703743935,1339.2928656563163,2.8690095618367195,146.59320946410298,,,11.63463394343853,,,,,,,0.18735496699810028,,,B-alpha-0.02
594610,637613,594610,15610,537043,41720,11200,32,16600,180698,6,2090,6,1920,60,,,,,,,32,50,100,692,11550,23100,352836,Early,CURRENT_STAGE_EXECUTION,,39709856768,40445673472,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.7457326613366604,,169.18836839869618,1342.2235456239432,2.871441911906004,146.53045925870538,,90.68127998150885,11.803055491298437,,,,,,,3.0574092008173466,,start sync excluded; end sync included,direct-C-r4
534226,634796,534226,13690,534226,39800,11200,32,16600,180698,5,2090,5,,,,,,,,,32,50,100,692,11550,23100,352836,Early,,True,,,INCREMENT_SINCE_PREVIOUS_CANDIDATE_TERMINAL,1.7457326613366604,,169.18836839869618,1342.2235456239432,2.871441911906004,146.53045925870538,,,11.803055491298437,,,,,,,3.0574092008173466,,,C-alpha-0.02
503526,590489,503526,9116,446145,40420,,,32200,345356,7,4046,7,1920,60,2,1,650,100,2450,4900,,50,100,738,2450,4900,76097,Late,CURRENT_STAGE_EXECUTION,,40493507584,41993371648,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.7085169702768326,2.5051846485584974,172.81136417388916,162.67964141629636,2.70975255779922,450.45896884053946,5.113928593695164,90.67428400740027,14.449273297563195,40.60625125840306,0.3144671134650707,0.07568628527224064,0.44863197579979897,162.6909220404923,44.745002530515194,,0.25035212747752666,start sync excluded; end sync included,native
598877,635335,598877,15610,541496,41720,11200,32,16600,179204,6,2090,6,1920,60,,,,,,,32,50,100,738,11550,23100,358743,Late,CURRENT_STAGE_EXECUTION,,37140951040,37807456256,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.7515969257801771,,170.30814463086426,1325.4485928602517,2.8516783621162176,147.7249865140766,,90.57840533182025,12.532785322517157,,,,,,,0.18779926002025604,,start sync excluded; end sync included,direct-B-r4
538685,632524,538685,13690,538685,39800,11200,32,16600,179204,5,2090,5,,,,,,,,,32,50,100,738,11550,23100,358743,Late,,True,,,INCREMENT_SINCE_PREVIOUS_CANDIDATE_TERMINAL,1.7515969257801771,,170.30814463086426,1325.4485928602517,2.8516783621162176,147.7249865140766,,,12.532785322517157,,,,,,,0.18779926002025604,,,B-alpha-0.02
598877,635335,598877,15610,541496,41720,11200,32,16600,179204,6,2090,6,1920,60,,,,,,,32,50,100,738,11550,23100,358743,Late,CURRENT_STAGE_EXECUTION,,39710020608,40445673472,PROCESS_TOTAL_DO_NOT_SUM_WITH_CHILDREN,1.7513213846832514,,170.17751810513437,1330.1278514452279,2.8859193213284016,147.78510098345578,,90.55902857705951,10.96988607943058,,,,,,,3.0195469558238983,,start sync excluded; end sync included,direct-C-r4
538685,632524,538685,13690,538685,39800,11200,32,16600,179204,5,2090,5,,,,,,,,,32,50,100,738,11550,23100,358743,Late,,True,,,INCREMENT_SINCE_PREVIOUS_CANDIDATE_TERMINAL,1.7513213846832514,,170.17751810513437,1330.1278514452279,2.8859193213284016,147.78510098345578,,,10.96988607943058,,,,,,,3.0195469558238983,,,C-alpha-0.02
