cluster_count,denominator,endpoint,entry,metric,new_nll_delta_ci95,panel,reference,repetitions,resolution,scope,success_delta_ci95,unique_requests
100,200,B-alpha-0.02/eval-004,Early,NS,"[-0.1232406104337424, -0.03985205764882267]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.0]",100
100,200,B-alpha-0.02/eval-004,Early,PS,"[-3.933585381691344, -2.8516601051464683]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.285, 0.45]",100
100,100,B-alpha-0.02/eval-004,Early,RS,"[-5.8664917947682556, -4.555308683570009]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.31, 0.5]",100
100,200,B-alpha-0.02/eval-004,Early,NS,"[-0.047393444188172, -0.019182131551438945]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,B-alpha-0.02/eval-004,Early,RS,"[-0.009851144480166113, -3.859726059999964e-05]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-004,Early,NS,"[-0.022927020823583007, -0.0016009225416928534]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.0]",100
100,100,B-alpha-0.02/eval-004,Early,RS,"[-2.7841618632919563e-05, 2.0209438753226967e-06]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-008,Early,NS,"[-0.2981937426328659, -0.07483638126030569]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.04, -0.005]",100
100,200,B-alpha-0.02/eval-008,Early,PS,"[-6.133302227911773, -4.84195484714082]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.555, 0.72]",100
100,100,B-alpha-0.02/eval-008,Early,RS,"[-8.3780402945776, -6.921925639844325]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.58, 0.76]",100
100,200,B-alpha-0.02/eval-008,Early,NS,"[-0.10166509727010271, -0.04372875096270583]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.0]",100
100,100,B-alpha-0.02/eval-008,Early,RS,"[-0.018993944371439284, 0.0017169619482119724]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-008,Early,NS,"[-0.05145858510583639, -0.0063671950716525354]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,B-alpha-0.02/eval-008,Early,RS,"[-9.215544311700796e-05, 6.605233493246443e-07]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-016,Early,NS,"[-0.5652005272526294, -0.0567478258013728]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.07, -0.015]",100
100,200,B-alpha-0.02/eval-016,Early,PS,"[-7.475367442768089, -6.1148757221217025]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.68, 0.82]",100
100,100,B-alpha-0.02/eval-016,Early,RS,"[-9.665510774760769, -8.20232837758781]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.71, 0.87]",100
100,200,B-alpha-0.02/eval-016,Early,NS,"[-0.1558006226832513, 0.026956775809638112]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,B-alpha-0.02/eval-016,Early,RS,"[-0.025216019133902593, 0.011412819647277502]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-016,Early,NS,"[-0.0890543627552688, -0.013480838537216195]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,B-alpha-0.02/eval-016,Early,RS,"[-0.00016149407768716628, 2.0453041495784363e-05]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-024,Early,NS,"[-0.6374597416184843, -0.01570724897831722]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.09512499999999999, -0.03]",100
100,200,B-alpha-0.02/eval-024,Early,PS,"[-7.718526327284642, -6.388405667213179]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.705, 0.845]",100
100,100,B-alpha-0.02/eval-024,Early,RS,"[-9.898260979149667, -8.436411845369832]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.72, 0.88]",100
100,200,B-alpha-0.02/eval-024,Early,NS,"[-0.18106535684585104, 0.08608243124181167]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.0]",100
100,100,B-alpha-0.02/eval-024,Early,RS,"[-0.027343860274762846, 0.018030916922227334]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-024,Early,NS,"[-0.10543779733404517, -0.01366199311986568]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.02, 0.01]",100
100,100,B-alpha-0.02/eval-024,Early,RS,"[-0.00024180886742396977, 3.586159392580154e-05]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-032,Early,NS,"[-0.6545737314894795, 0.0022053477615115794]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.105, -0.03]",100
100,200,B-alpha-0.02/eval-032,Early,PS,"[-7.890174955699069, -6.547720628569951]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.72, 0.86]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-9.96229086390978, -8.5119729653471]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.72, 0.88]",100
100,200,B-alpha-0.02/eval-032,Early,NS,"[-0.19288880877068731, 0.08779606298659927]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.0]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-0.028448754585253484, 0.021490104953889387]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,B-alpha-0.02/eval-032,Early,NS,"[-0.11204027279652656, -0.012154301222413783]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.02, 0.01]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-0.00029634863763931205, 4.4002071163049544e-05]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,B-alpha-0.02/eval-032,Early,NS,"[-0.7353880171882817, -0.13180391255172]",Current100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.052, -0.011]",100
100,200,B-alpha-0.02/eval-032,Early,PS,"[-7.890174955699069, -6.547720628569951]",Current100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.72, 0.86]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-9.96229086390978, -8.5119729653471]",Current100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.72, 0.88]",100
100,1000,B-alpha-0.02/eval-032,Early,NS,"[-0.19355464121425758, -0.020095522282307564]",Fixed100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.021, 0.0]",100
100,200,B-alpha-0.02/eval-032,Early,PS,"[-0.04619450809555564, -0.008005921855015918]",Fixed100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-0.028448754585253484, 0.021490104953889387]",Fixed100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,B-alpha-0.02/eval-032,Early,NS,"[-0.1139818693723064, -0.04923514215671459]",Past100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.014, 0.006]",100
100,200,B-alpha-0.02/eval-032,Early,PS,"[-0.056670620548124134, -0.023941969174935376]",Past100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,B-alpha-0.02/eval-032,Early,RS,"[-0.00029634863763931205, 4.4002071163049544e-05]",Past100,,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,C-alpha-0.02/eval-004,Early,NS,"[-0.9625055069383234, -0.5477170664314185]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.06, -0.01]",100
100,200,C-alpha-0.02/eval-004,Early,PS,"[-4.558126715440303, -3.5049001757670197]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.345, 0.51]",100
100,100,C-alpha-0.02/eval-004,Early,RS,"[-6.8730100479424, -5.597390451870394]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.41, 0.61]",100
100,200,C-alpha-0.02/eval-004,Early,NS,"[-0.9033452189129312, -0.42347101903555456]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.04, 0.005]",100
100,100,C-alpha-0.02/eval-004,Early,RS,"[-0.035035006431091455, 0.005129984110604707]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,C-alpha-0.02/eval-004,Early,NS,"[-0.9763433440551161, -0.464400674842298]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.015]",100
100,100,C-alpha-0.02/eval-004,Early,RS,"[0.0003970474401639876, 0.001385999279143106]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,C-alpha-0.02/eval-008,Early,NS,"[-1.5531157201826573, -0.9082139502242208]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.12, -0.03]",100
100,200,C-alpha-0.02/eval-008,Early,PS,"[-6.898012579433562, -5.689292220991855]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.6, 0.76]",100
100,100,C-alpha-0.02/eval-008,Early,RS,"[-9.26119950513594, -7.83952577755606]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.69, 0.85]",100
100,200,C-alpha-0.02/eval-008,Early,NS,"[-1.1767492088141442, -0.6448321286711872]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035124999999999997, 0.025]",100
100,100,C-alpha-0.02/eval-008,Early,RS,"[-0.029508204817786467, 0.015387252960605106]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.03, 0.0]",100
100,200,C-alpha-0.02/eval-008,Early,NS,"[-1.3939563487675042, -0.7998160377331078]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.045, 0.02]",100
100,100,C-alpha-0.02/eval-008,Early,RS,"[0.0018343679082099696, 0.009156749286576085]",Past100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,C-alpha-0.02/eval-016,Early,NS,"[-1.9234739553143736, -0.9611919308942742]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.17, -0.05]",100
100,200,C-alpha-0.02/eval-016,Early,PS,"[-7.966808473587537, -6.615681687355666]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.695, 0.835]",100
100,100,C-alpha-0.02/eval-016,Early,RS,"[-10.075532266655584, -8.603051489617865]",Current100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.73975, 0.89]",100
100,200,C-alpha-0.02/eval-016,Early,NS,"[-1.3177370818282361, -0.5426648436079278]",Fixed100,,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.08, 0.0]",100
