W0_restored,entry,evaluation_sha,job,path,process_total_reference,runtime_sha,scope,source_head,status,terminal_sha,unit
True,Early,,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,63e8aa8357278d5c1063122ff60e1e5e888843d9a8c968ecd388e6c47e599353,PROCESS,c2a74d949856e17bf2f49c36e69a98c94661c17c,TERMINAL_VALID,1b2cbcefa68b3391d084b0b6ac48fc18ab5788de3b26b6fc66cb9248a810f1b4,native
,Early,c40283067f2704b2354378ec95b070bbc1df8ad446aa7f70b0f70cb5a780c353,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/N-full.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,N-full
,Early,3bd851cb3d6040f7eee1758674636724d1367b7c6e35445198e24d73f3da1456,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/native-scale-0.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.25-curve
,Early,4760b9fd77785ebd0c1e718f0383307f5dbfb16f3cdb0691ecbfda16460b8743,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/native-scale-0.5-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.5-curve
,Early,49a1a77d7a618f2e0d9a54381dbb6d1eb0307e8f4b20ba025a375763e6631baf,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/native-scale-0.75-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.75-curve
,Early,bac53d531345d3de1d8a7c43fde98a921224873511e14f11a0637552a7281439,43196,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4/native-scale-1.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-1.25-curve
True,Early,,43236,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Early/run-v1,,6025f4238b005f735810cac30c939c34d260580b20679b9b845c3ede6ee7ee4b,PROCESS,bb1c5536d7b53a9b65028ef31119492d95d24947,TERMINAL_VALID,4c21b6a94f4772f54621ca2aec92247f7c4b82ecc0f551d7d62e69bf3d4b6404,B
True,Late,,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,bc0310ab802c3eeb1909673b97227777397a7aad43387897e09217fb368f88dd,PROCESS,c2a74d949856e17bf2f49c36e69a98c94661c17c,TERMINAL_VALID,9dc840c88f2d2e139d6019309daa6dab235e2b130e0f560c2123654a71d5e0b1,native
,Late,213ac708bdfff21388e9fc2565509591579ae7b1ecceb2a7c2045ce0678c15b2,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/N-full.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,N-full
,Late,1499ef8064e08c6e41d87467b01afb97436c8da96ee5524920cd8ae86e17ad94,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-0.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.25-curve
,Late,70a204ed232368699e8962a97dac116d358ebd289de5b3baced4586dcf085426,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-0.5-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.5-curve
,Late,90aa10374bc22089bf05f63d07bf59ad4763d049dcc313f7557963f38e66706c,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-0.75-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-0.75-curve
,Late,f0a20a7d6543ebdcb5806ea9dfacc887b86d85e0ddbe3a20fe5b30b2bbebacfe,43198,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4/native-scale-1.25-curve.json,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,,NATIVE_OR_SCALING_ENDPOINT,c2a74d949856e17bf2f49c36e69a98c94661c17c,MEASURED,,native-scale-1.25-curve
True,Late,,43247,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Late/run-v1,,76478d85bc143d66c8c8c0ce592a2ea2a56b0b38d34c1ab55138b6477d3a5278,PROCESS,bb1c5536d7b53a9b65028ef31119492d95d24947,TERMINAL_VALID,043b290c9c7dbe50106eb5fd51fad103f8e93c1cc78cce03c6cefe961cc1e34f,B
