cluster_count,denominator,endpoint,entry,metric,new_nll_delta_ci95,panel,reference,repetitions,resolution,scope,success_delta_ci95,unique_requests
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[-0.7218176653943956, -0.08453476916253605]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.07, -0.005]",100
100,200,COVminus-amplitude-0.03/eval,Early,PS,"[-8.085420714166096, -6.753572883851674]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.745, 0.875]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[-10.118346084525042, -8.632466078788749]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.73975, 0.89]",100
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[-0.16197332787379853, 0.13538731948652968]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[-0.03034433610889755, 0.001991649412255355]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[-0.21559919315390288, 0.03662419539503753]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.03, 0.015]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[-0.00010140094442249392, 0.00021072919760081274]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[0.00537122568488121, 0.045339825108647334]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.035]",100
100,200,COVminus-amplitude-0.03/eval,Early,PS,"[0.006850564603235398, 0.023570697494978952]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[8.582367712187988e-05, 0.00014110384019659248]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[0.03983961846504826, 0.08422721124649975]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[-0.003775746950985194, 0.0009835800689415913]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.03/eval,Early,NS,"[0.03198512639850378, 0.06642342170327901]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,COVminus-amplitude-0.03/eval,Early,RS,"[6.614391986295232e-05, 0.00014485152004453994]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[-0.6439535048902034, -0.03422293934226087]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.075, -0.01]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[-8.044773591820238, -6.713207650568802]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.735, 0.865]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-10.117996258939254, -8.632091291489475]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.73975, 0.89]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[-0.032146588859846816, 0.2717874045483768]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.015]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-0.03724731657104166, 0.0068199366239350585]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[-0.09510760661959648, 0.14966872489452346]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.005]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.000312622427448332, 0.0006467364846321288]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[0.023286632605828344, 0.15630974649079143]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.025]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.02900456855398079, 0.08451780505455825]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.00039727094675254195, 0.0006576774538079916]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[0.12868065278278665, 0.2779774587872088]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.025]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-0.010976559070981239, 0.00626210203339724]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.1/eval,Early,NS,"[0.10270648743212224, 0.22081397259235383]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.0003689177391970589, 0.0006640341863530919]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[-0.667473263422586, -0.15062611214077337]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.031, 0.006]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[-8.044773591820238, -6.713207650568802]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.735, 0.865]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-10.117996258939254, -8.632091291489475]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.73975, 0.89]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[-0.08688819009731524, 0.12081851535746826]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.007, 0.011]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.11422730689072341, 0.21146089057172138]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-0.03724731657104166, 0.0068199366239350585]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[-0.042679027401935306, 0.10704098903704432]",Past100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.008, 0.014]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.03851972190325796, 0.094796619925095]",Past100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.000312622427448332, 0.0006467364846321288]",Past100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[0.041483087893936316, 0.13312921734612893]",Current100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.002, 0.017]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.02900456855398079, 0.08451780505455825]",Current100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.025, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.00039727094675254195, 0.0006576774538079916]",Current100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[0.1333392373511102, 0.24820860318957128]",Fixed100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.005, 0.02]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.11560450007658801, 0.2099461260568132]",Fixed100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.04, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[-0.010976559070981239, 0.00626210203339724]",Fixed100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,COVminus-amplitude-0.1/eval,Early,NS,"[0.11036060552268755, 0.19574325055018996]",Past100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.002, 0.017]",100
100,200,COVminus-amplitude-0.1/eval,Early,PS,"[0.05681739997884051, 0.11196423232640514]",Past100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,COVminus-amplitude-0.1/eval,Early,RS,"[0.0003689177391970589, 0.0006640341863530919]",Past100,N,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.3/eval,Early,NS,"[-0.3571493834629655, 0.23118725132942194]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.04, 0.035]",100
100,200,COVminus-amplitude-0.3/eval,Early,PS,"[-7.836950962336574, -6.504784150238492]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.725, 0.855]",100
100,100,COVminus-amplitude-0.3/eval,Early,RS,"[-10.114009586045922, -8.628322710537464]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.73975, 0.89]",100
100,200,COVminus-amplitude-0.3/eval,Early,NS,"[0.2793196424241178, 0.6867411985447396]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.01, 0.025]",100
100,100,COVminus-amplitude-0.3/eval,Early,RS,"[-0.023909622247378137, 0.07765906263861323]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.3/eval,Early,NS,"[0.17744037633016707, 0.5286291977334767]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.005, 0.06]",100
100,100,COVminus-amplitude-0.3/eval,Early,RS,"[0.004504940532134242, 0.011334747542699914]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.3/eval,Early,NS,"[0.16514366547018292, 0.5431742817908524]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.015, 0.08]",100
100,200,COVminus-amplitude-0.3/eval,Early,PS,"[0.15855315117269492, 0.3537995530915868]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.04, -0.005]",100
100,100,COVminus-amplitude-0.3/eval,Early,RS,"[0.0035446064268071496, 0.006577185764374008]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,COVminus-amplitude-0.3/eval,Early,NS,"[0.3862187651139684, 0.7721061979536897]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.035]",100
100,100,COVminus-amplitude-0.3/eval,Early,RS,"[-0.005901782443159391, 0.08169837452902533]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
