cluster_count,denominator,endpoint,entry,metric,new_nll_delta_ci95,panel,reference,repetitions,resolution,scope,success_delta_ci95,unique_requests
100,200,Continue/eval-002,Middle,NS,"[-0.3136550279520452, -0.014413060128688813]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.01]",100
100,200,Continue/eval-002,Middle,PS,"[-8.111207804742685, -6.825273318298169]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.635, 0.795]",100
100,100,Continue/eval-002,Middle,RS,"[-9.525188488560618, -8.053472922573631]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.61, 0.79]",100
100,200,Continue/eval-002,Middle,NS,"[-0.07746313557308168, 0.039757538276724506]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.015]",100
100,100,Continue/eval-002,Middle,RS,"[-0.004666700825669978, 0.043098492732922725]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-002,Middle,NS,"[-0.11137385956011712, 0.005415100679965619]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.01, 0.02]",100
100,100,Continue/eval-002,Middle,RS,"[-0.0014106385051491088, 0.02449605855108711]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-002,Middle,NS,"[-0.010077587552368641, 0.0016242675855755804]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-002,Middle,PS,"[-0.030632510555209592, -0.0030362496377638343]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-002,Middle,RS,"[-0.03288572355548695, -0.00021355037211105823]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-002,Middle,NS,"[0.0003088801186531782, 0.0063134106416255185]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-002,Middle,RS,"[-0.002971828163423197, 0.002370819486135587]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-002,Middle,NS,"[-0.0012905768216296563, 0.001982323740390711]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-002,Middle,RS,"[-0.0005848344377263857, -7.905781978479354e-05]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,NS,"[-0.32155182293429974, -0.01626555170118816]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.01]",100
100,200,Continue/eval-004,Middle,PS,"[-8.127131511576183, -6.83595644823213]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.635, 0.795]",100
100,100,Continue/eval-004,Middle,RS,"[-9.531864144367814, -8.057383123883037]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.61, 0.79]",100
100,200,Continue/eval-004,Middle,NS,"[-0.06929876965191216, 0.04559692007210103]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.015]",100
100,100,Continue/eval-004,Middle,RS,"[-0.006079842613806249, 0.04310926016594747]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,NS,"[-0.11055756398341327, 0.005968440289303538]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.01, 0.02]",100
100,100,Continue/eval-004,Middle,RS,"[-0.0016421306444244692, 0.023589771359980655]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,NS,"[-0.021172846712172032, 0.0037074980065226523]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,PS,"[-0.059955778090377866, -0.008251692481630032]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-004,Middle,RS,"[-0.047825456988300624, -0.00035822175361226996]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,NS,"[0.0017908350061625242, 0.018820625518448646]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-004,Middle,RS,"[-0.0058356526624047545, 0.004766934675546505]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-004,Middle,NS,"[-0.0036372422985732557, 0.0049097583506663755]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-004,Middle,RS,"[-0.0015454343184283063, -0.0001895109378019698]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-008,Middle,NS,"[-0.3355952979233116, -0.016051779972389355]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.035, 0.01]",100
100,200,Continue/eval-008,Middle,PS,"[-8.159478458063015, -6.868423810517737]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.635, 0.795]",100
100,100,Continue/eval-008,Middle,RS,"[-9.53660946898122, -8.059276206988192]",Current100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.61, 0.79]",100
100,200,Continue/eval-008,Middle,NS,"[-0.05239829572290182, 0.06109315131604671]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.015, 0.015]",100
100,100,Continue/eval-008,Middle,RS,"[-0.007370623233218794, 0.04499700067707454]",Fixed100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.03, 0.0]",100
100,200,Continue/eval-008,Middle,NS,"[-0.11065749922522809, 0.006762863303069002]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.01, 0.02]",100
100,100,Continue/eval-008,Middle,RS,"[-0.002069038561836351, 0.02152902316588188]",Past100,ENTRY,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-008,Middle,NS,"[-0.03752205226197839, 0.007675006641074999]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-008,Middle,PS,"[-0.10930407233644655, -0.018295638845986128]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-008,Middle,RS,"[-0.06048946245778279, -0.0005878074609722732]",Current100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,200,Continue/eval-008,Middle,NS,"[0.005682909878902138, 0.046718095226678996]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-008,Middle,RS,"[-0.00965996515520601, 0.009002437897692284]",Fixed100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.03, 0.0]",100
100,200,Continue/eval-008,Middle,NS,"[-0.008407490138662979, 0.011345210961648262]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,100,Continue/eval-008,Middle,RS,"[-0.0036800161941955593, -0.0003726489581931674]",Past100,N,2000,curve,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.0]",100
100,1000,Continue/eval-008,Middle,NS,"[-0.28897741540065036, -0.054920882419822764]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.032, 0.0]",100
100,200,Continue/eval-008,Middle,PS,"[-8.159478458063015, -6.868423810517737]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.635, 0.795]",100
100,100,Continue/eval-008,Middle,RS,"[-9.53660946898122, -8.059276206988192]",Current100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.61, 0.79]",100
100,1000,Continue/eval-008,Middle,NS,"[-0.04027099952269345, 0.028301188605278724]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.006, 0.014]",100
100,200,Continue/eval-008,Middle,PS,"[-0.06701882745033072, -0.01090304879144974]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.015]",100
100,100,Continue/eval-008,Middle,RS,"[-0.007370623233218794, 0.04499700067707454]",Fixed100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.03, 0.0]",100
100,1000,Continue/eval-008,Middle,NS,"[-0.05861792576336302, 0.010900801933999166]",Past100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[-0.009, 0.011]",100
100,200,Continue/eval-008,Middle,PS,"[-0.027597369262941356, 0.016375920100945213]",Past100,ENTRY,2000,full,panel sampling variability; not edit-order or optimizer-seed variability,"[0.0, 0.015]",100
