AllocTRES,ElapsedRaw,End,ExitCode,JobID,JobName,Start,State,User,allocated_gpu_hours,allocated_gpu_seconds,entry,gpu_count,output,scope,source_head,stage
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",789,2026-09-10T02:52:07,0:0,43145,odeedit_cumrisk_A_s1,2026-09-10T02:38:58,COMPLETED,janghj,0.21916666666666668,789,Middle,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/native-r1,CANONICAL_EXECUTION,cc09402831238549d23884b4026de0b2b15e3e52,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",5181,2026-09-10T04:08:58,0:0,43149,odeedit_cumrisk_A_s1,2026-09-10T02:42:37,COMPLETED,janghj,1.4391666666666667,5181,Middle,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-B-r1,CANONICAL_EXECUTION,cc09402831238549d23884b4026de0b2b15e3e52,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",5166,2026-09-10T04:28:56,0:0,43165,odeedit_cumrisk_A_s1,2026-09-10T03:02:50,COMPLETED,janghj,1.435,5166,Middle,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Middle/direct-C-r2,CANONICAL_EXECUTION,fcd42af37efe1193aa1d2d85a4e66ccbd35ba9c6,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1167,2026-09-10T04:52:50,0:0,43196,odeedit_cumrisk_A_EarlyN_s1,2026-09-10T04:33:23,COMPLETED,janghj,0.32416666666666666,1167,Early,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/native-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",980,2026-09-10T04:49:43,0:0,43198,odeedit_cumrisk_A_LateN_s1,2026-09-10T04:33:23,COMPLETED,janghj,0.2722222222222222,980,Late,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/native-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1792,2026-09-10T05:25:51,0:0,43206,odeedit_cumrisk_A_LateB_s1,2026-09-10T04:55:59,COMPLETED,janghj,0.49777777777777776,1792,Late,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/direct-B-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1797,2026-09-10T05:28:08,0:0,43207,odeedit_cumrisk_A_EarlyB_s1,2026-09-10T04:58:11,COMPLETED,janghj,0.49916666666666665,1797,Early,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/direct-B-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1812,2026-09-10T06:00:05,0:0,43217,odeedit_cumrisk_A_LateC_s1,2026-09-10T05:29:53,COMPLETED,janghj,0.5033333333333333,1812,Late,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Late/direct-C-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1810,2026-09-10T06:00:47,0:0,43218,odeedit_cumrisk_A_EarlyC_s1,2026-09-10T05:30:37,COMPLETED,janghj,0.5027777777777778,1810,Early,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/A/Early/direct-C-r4,CANONICAL_EXECUTION,c2a74d949856e17bf2f49c36e69a98c94661c17c,A
"billing=8,cpu=8,gres/gpu=1,mem=178G,node=1",1761,2026-09-10T06:39:25,0:0,43235,odeedit_cumrisk_B_Middle_s1,2026-09-10T06:10:04,COMPLETED,janghj,0.4891666666666667,1761,Middle,1,/mnt/raid5/janghj/.codex/worktrees/odeeditsh1-single-layer-cumulative-risk-abc-v1/local/single-layer-cumulative-risk-abc/20260910-v1/B/Middle/run-v1,CANONICAL_EXECUTION,bb1c5536d7b53a9b65028ef31119492d95d24947,B
