W_sha256,alias,arm,batch,checkpoint,commit_compute,compute_z,endpoint_evaluation_seconds,full_batch,history,inner_virtual_euler_nodes,main_jvp_count,peak_gpu_bytes,peak_host_rss_kib,persistent_commit_count,seen,source_endpoint_physical_write_count,write_including_endpoint
0e16389b192ed67933c7bbac6e00cee570b9900836a3850b0b5c647d9b3b67c5,llama3-8b-inst,O_NATIVE,1,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 29.426532986108214}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 35.011385838035494}","{""backward"": 2400, ""forward"": 2500, ""forward_input_tokens"": 321475, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 757.6299108490348}",79.98126713605598,"{""backward"": 2400, ""forward"": 2734, ""forward_input_tokens"": 553867, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.570152670610696, ""native_keys"": 10, ""native_keys_seconds"": 136.39965354511514, ""wall"": 1115.5621087639593}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 79.98126713605598, ""gross_seconds"": 176.90337604982778, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 96.92210891377181, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33610480,1,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 0.03851430397480726}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 230092, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.570152670610696, ""native_keys"": 10, ""native_keys_seconds"": 136.39965354511514, ""wall"": 261.2959329839796}"
50f5273d30913e8ca5eb613b9335fb72bb417ffd820673799e209a043bb92c8b,llama3-8b-inst,O_NATIVE,2,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 1.1200085282325745e-05}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 39.016459045000374}","{""backward"": 2385, ""forward"": 2485, ""forward_input_tokens"": 328692, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 797.3189243529923}",78.40567459631711,"{""backward"": 2385, ""forward"": 2733, ""forward_input_tokens"": 533860, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5487722209654748, ""native_keys"": 10, ""native_keys_seconds"": 119.6239361683838, ""wall"": 1105.565436246805}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 78.40567459631711, ""gross_seconds"": 165.49393719388172, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 87.08826259756461, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33610480,1,"{""backward"": 0, ""forward"": 14, ""forward_input_tokens"": 3072, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 3.4754956206306815}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 200696, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5487722209654748, ""native_keys"": 10, ""native_keys_seconds"": 119.6239361683838, ""wall"": 237.72365859895945}"
062810781662927457e8d745d6ea0b37011e801576c221118ec1585d906d3f62,llama3-8b-inst,O_NATIVE,3,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 1.2230128049850464e-05}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 37.42635213956237}","{""backward"": 2347, ""forward"": 2447, ""forward_input_tokens"": 315672, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 761.6319790938869}",78.64073170162737,"{""backward"": 2347, ""forward"": 2707, ""forward_input_tokens"": 523288, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5411722180433571, ""native_keys"": 10, ""native_keys_seconds"": 118.98841370036826, ""wall"": 1074.0730093400925}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 78.64073170162737, ""gross_seconds"": 165.83182343607768, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 87.19109173445031, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33610480,1,"{""backward"": 0, ""forward"": 26, ""forward_input_tokens"": 5584, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 6.288672504015267}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 200532, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5411722180433571, ""native_keys"": 10, ""native_keys_seconds"": 118.98841370036826, ""wall"": 238.2816991941072}"
aa28336cbb12fe67b0782308e6a2438801fa85b4594f024d2c486af12257b9cd,llama3-8b-inst,O_NATIVE,4,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 1.605972647666931e-05}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 36.24328754795715}","{""backward"": 2295, ""forward"": 2395, ""forward_input_tokens"": 312172, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 764.7186492481269}",79.72615789435804,"{""backward"": 2295, ""forward"": 2667, ""forward_input_tokens"": 525740, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.544137238059193, ""native_keys"": 10, ""native_keys_seconds"": 120.19074289966375, ""wall"": 1076.635936297942}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 79.72615789435804, ""gross_seconds"": 166.7308540623635, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 87.00469616800547, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33610480,1,"{""backward"": 0, ""forward"": 38, ""forward_input_tokens"": 8128, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 9.055376960895956}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 203940, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.544137238059193, ""native_keys"": 10, ""native_keys_seconds"": 120.19074289966375, ""wall"": 239.66906319139525}"
d5242c7018dd9fe2ce83be9d079eda59a476b97aba652ba93c0c0602155d544e,llama3-8b-inst,O_NATIVE,5,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 33.04681193130091}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 35.64889923669398}","{""backward"": 2122, ""forward"": 2222, ""forward_input_tokens"": 286811, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 693.8849970228039}",78.35260674962774,"{""backward"": 2122, ""forward"": 3106, ""forward_input_tokens"": 657467, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5452868966385722, ""native_keys"": 10, ""native_keys_seconds"": 120.88070767419413, ""wall"": 1211.0546834408306}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 78.35260674962774, ""gross_seconds"": 165.70322069572285, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 87.35061394609511, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33637884,1,"{""backward"": 0, ""forward"": 650, ""forward_input_tokens"": 166624, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 181.6861521890387}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 202532, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5452868966385722, ""native_keys"": 10, ""native_keys_seconds"": 120.88070767419413, ""wall"": 239.01441122498363}"
62e29d95f2a31a7576b91438d892f995984c044a6fbbb686d62ffa3352be470f,llama3-8b-inst,O_NATIVE,6,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 7.2303228080272675e-06}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 35.46256945002824}","{""backward"": 2002, ""forward"": 2102, ""forward_input_tokens"": 275401, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 670.0439107711427}",80.38734574988484,"{""backward"": 2002, ""forward"": 2400, ""forward_input_tokens"": 498385, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5406741346232593, ""native_keys"": 10, ""native_keys_seconds"": 123.67096523707733, ""wall"": 992.818006505724}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 80.38734574988484, ""gross_seconds"": 169.40672780759633, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 89.01938205771148, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33637884,1,"{""backward"": 0, ""forward"": 64, ""forward_input_tokens"": 13424, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 15.07027880800888}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 208060, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5406741346232593, ""native_keys"": 10, ""native_keys_seconds"": 123.67096523707733, ""wall"": 244.1150596649386}"
d86726fa9e76a72478a43ffd00bc29ab216896e5791f5495941f2061b7e492b3,llama3-8b-inst,O_NATIVE,7,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 5.529727786779404e-06}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 35.01917287008837}","{""backward"": 2016, ""forward"": 2116, ""forward_input_tokens"": 279671, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 665.3894458971918}",80.3776168548502,"{""backward"": 2016, ""forward"": 2426, ""forward_input_tokens"": 504759, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.547774733044207, ""native_keys"": 10, ""native_keys_seconds"": 122.89745143568143, ""wall"": 990.7036784812808}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 80.3776168548502, ""gross_seconds"": 169.68754746532068, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 89.30993061047047, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33637884,1,"{""backward"": 0, ""forward"": 76, ""forward_input_tokens"": 16128, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 18.0653453390114}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 207460, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.547774733044207, ""native_keys"": 10, ""native_keys_seconds"": 122.89745143568143, ""wall"": 244.2428574329242}"
8eabbb79351d28f8b7eefb9c18b8b4d02af222a9de258c3e56614ed20a5a8e95,llama3-8b-inst,O_NATIVE,8,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 9.940005838871002e-06}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 35.31435362063348}","{""backward"": 1888, ""forward"": 1988, ""forward_input_tokens"": 261576, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 634.9181124959141}",80.26757327606902,"{""backward"": 1888, ""forward"": 2310, ""forward_input_tokens"": 493400, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5454900697804987, ""native_keys"": 10, ""native_keys_seconds"": 125.28364691929892, ""wall"": 966.9415978342295}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 80.26757327606902, ""gross_seconds"": 170.16145819285884, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 89.89388491678983, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,39115080192,33637884,1,"{""backward"": 0, ""forward"": 88, ""forward_input_tokens"": 18800, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 21.341757739894092}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 211224, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 1.5454900697804987, ""native_keys"": 10, ""native_keys_seconds"": 125.28364691929892, ""wall"": 247.17914036707953}"
a333a8a24df3995c1adcf642c72a627225b2ef283d8b13fe4a64ba6fa069af86,qwen2.5-7b-inst,O_NATIVE,1,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 54.306338055990636}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 62.10261054337025}","{""backward"": 1239, ""forward"": 1339, ""forward_input_tokens"": 170247, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 362.57600888004526}",95.68559327814728,"{""backward"": 1239, ""forward"": 1573, ""forward_input_tokens"": 405031, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 2.5704992287792265, ""native_keys"": 10, ""native_keys_seconds"": 130.80020274361596, ""wall"": 810.8231639331207}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 95.68559327814728, ""gross_seconds"": 193.77330340910703, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 98.08771013095975, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,40947317248,55164108,1,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 0.03718696581199765}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 232584, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 2.5704992287792265, ""native_keys"": 10, ""native_keys_seconds"": 130.80020274361596, ""wall"": 279.39990990702063}"
017a93f6593761cb7881a4808074d8f19fb8eac81010bbf08ddd56b39d76821e,qwen2.5-7b-inst,O_NATIVE,2,"{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 1.1409632861614227e-05}","{""backward"": 0, ""forward"": 0, ""forward_input_tokens"": 0, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 62.6513721588999}","{""backward"": 1174, ""forward"": 1274, ""forward_input_tokens"": 166019, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 369.238048216328}",92.03372714482248,"{""backward"": 1174, ""forward"": 1522, ""forward_input_tokens"": 368867, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 2.546740169636905, ""native_keys"": 10, ""native_keys_seconds"": 112.06295342789963, ""wall"": 732.1927490499802}","{""controller_influence_count"": 0, ""excluded_endpoint_seconds"": 92.03372714482248, ""gross_seconds"": 177.52758177090436, ""scope"": ""first actual post-key capture through transaction return; includes native tail/snapshot/restore, measured endpoint evaluator excluded for O"", ""seconds"": 85.49385462608188, ""strict_append_only_seconds"": ""NOT_SEPARATELY_ISOLATED""}",0,0,40953551360,55164108,1,"{""backward"": 0, ""forward"": 14, ""forward_input_tokens"": 2968, ""history_key_captures"": 0, ""linalg_solve"": 0, ""linalg_solve_seconds"": 0.0, ""native_keys"": 0, ""native_keys_seconds"": 0.0, ""wall"": 3.2062880522571504}",1,"{""backward"": 0, ""forward"": 233, ""forward_input_tokens"": 198580, ""history_key_captures"": 5, ""linalg_solve"": 5, ""linalg_solve_seconds"": 2.546740169636905, ""native_keys"": 10, ""native_keys_seconds"": 112.06295342789963, ""wall"": 250.3631379492581}"
