alias,batch,causal_claim,denominator,kind,left,left_failure_right_success,left_num,left_success_right_failure,margin_right_minus_left_mean,right,right_minus_left_count,right_minus_left_rate,right_num,shared_W_M_after_first_batch,shared_sample
llama3-8b-inst,1,END_TO_END_CHAIN_COMPARISON,100,rewrite,O_NATIVE,0,100,0,-0.5599519648436035,JV_NATIVE,0,0.0,100,False,True
llama3-8b-inst,1,END_TO_END_CHAIN_COMPARISON,200,rephrase,O_NATIVE,1,185,9,-1.4345064724361873,JV_NATIVE,-8,-0.04,177,False,True
llama3-8b-inst,1,END_TO_END_CHAIN_COMPARISON,1000,locality,O_NATIVE,6,869,17,-0.2992894571452052,JV_NATIVE,-11,-0.011,858,False,True
llama3-8b-inst,5,END_TO_END_CHAIN_COMPARISON,500,rewrite,O_NATIVE,0,500,1,-0.8942850996255238,JV_NATIVE,-1,-0.002,499,False,True
llama3-8b-inst,5,END_TO_END_CHAIN_COMPARISON,1000,rephrase,O_NATIVE,14,942,54,-1.3308134572516355,JV_NATIVE,-40,-0.04,902,False,True
llama3-8b-inst,5,END_TO_END_CHAIN_COMPARISON,5000,locality,O_NATIVE,176,4100,367,-0.684068863962809,JV_NATIVE,-191,-0.0382,3909,False,True
llama3-8b-inst,10,END_TO_END_CHAIN_COMPARISON,1000,rewrite,O_NATIVE,0,1000,77,-2.581338299997385,JV_NATIVE,-77,-0.077,923,False,True
llama3-8b-inst,10,END_TO_END_CHAIN_COMPARISON,2000,rephrase,O_NATIVE,25,1910,245,-2.714445551613191,JV_NATIVE,-220,-0.11,1690,False,True
llama3-8b-inst,10,END_TO_END_CHAIN_COMPARISON,10000,locality,O_NATIVE,661,7584,986,-0.515454846563456,JV_NATIVE,-325,-0.0325,7259,False,True
qwen2.5-7b-inst,1,END_TO_END_CHAIN_COMPARISON,100,rewrite,O_NATIVE,1,99,0,0.19653212547491422,JV_NATIVE,1,0.01,100,False,True
qwen2.5-7b-inst,1,END_TO_END_CHAIN_COMPARISON,200,rephrase,O_NATIVE,0,195,2,-0.26970061555111896,JV_NATIVE,-2,-0.01,193,False,True
qwen2.5-7b-inst,1,END_TO_END_CHAIN_COMPARISON,1000,locality,O_NATIVE,16,849,32,-0.3354615841396153,JV_NATIVE,-16,-0.016,833,False,True
qwen2.5-7b-inst,5,END_TO_END_CHAIN_COMPARISON,500,rewrite,O_NATIVE,3,496,0,-0.02271291248260968,JV_NATIVE,3,0.006,499,False,True
qwen2.5-7b-inst,5,END_TO_END_CHAIN_COMPARISON,1000,rephrase,O_NATIVE,18,969,20,-0.5030840185093403,JV_NATIVE,-2,-0.002,967,False,True
qwen2.5-7b-inst,5,END_TO_END_CHAIN_COMPARISON,5000,locality,O_NATIVE,481,3716,290,0.4625973860158003,JV_NATIVE,191,0.0382,3907,False,True
qwen2.5-7b-inst,10,END_TO_END_CHAIN_COMPARISON,1000,rewrite,O_NATIVE,7,992,2,-0.16930311124254513,JV_NATIVE,5,0.005,997,False,True
qwen2.5-7b-inst,10,END_TO_END_CHAIN_COMPARISON,2000,rephrase,O_NATIVE,91,1887,84,0.004625097959986306,JV_NATIVE,7,0.0035,1894,False,True
qwen2.5-7b-inst,10,END_TO_END_CHAIN_COMPARISON,10000,locality,O_NATIVE,1289,6978,890,0.516994113676883,JV_NATIVE,399,0.0399,7377,False,True
