state,family,variant,edits,task,branch,label,support,predicted,tp,fp,fn,f1
W0,W0,W0,0,sst2,generation,-1,0,25,0,25,0,0.0
W0,W0,W0,0,sst2,generation,0,50,43,41,2,9,0.8817204301075269
W0,W0,W0,0,sst2,generation,1,50,32,32,0,18,0.7804878048780488
W0,W0,W0,0,sst2,alternative,0,50,52,50,2,0,0.9803921568627451
W0,W0,W0,0,sst2,alternative,1,50,48,48,0,2,0.9795918367346939
W0,W0,W0,0,mrpc,generation,0,50,31,24,7,26,0.5925925925925926
W0,W0,W0,0,mrpc,generation,1,50,69,43,26,7,0.7226890756302521
W0,W0,W0,0,mrpc,alternative,0,50,31,24,7,26,0.5925925925925926
W0,W0,W0,0,mrpc,alternative,1,50,69,43,26,7,0.7226890756302521
W0,W0,W0,0,cola,generation,-1,0,1,0,1,0,0.0
W0,W0,W0,0,cola,generation,0,50,62,44,18,6,0.7857142857142857
W0,W0,W0,0,cola,generation,1,50,37,32,5,18,0.735632183908046
W0,W0,W0,0,cola,alternative,0,50,68,46,22,4,0.7796610169491526
W0,W0,W0,0,cola,alternative,1,50,32,28,4,22,0.6829268292682927
W0,W0,W0,0,rte,generation,0,50,78,47,31,3,0.734375
W0,W0,W0,0,rte,generation,1,50,22,19,3,31,0.5277777777777778
W0,W0,W0,0,rte,alternative,0,50,78,47,31,3,0.734375
W0,W0,W0,0,rte,alternative,1,50,22,19,3,31,0.5277777777777778
W0,W0,W0,0,mmlu,generation,-1,0,15,0,15,0,0.0
W0,W0,W0,0,mmlu,generation,0,25,16,9,7,16,0.43902439024390244
W0,W0,W0,0,mmlu,generation,1,25,21,17,4,8,0.7391304347826086
W0,W0,W0,0,mmlu,generation,2,25,31,14,17,11,0.5
W0,W0,W0,0,mmlu,generation,3,25,17,12,5,13,0.5714285714285714
W0,W0,W0,0,mmlu,alternative,0,25,20,10,10,15,0.4444444444444444
W0,W0,W0,0,mmlu,alternative,1,25,24,19,5,6,0.7755102040816326
W0,W0,W0,0,mmlu,alternative,2,25,36,17,19,8,0.5573770491803278
W0,W0,W0,0,mmlu,alternative,3,25,20,15,5,10,0.6666666666666666
W0,W0,W0,0,nli,generation,0,50,39,28,11,22,0.6292134831460674
W0,W0,W0,0,nli,generation,1,50,61,39,22,11,0.7027027027027027
W0,W0,W0,0,nli,alternative,0,50,39,28,11,22,0.6292134831460674
W0,W0,W0,0,nli,alternative,1,50,61,39,22,11,0.7027027027027027
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,generation,-1,0,26,0,26,0,0.0
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,generation,0,50,42,40,2,10,0.8695652173913043
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,generation,1,50,32,32,0,18,0.7804878048780488
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,alternative,0,50,52,50,2,0,0.9803921568627451
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,sst2,alternative,1,50,48,48,0,2,0.9795918367346939
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,generation,0,50,29,24,5,26,0.6075949367088608
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,generation,1,50,71,45,26,5,0.743801652892562
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,alternative,0,50,29,24,5,26,0.6075949367088608
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mrpc,alternative,1,50,71,45,26,5,0.743801652892562
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,generation,-1,0,1,0,1,0,0.0
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,generation,0,50,63,45,18,5,0.7964601769911505
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,generation,1,50,36,32,4,18,0.7441860465116279
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,alternative,0,50,70,46,24,4,0.7666666666666667
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,cola,alternative,1,50,30,26,4,24,0.65
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,generation,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,generation,1,50,20,17,3,33,0.4857142857142857
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,alternative,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,rte,alternative,1,50,20,17,3,33,0.4857142857142857
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,-1,0,12,0,12,0,0.0
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,0,25,21,11,10,14,0.4782608695652174
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,1,25,19,16,3,9,0.7272727272727273
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,2,25,31,14,17,11,0.5
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,generation,3,25,17,12,5,13,0.5714285714285714
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,alternative,0,25,22,12,10,13,0.5106382978723404
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,alternative,1,25,22,18,4,7,0.7659574468085106
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,alternative,2,25,36,17,19,8,0.5573770491803278
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,mmlu,alternative,3,25,20,15,5,10,0.6666666666666666
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,generation,0,50,40,28,12,22,0.6222222222222222
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,generation,1,50,60,38,22,12,0.6909090909090909
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,alternative,0,50,39,28,11,22,0.6292134831460674
AlphaEdit_L4_ONLY-edits00100,AlphaEdit,L4_ONLY,100,nli,alternative,1,50,61,39,22,11,0.7027027027027027
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,generation,-1,0,20,0,20,0,0.0
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,generation,0,50,43,40,3,10,0.8602150537634409
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,generation,1,50,37,37,0,13,0.8505747126436781
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,alternative,0,50,52,50,2,0,0.9803921568627451
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,sst2,alternative,1,50,48,48,0,2,0.9795918367346939
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,generation,0,50,26,21,5,29,0.5526315789473685
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,generation,1,50,74,45,29,5,0.7258064516129032
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,alternative,0,50,26,21,5,29,0.5526315789473685
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,mrpc,alternative,1,50,74,45,29,5,0.7258064516129032
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,generation,-1,0,1,0,1,0,0.0
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,generation,0,50,63,43,20,7,0.7610619469026548
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,generation,1,50,36,30,6,20,0.6976744186046512
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,alternative,0,50,71,45,26,5,0.743801652892562
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,cola,alternative,1,50,29,24,5,26,0.6075949367088608
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,generation,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,generation,1,50,20,17,3,33,0.4857142857142857
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,alternative,0,50,80,47,33,3,0.7230769230769231
AlphaEdit_L4_ONLY-edits00500,AlphaEdit,L4_ONLY,500,rte,alternative,1,50,20,17,3,33,0.4857142857142857
