entry,run,ledger,name,value
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,actual_model_forward_invocations,21562
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,actual_model_forward_sequences,70664
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,actual_model_forward_tokens,969883
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,analytic_action_gradient,22
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,coefficient_gradient_pullback,88
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,edit_backward,6864
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,essence_backward,1100
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,evaluation_candidate_sequences,45400
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,evaluation_input_tokens,495250
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,evaluation_materialization,17
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,evaluation_model_forwards,5714
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,evaluation_restore,17
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,generation_output_tokens,5760
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,generation_sequences,180
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,gradient_sweeps,22
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,nominal_shadow_sweep_reused,1
Middle,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main,counts,nominal_shadow_sweeps,2
