kind,entry,contrast,panel,metric,field,delta,ci_low,ci_high,bootstrap,requests,prompts,success_to_failure,failure_to_success,unit,paired,imputation
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,NS,new_nll,-2.1502375602722168e-07,-1.9803345203399658e-06,1.2730434536933897e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,NS,true_nll,-1.8787570297718047e-07,-1.465796958655119e-06,1.229963498190045e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,PS,new_nll,-2.5202834513038396e-06,-6.212691019754857e-06,-2.5638117222116118e-08,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,PS,true_nll,2.8347969055175783e-06,1.2627243995666504e-07,6.231546401977537e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,RS,new_nll,-7.294869283214211e-07,-2.089751331368461e-06,-1.594594505149872e-08,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Current100,RS,true_nll,5.164146423339844e-06,-6.297826766967774e-07,1.287925243377683e-05,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,NS,new_nll,4.230998456478119e-07,-9.164731018245221e-07,1.694817095994949e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,NS,true_nll,-2.4260953068733215e-07,-1.640239730477333e-06,1.1688489466905593e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,RS,new_nll,-1.365726348012686e-07,-5.025098216719925e-07,1.9611316383816265e-07,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Fixed100,RS,true_nll,-1.9669532775878905e-07,-3.0329227447509766e-06,2.8063058853149406e-06,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,NS,new_nll,1.0294467210769652e-06,-3.568343818187714e-07,2.355333417654037e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,NS,true_nll,-1.4135614037513733e-07,-1.6060662455856799e-06,1.2713959440588941e-06,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,RS,new_nll,6.957445293664932e-08,-2.136986586265266e-08,1.937413471750915e-07,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Middle,EP1−MATCHED_RISK_PROBE,Past100,RS,true_nll,3.0517578125e-07,-2.8134584426879886e-06,3.4390687942504824e-06,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,NS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,NS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,PS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,PS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,PS,true_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,RS,success,0.0,0.0,0.0,2000,100,100,0,0,pp,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,RS,new_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Current100,RS,true_nll,0.0,0.0,0.0,2000,100,100,0,0,NLL,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Fixed100,NS,success,0.0,0.0,0.0,2000,100,200,0,0,pp,True,0
matched_risk_curve_metric,Early,EP1−MATCHED_RISK_PROBE,Fixed100,NS,new_nll,0.0,0.0,0.0,2000,100,200,0,0,NLL,True,0
