entry,arm,status,steps,source,job,path,terminal_sha,selected_weight_sha,WN_start_sha,risk,actual_fp32_risk
Middle,H,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44124,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main/H,8879796f1ac2f1fb4e29d63f14db0a3698ba7f7a9e970f9cac70c03d7ef7cc93,189f26e5d66c58296ff5b6c53ea617dbcd4c9c720d7c82fd73b8bd9214d167a7,e44132ac265ad330464951ed385941315ba737d8b4695a216fd63a259a67b7e2,-9.90745936956899e-07,-9.9074597756909e-07
Middle,R,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44124,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main/R,1f9b602e6beb3dd915294611dc35f2ac2c3572ce8a5b07af84c7aee0912c07f8,3e5eded82f3124bb39c577704747cc2c6110ce51a7167f5cd9d8d1a4ce297518,e44132ac265ad330464951ed385941315ba737d8b4695a216fd63a259a67b7e2,-1.0728558248346514e-06,-1.0728560394533558e-06
Middle,EP,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44124,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-main/EP,54b32b5bc8c4aa2545003cc96b26562cd24c9b5154c31b5849e91251c8717560,c2f3c3b770a3f0cbca588501b493aab2a8776f95164fce67be7ab910b726fd8a,e44132ac265ad330464951ed385941315ba737d8b4695a216fd63a259a67b7e2,-1.0728842895060154e-06,-1.0728840460495072e-06
Early,H,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44143,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main/H,a5eaa059d12fc3aeb9c14244d39fd95d51f12ad79722e9c7ea6e0a4abee113a4,e31225fa108f10d3273bdf6b4d85e3ae3576e1c350f1eca7317bcc2c443db9bb,d81cb2fa181b2e4ed070ac67a59f443f435ed7f033d63868bf0f283ccc49597b,-3.2923347802572803e-05,-3.2923347865107416e-05
Early,R,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44143,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main/R,e42eac4b9360cb92cfd1c980fdc6972d510e348d293ee6c362185cdc99beae38,e31225fa108f10d3273bdf6b4d85e3ae3576e1c350f1eca7317bcc2c443db9bb,d81cb2fa181b2e4ed070ac67a59f443f435ed7f033d63868bf0f283ccc49597b,-3.2923347802572803e-05,-3.2923347865107416e-05
Early,EP,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44143,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Early-main/EP,15ac110389a2f2d29cb4a58908f8fad69981bd0390badbf72e38174303cd4aa7,e31225fa108f10d3273bdf6b4d85e3ae3576e1c350f1eca7317bcc2c443db9bb,d81cb2fa181b2e4ed070ac67a59f443f435ed7f033d63868bf0f283ccc49597b,-3.2923347802572803e-05,-3.2923347865107416e-05
Late,H,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44144,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main/H,08361b3abc85f1951e29838a32b92a4b347609a1763e9e7ae1bab339555fa7e1,0a9e48423b0c39d5af39fdecfd0f08310caa930d30e740ebd2a15303bf3797ae,38a2d312c1e42cead5a0dca3ebba826afca4374c87c075a1606b388461caa604,-4.092351330705972e-06,-4.092349993494787e-06
Late,R,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44144,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main/R,4478ffa96cff2daa372222532f1bad227ba69aea88324be003af92c1833ee585,0a9e48423b0c39d5af39fdecfd0f08310caa930d30e740ebd2a15303bf3797ae,38a2d312c1e42cead5a0dca3ebba826afca4374c87c075a1606b388461caa604,-4.092351330705972e-06,-4.092349993494787e-06
Late,EP,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44144,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Late-main/EP,f25ee358e4fc208290259516e2cb9e2e8be58e6e8b17e8892d25b31db7af5227,0a9e48423b0c39d5af39fdecfd0f08310caa930d30e740ebd2a15303bf3797ae,38a2d312c1e42cead5a0dca3ebba826afca4374c87c075a1606b388461caa604,-4.092351330705972e-06,-4.092349993494787e-06
Middle,EP-Free,TERMINAL_VALID,8,cd145abe6a773289120af91e012a895c1e7e6a64,44158,/mnt/raid5/janghj/ODE-edit/local/blue-l4-progress-barrier/attempt-v1/output/Middle-auxiliary/EP-Free,084e28f0ea86465961e2f4f97a8035ee4dd2640e6e60eba0aa0a2a6fe44a61fc,189f26e5d66c58296ff5b6c53ea617dbcd4c9c720d7c82fd73b8bd9214d167a7,e44132ac265ad330464951ed385941315ba737d8b4695a216fd63a259a67b7e2,-9.90745936956899e-07,-9.9074597756909e-07
