history_batch,probe_count,raw_score_mean,nu_mean,nu_q05,nu_q50,nu_q95,negative_raw_count,nu_outside_unit_count,nu_finite_count,projected_key_zero_count,status
0,512,7.740114681376399,0.9999990817833408,0.9999989260790958,0.9999990898851587,0.999999192518498,0,0,512,0,MEASURED_RAW_UNCLIPPED
1,512,7.323695328925975,0.947003178698282,0.8533784246883064,0.9652306158690906,0.9814428845048342,0,0,512,0,MEASURED_RAW_UNCLIPPED
5,512,6.63464880724967,0.8601387289575166,0.6231884036868706,0.9003084260626797,0.9339038956780995,0,0,512,0,MEASURED_RAW_UNCLIPPED
10,512,6.0942762559442185,0.7919870861362539,0.49830014515211096,0.8425162811404593,0.8877322948071472,0,0,512,0,MEASURED_RAW_UNCLIPPED
20,512,5.369839034357783,0.6995989163254812,0.3476325909645125,0.7545589219403704,0.8112341596096245,0,0,512,0,MEASURED_RAW_UNCLIPPED
30,512,4.792919159118687,0.6258950428732297,0.23237867134016024,0.68056459390423,0.7468273718620504,0,0,512,0,MEASURED_RAW_UNCLIPPED
40,512,4.312857847086844,0.5644382114005367,0.17548117148308393,0.6180378469089061,0.6875703257450172,0,0,512,0,MEASURED_RAW_UNCLIPPED
50,512,3.9070546229392322,0.511541104867796,0.150054442108017,0.5622451770224284,0.6334875283470615,0,0,512,0,MEASURED_RAW_UNCLIPPED
60,512,3.5563493158522452,0.466435655794596,0.13593202309361466,0.5145372114874684,0.5829588941616781,0,0,512,0,MEASURED_RAW_UNCLIPPED
70,512,3.2566581957471863,0.4273373319629997,0.12903425883737613,0.472311484234365,0.5383142880304123,0,0,512,0,MEASURED_RAW_UNCLIPPED
80,512,2.9646247832853483,0.389664049338591,0.11032220369930526,0.4310622249717364,0.4970163419479801,0,0,512,0,MEASURED_RAW_UNCLIPPED
90,512,2.7130461033094218,0.35694737637064555,0.10325150714814889,0.39641721196850893,0.4586755476051178,0,0,512,0,MEASURED_RAW_UNCLIPPED
100,512,2.4921183148708193,0.32791321325688644,0.09869280705914002,0.3648467614792244,0.4232599379133399,0,0,512,0,MEASURED_RAW_UNCLIPPED
