interval_start,interval_end,s,role,n,ns_success,new_strict,true_strict,margin_mean,margin_min,margin_max
1,10,0.0,lost,16,16,0,2,3.989295809064061,0.021498680114746,9.419565677642822
1,10,0.0,matched_retained,16,16,0,0,4.509629115462303,0.5342597961425781,9.62690258026123
1,10,0.5,lost,16,10,0,2,1.1094684023410082,-4.423940658569336,9.01308822631836
1,10,0.5,matched_retained,16,16,0,0,3.998270019888878,0.5362944602966309,6.653589248657227
1,10,1.0,lost,16,0,0,0,-2.8045865893363957,-8.423333644866943,-0.2277498245239257
1,10,1.0,matched_retained,16,16,0,0,2.895000070333481,0.1008129119873046,6.105032920837402
50,100,0.0,lost,16,16,0,1,2.3543836288154125,0.4964170455932617,8.4197638630867
50,100,0.0,matched_retained,16,16,0,2,2.5184827595949173,0.4238271713256836,8.068336844444275
50,100,0.5,lost,16,9,0,1,0.4286321029067039,-3.771130561828613,4.914088129997253
50,100,0.5,matched_retained,16,15,0,1,2.8768056691624224,-0.0035123825073242,10.678714491426945
50,100,1.0,lost,16,0,0,0,-1.7042753100395205,-5.8079705238342285,-0.0221786499023437
50,100,1.0,matched_retained,16,16,0,1,2.725185968913138,0.0845680236816406,11.643672600388529
