comparison,conditional_loss_den,conditional_recovery_den,delta_pp,denominator,failed_both,gained,left_success,lost,metric,new_nll_delta_max,new_nll_delta_mean,new_nll_delta_median,new_nll_delta_min,new_nll_delta_n,new_nll_delta_p05,new_nll_delta_p25,new_nll_delta_p75,new_nll_delta_p90,new_nll_delta_p95,new_nll_delta_p99,population,retained,right_success,status,true_nll_delta_max,true_nll_delta_mean,true_nll_delta_median,true_nll_delta_min,true_nll_delta_n,true_nll_delta_p05,true_nll_delta_p25,true_nll_delta_p75,true_nll_delta_p90,true_nll_delta_p95,true_nll_delta_p99
SL_ZFLOW_ATWRITE_TO_W10,1000,0,0.0,1000,0,0,1000,0,RS,4.717818283825181,0.01500252557297972,-0.0001734131365083158,-0.6829286441206932,1000,-0.00896717950818129,-0.001972724901861511,0.0006517150904983282,0.00670219482854009,0.022529216762632108,0.2894666677620262,,1000,1000,MEASURED_EXACT_ITEM_PAIRING,7.868558883666992,0.04740097784996033,0.0028539299964904785,-10.354480743408203,1000,-2.7771046638488768,-0.41918015480041504,0.7754864692687988,1.6911796569824222,2.337309861183166,3.4903468608856185
SL_ZFLOW_ATWRITE_TO_W10,1882,118,0.1,2000,98,20,1882,18,PS,6.442569255828857,-0.22423718459004977,-0.017970925895497203,-10.585360005497932,2000,-1.679095321893692,-0.25141385197639465,0.0011743088398361579,0.15139174312353187,0.47241749763488766,1.7735560214519497,,1864,1884,MEASURED_EXACT_ITEM_PAIRING,8.236785888671875,0.1881124473409727,0.018685102462768555,-6.946831703186035,2000,-1.6686386428773403,-0.27862024307250977,0.6684893369674683,1.5718409061431888,2.3411380767822263,4.444804620742798
SL_ZFLOW_ATWRITE_TO_W10,7637,2363,-4.07,10000,2110,253,7637,660,NS,10.437735080718994,-0.5805384611695364,-0.18696832656860352,-12.616652727127075,10000,-4.000792521238327,-1.2215502262115479,0.21927094459533691,1.053559494018555,1.754043269157409,3.74380006313324,,6977,7230,MEASURED_EXACT_ITEM_PAIRING,19.87699292600155,0.10490110063948233,0.0,-10.984997749328613,10000,-2.512939417362213,-0.5749504566192627,0.5069787502288818,1.819752597808839,3.1354117631912204,7.968162294030193
SL_ZFLOW_W5_TO_W10_SAME_FIRST500,500,0,0.0,500,0,0,500,0,RS,4.718197237467393,0.018028464446913858,-0.00023764220532029867,-1.2698839008808136,500,-0.009083748771809041,-0.0016927234828472137,0.001565524551551789,0.011869029584340761,0.057573328283615284,0.2995414065988728,,500,500,MEASURED_EXACT_ITEM_PAIRING,5.5740509033203125,0.01565145683288574,0.12783527374267578,-10.277738571166992,500,-2.5602466106414794,-0.6737782955169678,0.9636814594268799,1.5968901634216308,2.116969895362852,3.3010947513580318
SL_ZFLOW_W5_TO_W10_SAME_FIRST500,951,49,-0.2,1000,41,8,951,10,PS,5.32761287689209,-0.20006243924384035,-0.02701915055513382,-6.363037645816803,1000,-1.5102895259857176,-0.2774495333433151,0.003415474551729858,0.20508830398321165,0.551762056350708,1.6933593225479127,,941,949,MEASURED_EXACT_ITEM_PAIRING,5.719326972961426,0.13977078696340323,0.12633132934570312,-6.443105220794678,1000,-1.8181776046752929,-0.4472846984863281,0.7858755588531494,1.5583114147186283,2.0528563499450683,2.9086419534683188
SL_ZFLOW_W5_TO_W10_SAME_FIRST500,3801,1199,-4.9,5000,1044,155,3801,400,NS,11.796247243881226,-0.5431144924137159,-0.4243274927139282,-10.976366758346558,5000,-3.345912671089172,-1.4264731407165527,0.40826237201690674,1.303095722198487,2.024421787261963,3.470031571388249,,3401,3556,MEASURED_EXACT_ITEM_PAIRING,19.02695941925049,0.2822921496512397,0.0038032550364732742,-10.75525188446045,5000,-2.3014239966869354,-0.7050837874412537,0.858264833688736,2.2115588188171396,3.774168491363528,8.970467627048492
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,999,0,0.0,999,0,0,999,0,RS,3.0840902626514435,0.010295002291445985,-0.0001754203112795949,-0.6829286441206932,999,-0.008970706246327608,-0.0019751453364733607,0.0006431166548281908,0.006656791083514692,0.021357393497601036,0.27202490495517817,ACTIVE_NO_LATER_DIFFERENT_TARGET,999,999,MEASURED_EXACT_ITEM_PAIRING,7.868558883666992,0.05226043776587562,0.003429889678955078,-10.354480743408203,999,-2.6922328948974603,-0.41855621337890625,0.7758693695068359,1.6929300308227546,2.338100957870482,3.4921359062194792
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,1880,118,0.1001001001001001,1998,98,20,1880,18,PS,6.442569255828857,-0.22359191863321665,-0.017883759923279285,-10.585360005497932,1998,-1.680690211057663,-0.2509547770023346,0.001206610511871986,0.1521677926182745,0.4724635601043701,1.774259649515151,ACTIVE_NO_LATER_DIFFERENT_TARGET,1862,1882,MEASURED_EXACT_ITEM_PAIRING,8.236785888671875,0.18985053472261917,0.02001500129699707,-6.946831703186035,1998,-1.6640873394906521,-0.27731502056121826,0.6686683893203735,1.5723065853118896,2.342010116577147,4.445186948776245
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,7631,2359,-4.044044044044044,9990,2106,253,7631,657,NS,10.437735080718994,-0.5787106847708723,-0.18654292821884155,-12.616652727127075,9990,-4.000173354148865,-1.2202706336975098,0.2193591594696045,1.053559494018555,1.7544121026992792,3.744004101753236,ACTIVE_NO_LATER_DIFFERENT_TARGET,6974,7227,MEASURED_EXACT_ITEM_PAIRING,19.87699292600155,0.10458966440304461,0.0,-10.984997749328613,9990,-2.514581763744354,-0.5750043392181396,0.5051789283752441,1.8190589904785157,3.137166762351987,7.9697143572568985
SL_ZFLOW_ATWRITE_TO_W10_BY_INPUT_POPULATION,1,0,0.0,1,0,0,1,0,RS,4.717818283825181,4.717818283825181,4.717818283825181,4.717818283825181,1,4.717818283825181,4.717818283825181,4.717818283825181,4.717818283825181,4.717818283825181,4.717818283825181,SUPERSEDED_CANDIDATE_LATER_BATCH,1,1,MEASURED_EXACT_ITEM_PAIRING,-4.807199478149414,-4.807199478149414,-4.807199478149414,-4.807199478149414,1,-4.807199478149414,-4.807199478149414,-4.807199478149414,-4.807199478149414,-4.807199478149414,-4.807199478149414
