batch,arm,scope,preference,strict,token,recovered_ids,newly_lost_ids
1,N4,all_seen,"{""numerator"":862,""denominator"":886,""rate"":0.9729119638826185}","{""numerator"":152,""denominator"":171,""rate"":0.8888888888888888}","{""numerator"":181,""denominator"":200,""rate"":0.905}",[],[]
1,EN_EXACT,all_seen,"{""numerator"":862,""denominator"":886,""rate"":0.9729119638826185}","{""numerator"":152,""denominator"":171,""rate"":0.8888888888888888}","{""numerator"":181,""denominator"":200,""rate"":0.905}",[],[]
1,EN_NUM,all_seen,"{""numerator"":862,""denominator"":886,""rate"":0.9729119638826185}","{""numerator"":152,""denominator"":171,""rate"":0.8888888888888888}","{""numerator"":181,""denominator"":200,""rate"":0.905}",[],[]
1,EN_ADAPT,all_seen,"{""numerator"":862,""denominator"":886,""rate"":0.9729119638826185}","{""numerator"":152,""denominator"":171,""rate"":0.8888888888888888}","{""numerator"":181,""denominator"":200,""rate"":0.905}",[],[]
2,N4,all_seen,"{""numerator"":1715,""denominator"":1768,""rate"":0.9700226244343891}","{""numerator"":318,""denominator"":355,""rate"":0.895774647887324}","{""numerator"":357,""denominator"":394,""rate"":0.9060913705583756}",[],"[[16186,4],[18140,4],[3620,1],[6827,0],[10695,7],[6516,9],[4737,0],[10914,1],[2809,1],[13717,6],[14566,3]]"
2,EN_EXACT,all_seen,"{""numerator"":1714,""denominator"":1768,""rate"":0.9694570135746606}","{""numerator"":317,""denominator"":355,""rate"":0.8929577464788733}","{""numerator"":356,""denominator"":394,""rate"":0.9035532994923858}",[],"[[16186,4],[18140,4],[3620,1],[6827,0],[10695,7],[6516,9],[4737,0],[10914,1],[2809,1],[13717,6],[14566,3],[21764,0]]"
2,EN_ADAPT,all_seen,"{""numerator"":1715,""denominator"":1768,""rate"":0.9700226244343891}","{""numerator"":317,""denominator"":355,""rate"":0.8929577464788733}","{""numerator"":356,""denominator"":394,""rate"":0.9035532994923858}",[],"[[16186,4],[18140,4],[3620,1],[6827,0],[10695,7],[6516,9],[4737,0],[10914,1],[2809,1],[13717,6],[14566,3]]"
3,N4,all_seen,"{""numerator"":2547,""denominator"":2658,""rate"":0.9582392776523702}","{""numerator"":456,""denominator"":528,""rate"":0.8636363636363636}","{""numerator"":525,""denominator"":597,""rate"":0.8793969849246231}","[[6878,5]]","[[16186,4],[16334,0],[6620,3],[3620,1],[6827,0],[10695,7],[20878,4],[6907,1],[6516,5],[6516,9],[4737,0],[21830,0],[21482,0],[10914,1],[10914,6],[10914,7],[2809,1],[13717,6],[14566,3],[6043,0],[8546,5],[15630,7],[21746,5],[2737,9],[19306,6],[3495,8],[4386,3],[17254,7],[3401,6],[17246,0],[6878,9]]"
3,EN_EXACT,all_seen,"{""numerator"":2543,""denominator"":2658,""rate"":0.9567343867569601}","{""numerator"":456,""denominator"":528,""rate"":0.8636363636363636}","{""numerator"":525,""denominator"":597,""rate"":0.8793969849246231}","[[2546,5],[6878,5]]","[[16186,4],[16334,0],[6620,3],[3620,1],[6827,0],[10695,7],[20878,4],[6907,1],[6516,9],[16343,5],[4737,0],[21830,0],[21482,0],[10914,1],[10914,6],[10914,7],[2809,1],[13717,6],[14566,3],[21764,0],[6043,0],[6043,1],[8546,5],[15630,7],[21746,5],[2737,9],[19306,6],[3495,8],[4386,3],[17254,7],[3401,6],[17246,0],[6878,9]]"
3,EN_ADAPT,all_seen,"{""numerator"":2544,""denominator"":2658,""rate"":0.9571106094808126}","{""numerator"":455,""denominator"":528,""rate"":0.8617424242424242}","{""numerator"":524,""denominator"":597,""rate"":0.8777219430485762}","[[9485,1],[2546,5]]","[[16186,4],[16334,0],[6620,3],[3620,1],[2115,8],[6827,0],[10695,7],[20878,4],[6907,1],[6516,9],[4737,0],[21482,0],[10914,1],[10914,6],[10914,7],[2809,1],[13717,6],[14566,3],[6043,0],[6043,1],[8546,5],[15630,7],[21746,5],[2737,9],[3495,8],[4386,3],[17254,7],[3401,6],[17246,0],[6878,9]]"
