candidate_denominator,case_id,direct_z_compute_count,direct_z_recompute_count,epsilon_nuisance,functional_spread,method,model,native_context_count,spread_gt_3x_nuisance,stage,valid_candidates,w0_restore
8,21100,1,0,6.094342097640038e-08,1.683726441115141e-05,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,1477,1,0,2.9406510293483734e-07,0.00012552132830023766,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,20838,1,0,3.133900463581085e-07,9.093154221773148e-05,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,18707,1,0,2.3283064365386963e-09,0.00019395491108298302,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,14288,1,0,2.3283064365386963e-09,5.317758768796921e-05,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,16426,1,0,6.332993507385254e-08,4.619406536221504e-05,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,19041,1,0,1.043081283569336e-07,0.0002197003923356533,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,17609,1,0,1.341104507446289e-07,4.213303327560425e-05,alphaedit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,21100,1,0,4.358298610895872e-08,1.3693788787350059e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,1477,1,0,1.429361873306334e-08,3.5182747524231672e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,20838,1,0,4.303001333028078e-08,8.759394404478371e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,18707,1,0,1.0652001947164536e-07,6.085916538722813e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,14288,1,0,1.4901161193847656e-08,3.881548764184117e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,16426,1,0,3.144668880850077e-08,5.436435458250344e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,19041,1,0,8.993083611130714e-09,1.27193343359977e-05,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,17609,1,0,4.630419425666332e-08,3.6824203561991453e-06,memit,llama3-8b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,21100,1,0,2.3166649043560028e-07,0.00027041835710406303,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,1477,1,0,4.5262277126312256e-07,9.94799192994833e-05,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,20838,1,0,1.548323780298233e-07,2.453348133713007e-05,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,18707,1,0,1.327134668827057e-07,6.020674481987953e-05,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,14288,1,0,2.8405338525772095e-08,0.00016710697673261166,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,16426,1,0,1.1647352948784828e-07,2.1202489733695984e-05,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,19041,1,0,1.9278377294540405e-07,8.537934627383947e-05,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,17609,1,0,8.591450750827789e-08,0.00012531480751931667,alphaedit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,21100,1,0,9.4645656645298e-08,0.00010206748265773058,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,1477,1,0,4.889443516731262e-09,0.0001085775438696146,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,20838,1,0,9.173527359962463e-08,9.834743104875088e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,18707,1,0,2.3137545213103294e-07,1.8632621504366398e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,14288,1,0,3.282912075519562e-08,7.613003253936768e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,16426,1,0,5.855690687894821e-08,2.864969428628683e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,19041,1,0,4.3190084397792816e-08,5.959183908998966e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
8,17609,1,0,9.854556992650032e-08,3.9549951907247305e-05,memit,qwen2.5-7b-inst,6,True,PHASE_A_CORRECTED_F1B,8,True
